#Meteo hourly data
#Site,Agadir-Morocco
#Country,Morocco
#Data Source,Cams Solar radiations and ERA5 for meteorological data
#Time step,Hour
2010
#Latitude,30.425065
#Longitude,-9.582163
#Altitude,222.0
#Time zone,UTC+01:00
#Plane tilt,30
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,GPI,Tamb,WindVel,Press,RelHum
,,,,,W/m2,W/m2,W/m2,W/m2,deg.C,m/s,mb,%
2010,1,1,0,0,0.0,0.0,0.0,0.0,12.927580000000034,1.5957369333872704,1019.54,86.46245119208061
2010,1,1,1,0,0.0,0.0,0.0,0.0,12.825739999999996,1.4785720470741897,1019.31125,87.8289044258325
2010,1,1,2,0,0.0,0.0,0.0,0.0,11.659750000000033,1.4385489368118696,1019.0519,91.17270271754924
2010,1,1,3,0,0.0,0.0,0.0,0.0,11.866540000000043,1.3394094103222232,1018.7206,93.28760568810686
2010,1,1,4,0,0.0,0.0,0.0,0.0,11.66726,1.124377434126874,1018.6781,94.91557699987428
2010,1,1,5,0,0.0,0.0,0.0,0.0,11.047000000000024,0.7619731503694035,1018.4594,96.47845144258156
2010,1,1,6,0,0.0,0.0,0.0,0.0,11.610070000000007,0.8573161660868512,1018.4831,94.88200807574292
2010,1,1,7,0,5.9181,4.5494,26.3093,6.190800334797333,12.17428000000001,0.916465197399143,1018.7575,96.94684115085406
2010,1,1,8,0,136.0171,53.189,470.0542,196.6317462042948,12.840540000000033,0.8129893162779543,1019.2244,96.01543581839114
2010,1,1,9,0,333.0139,82.6579,747.0682,471.09099261770336,12.97738000000004,0.9666335122148736,1019.5631,96.65191647542652
2010,1,1,10,0,498.916,94.3802,865.9218,700.743565313706,15.189840000000004,0.1855684371917902,1020.2625,76.21113842404213
2010,1,1,11,0,611.1652,98.1216,923.7676,867.0881188685049,15.964140000000045,0.6529719957380173,1020.30125,76.12208609053019
2010,1,1,12,0,659.0193,98.3076,945.9643,956.49978628677,16.696500000000015,0.661886849116869,1019.4275,74.80353344971323
2010,1,1,13,0,638.4802,96.0629,940.8165,961.1361643563112,17.08163000000002,1.1013599994860168,1018.6606,74.27068176756843
2010,1,1,14,0,551.6679,89.987,909.0065,879.4675447067026,18.46557000000001,1.3194995311527438,1017.97875,66.01976883153954
2010,1,1,15,0,406.0615,79.2217,833.8728,711.0922268087115,18.740750000000048,1.292312255494262,1017.585,62.74785728782256
2010,1,1,16,0,217.6407,59.6873,660.4542,452.5891369024289,18.763450000000034,1.4333992203492882,1017.3956,63.18002482170064
2010,1,1,17,0,37.1928,18.0582,194.2578,94.1619598592559,17.85958000000005,1.3683844876959144,1017.3775,71.71897503131129
2010,1,1,18,0,0.0,0.0,0.0,0.0,16.61868000000004,1.510695638954788,1017.1106,77.95629214743104
2010,1,1,19,0,0.0,0.0,0.0,0.0,16.80892,1.3728892962176331,1017.4025,75.44351245999526
2010,1,1,20,0,0.0,0.0,0.0,0.0,15.247600000000034,0.4867599742244434,1017.5975,85.84318641831133
2010,1,1,21,0,0.0,0.0,0.0,0.0,14.677400000000034,0.2515318928793693,1018.1694,88.4511263430524
2010,1,1,22,0,0.0,0.0,0.0,0.0,12.78173000000004,1.1010601371562745,1018.42875,92.41440665897284
2010,1,1,23,0,0.0,0.0,0.0,0.0,12.37112000000002,0.7058141158759695,1018.74,94.13818004651932
2010,1,2,0,0,0.0,0.0,0.0,0.0,11.445250000000044,0.5562902316120106,1018.6306,95.4576982012811
2010,1,2,1,0,0.0,0.0,0.0,0.0,11.540369999999996,0.6090797501882729,1018.4294,94.604914885402
2010,1,2,2,0,0.0,0.0,0.0,0.0,11.31295,0.8995533091345729,1018.4644,94.8057906077113
2010,1,2,3,0,0.0,0.0,0.0,0.0,11.06964000000005,0.9201439683559616,1018.4775,95.45251001520636
2010,1,2,4,0,0.0,0.0,0.0,0.0,11.079250000000002,1.1682605774570598,1018.5656,95.7542394378686
2010,1,2,5,0,0.0,0.0,0.0,0.0,10.510700000000044,1.6739193080520964,1018.3175,93.83070635744436
2010,1,2,6,0,0.0,0.0,0.0,0.0,11.52203000000003,2.007028875520435,1018.2944,91.78546168535146
2010,1,2,7,0,6.0066,3.9692,40.7776,6.592611529570334,11.478300000000049,2.188274066995082,1018.3069,89.72322092861981
2010,1,2,8,0,137.3575,43.7551,539.8033,208.4937862366292,12.617639999999994,2.187809647719977,1018.7406,89.19951529546584
2010,1,2,9,0,333.4436,68.8024,791.4786,480.3081852955666,12.795980000000045,1.7012888695432795,1019.1581,85.68192543289769
2010,1,2,10,0,497.8845,82.5802,888.8633,705.0529785231408,18.29186000000004,1.1496441792684275,1019.76125,64.75810982309451
2010,1,2,11,0,608.9531,90.6491,932.1907,866.8124060848654,18.375879999999995,0.8709237958458033,1020.35875,63.146534828509495
2010,1,2,12,0,656.363,93.6136,947.5804,953.7734218938003,17.843350000000044,1.9452366133454415,1019.9444,67.13257410893377
2010,1,2,13,0,636.0901,91.8995,941.3518,958.4080556068844,17.742999999999995,2.3841442199600613,1019.65875,72.00474396271562
2010,1,2,14,0,549.8008,86.3884,908.9965,877.1588513943032,18.83376000000004,2.284037020970804,1019.2131,70.38538930932697
2010,1,2,15,0,405.3884,75.8824,836.1912,711.0245951474046,18.751860000000026,1.813504493862668,1018.8656,71.2599044267583
2010,1,2,16,0,218.6754,56.8762,670.9256,457.4388532958973,19.04943000000003,1.030890321696057,1018.99875,71.19224986736795
2010,1,2,17,0,38.5108,17.656,210.5376,100.64335915169949,18.926050000000032,0.7536294877068322,1018.83,74.66088998280578
2010,1,2,18,0,0.0,0.0,0.0,0.0,18.070760000000007,0.5229462621222967,1018.5881,78.41468979089163
2010,1,2,19,0,0.0,0.0,0.0,0.0,16.98147,0.6331796009062283,1018.8431,81.70347519012698
2010,1,2,20,0,0.0,0.0,0.0,0.0,15.588340000000017,1.412368071145369,1019.33375,89.7912860849255
2010,1,2,21,0,0.0,0.0,0.0,0.0,14.02642000000003,1.6443544405400012,1020.215,92.88475302966826
2010,1,2,22,0,0.0,0.0,0.0,0.0,13.62814000000003,0.8026372248635744,1020.93,91.28478541826178
2010,1,2,23,0,0.0,0.0,0.0,0.0,11.883080000000009,1.077816996448212,1020.9375,93.1353942852124
2010,1,3,0,0,0.0,0.0,0.0,0.0,12.984340000000032,1.24573196800677,1020.98625,89.8783578638562
2010,1,3,1,0,0.0,0.0,0.0,0.0,13.378700000000038,1.5742420297250572,1020.5125,82.32546023703465
2010,1,3,2,0,0.0,0.0,0.0,0.0,13.346400000000015,1.806357325421928,1020.58625,78.53963632130129
2010,1,3,3,0,0.0,0.0,0.0,0.0,13.28958,2.1432058360170307,1020.0356,76.26690003699056
2010,1,3,4,0,0.0,0.0,0.0,0.0,13.841330000000028,2.365001586866531,1019.7569,72.66318843948676
2010,1,3,5,0,0.0,0.0,0.0,0.0,13.60494,2.4587906163040745,1019.5731,71.81401461788487
2010,1,3,6,0,0.0,0.0,0.0,0.0,13.550620000000038,2.5141575723299145,1019.455,74.28725497505508
2010,1,3,7,0,6.1046,3.6425,50.5682,6.868373155766701,13.305499999999997,2.457610000611645,1019.7575,76.74649057573747
2010,1,3,8,0,138.8602,39.5874,577.8932,215.42546673817108,14.176300000000026,2.599336143423732,1020.1394,72.88450787597341
2010,1,3,9,0,334.7097,62.3971,815.1182,485.67030091369395,15.252679999999998,3.027078809119611,1020.3881,71.50657294955849
2010,1,3,10,0,480.4621,94.4854,829.3519,673.7915996889775,18.99362000000002,3.4141542629766044,1021.4119,54.15146305322524
2010,1,3,11,0,564.3068,129.2625,774.6769,771.4747712621678,20.016380000000023,3.244546722637128,1021.4656,51.54129603988849
2010,1,3,12,0,656.0539,89.6772,951.7131,954.113472196118,20.96566000000001,3.246513819758873,1020.2381,46.60425380677797
2010,1,3,13,0,633.7345,94.0618,930.632,951.3098109131264,21.544340000000037,3.148799970740684,1019.47875,42.18827327899259
2010,1,3,14,0,492.6084,173.8062,626.3472,713.7125086087569,23.20297000000005,2.7946825539561124,1018.2456,34.49255110764646
2010,1,3,15,0,308.7638,171.2148,355.4095,434.71304736665616,23.26480000000004,2.4442450900883945,1018.2356,37.06035191103898
2010,1,3,16,0,203.1481,79.3591,510.0316,382.9966370476771,22.78848000000005,2.301968240885461,1018.3444,45.56796083910493
2010,1,3,17,0,35.3359,22.1307,109.139,64.74940220044897,21.717600000000004,2.5769898417565256,1018.0331,50.80982675358609
2010,1,3,18,0,0.0,0.0,0.0,0.0,20.46120000000002,2.7029631210155607,1017.715,51.25413198757365
2010,1,3,19,0,0.0,0.0,0.0,0.0,19.259820000000047,2.738701543021006,1017.83875,51.35109676709645
2010,1,3,20,0,0.0,0.0,0.0,0.0,17.632750000000044,2.7157559106803872,1018.2344,53.11165032046566
2010,1,3,21,0,0.0,0.0,0.0,0.0,16.775779999999997,2.868052880187369,1018.3006,52.53282942457379
2010,1,3,22,0,0.0,0.0,0.0,0.0,15.919700000000034,3.1008192054669683,1018.3344,53.97709207273916
2010,1,3,23,0,0.0,0.0,0.0,0.0,15.868300000000032,3.3856197217085358,1017.9731,51.80563595920281
2010,1,4,0,0,0.0,0.0,0.0,0.0,15.992700000000012,3.4528960310021106,1017.6794,51.62683723599093
2010,1,4,1,0,0.0,0.0,0.0,0.0,15.62112000000002,3.366067851262801,1017.1994,53.13583331969804
2010,1,4,2,0,0.0,0.0,0.0,0.0,14.33987000000002,2.859073697050375,1016.8569,59.63461362292273
2010,1,4,3,0,0.0,0.0,0.0,0.0,13.379800000000046,2.5148063344802853,1017.1756,70.3341397187138
2010,1,4,4,0,0.0,0.0,0.0,0.0,12.60082,2.180573313308745,1017.0794,76.01771379748992
2010,1,4,5,0,0.0,0.0,0.0,0.0,12.37960000000004,1.7086518660861787,1017.31625,79.38947427438768
2010,1,4,6,0,0.0,0.0,0.0,0.0,12.164150000000006,1.5479629499139895,1017.1194,83.18235392542238
2010,1,4,7,0,5.1233,4.0181,21.8136,5.248910739313468,12.065449999999998,1.4381228975713665,1017.7081,81.88395985110625
2010,1,4,8,0,125.3477,49.1574,436.5973,180.4101397626749,13.63076000000001,1.5153243054295735,1018.0919,75.41548977268533
2010,1,4,9,0,198.5213,91.0146,301.9786,244.18856739975791,14.888450000000034,1.840565315853142,1018.49625,70.59537317037487
2010,1,4,10,0,309.1371,222.6996,192.8897,347.16607904928736,17.189970000000017,1.275347940822047,1019.2075,63.8368278825817
2010,1,4,11,0,68.2574,66.5446,3.2523,65.9223825314172,17.827500000000043,1.460803112635868,1019.0744,65.83601319969513
2010,1,4,12,0,238.6219,224.5926,23.4998,234.77393951431992,17.99580000000003,2.352434341379576,1018.6081,73.88296549403258
2010,1,4,13,0,172.2888,166.2793,10.6311,167.77844472687485,17.772640000000024,3.2461870768306698,1017.6256,80.89654994243251
2010,1,4,14,0,204.2601,191.7424,24.0852,203.2411256633926,18.240380000000016,3.403897785072544,1016.6075,85.63324629330505
2010,1,4,15,0,114.6464,108.5488,17.3444,116.39176339040664,17.08566000000002,4.430225296390337,1016.4944,88.0430458311195
2010,1,4,16,0,129.5361,125.1126,16.2385,128.6591584910694,17.557950000000005,3.954718755091605,1016.625,85.6361861606358
2010,1,4,17,0,32.6165,27.3831,63.5876,51.56806851629058,16.751980000000003,3.383807481829621,1016.4056,89.09406650820405
2010,1,4,18,0,0.0,0.0,0.0,0.0,16.24490000000003,3.079529184026864,1016.7269,91.75344865769829
2010,1,4,19,0,0.0,0.0,0.0,0.0,16.011070000000018,2.712372739469406,1017.3706,89.69278083949513
2010,1,4,20,0,0.0,0.0,0.0,0.0,15.267100000000028,2.727435505901303,1017.81875,90.5453660983943
2010,1,4,21,0,0.0,0.0,0.0,0.0,15.250940000000014,2.3768504704233293,1018.1625,87.99073798198536
2010,1,4,22,0,0.0,0.0,0.0,0.0,14.833100000000002,2.5435110894590283,1018.3594,87.99568655100398
2010,1,4,23,0,0.0,0.0,0.0,0.0,14.792570000000012,2.694170964220023,1018.345,86.32359655490175
2010,1,5,0,0,0.0,0.0,0.0,0.0,14.480070000000012,2.7489831177609987,1018.3706,85.4246686647057
2010,1,5,1,0,0.0,0.0,0.0,0.0,14.624230000000011,2.5744820128305133,1018.0194,84.63356800247776
2010,1,5,2,0,0.0,0.0,0.0,0.0,13.636250000000018,2.747374611940196,1017.3794,87.72825797106317
2010,1,5,3,0,0.0,0.0,0.0,0.0,13.5428,2.6502596210461364,1017.26375,88.93727090468894
2010,1,5,4,0,0.0,0.0,0.0,0.0,13.562520000000006,2.753396906811586,1016.70375,90.6854379786665
2010,1,5,5,0,0.0,0.0,0.0,0.0,13.372340000000008,2.762679871443394,1016.5781,91.485676446151
2010,1,5,6,0,0.0,0.0,0.0,0.0,13.63864000000001,2.982236434852626,1016.5019,89.87113586269703
2010,1,5,7,0,2.127,2.127,0.0,2.020138512693563,13.174830000000044,3.052095826277472,1016.60375,90.5798804140436
2010,1,5,8,0,42.016,41.784,0.9431,39.973375422509825,13.743740000000004,3.07037240410551,1016.6706,86.44196730912114
2010,1,5,9,0,235.8507,152.3755,230.8755,265.0984647938189,14.39626000000004,3.305137271293368,1017.2344,84.99542753850756
2010,1,5,10,0,487.0794,123.4779,773.4105,661.0082755216239,16.358480000000043,4.115957057227615,1017.3194,70.26657753426115
2010,1,5,11,0,415.331,161.8128,465.2617,543.0319475160641,17.082730000000026,4.936917213824938,1017.4294,65.61547553430624
2010,1,5,12,0,374.3942,279.8916,157.4583,409.72505686507355,17.465840000000014,5.309982707483443,1016.66625,61.295435674155705
2010,1,5,13,0,475.3378,245.7673,391.3632,596.627108804989,17.65798000000001,5.312084198914107,1015.6544,60.03127717798792
2010,1,5,14,0,366.3481,265.8531,193.5405,422.55666293538945,17.572780000000023,5.643387043040189,1014.9275,59.07498985880952
2010,1,5,15,0,366.5843,144.3269,569.2761,574.795303827378,17.26370000000003,5.331105276961054,1014.5969,61.56477167694759
2010,1,5,16,0,215.4293,87.7866,505.6394,390.3066364377163,17.196619999999996,4.913027281747725,1014.5906,63.63144691963846
2010,1,5,17,0,24.7897,19.4242,54.0117,40.279715542944466,16.246880000000033,4.495967943198903,1014.65625,68.65797507157085
2010,1,5,18,0,0.0,0.0,0.0,0.0,15.319450000000018,3.73955008268364,1014.815,70.44055809387179
2010,1,5,19,0,0.0,0.0,0.0,0.0,15.339230000000043,3.239555334356248,1015.0456,70.24226726803606
2010,1,5,20,0,0.0,0.0,0.0,0.0,14.876860000000022,2.8008267639236686,1015.5081,75.76779902642055
2010,1,5,21,0,0.0,0.0,0.0,0.0,14.927639999999997,2.630611926584134,1015.7144,76.52565958009076
2010,1,5,22,0,0.0,0.0,0.0,0.0,13.820760000000009,2.3303187601749253,1015.99625,84.19299793518712
2010,1,5,23,0,0.0,0.0,0.0,0.0,13.427200000000028,1.9218987581140297,1015.7556,85.44456664154868
2010,1,6,0,0,0.0,0.0,0.0,0.0,13.072720000000004,1.2993648528662072,1015.5231,87.66075056991596
2010,1,6,1,0,0.0,0.0,0.0,0.0,12.786,1.2818131329018527,1015.2019,89.223733304365
2010,1,6,2,0,0.0,0.0,0.0,0.0,13.870300000000045,1.1892980573008811,1014.93875,86.59051207985146
2010,1,6,3,0,0.0,0.0,0.0,0.0,13.35793000000001,0.955454349138272,1014.8256,90.93820250047284
2010,1,6,4,0,0.0,0.0,0.0,0.0,13.088040000000037,0.1722688225438026,1014.47125,91.65040513076562
2010,1,6,5,0,0.0,0.0,0.0,0.0,13.016350000000044,0.7236673079874222,1013.8119,92.49377702552542
2010,1,6,6,0,0.0,0.0,0.0,0.0,12.892600000000016,0.5040988278901375,1013.8881,92.09105468832364
2010,1,6,7,0,4.9145,4.1405,15.1967,4.878233770802241,12.989100000000008,0.7887224309548273,1013.65625,90.19024011248224
2010,1,6,8,0,126.0581,55.5933,396.5178,173.1376932387224,13.2303,1.0451204832511956,1013.96875,88.66987818128058
2010,1,6,9,0,239.543,144.628,300.7259,293.62064863496175,13.615440000000037,1.2810432219474803,1014.1056,85.387893012515
2010,1,6,10,0,336.3055,219.8099,252.639,386.2001640561555,15.123000000000047,1.5702825727800749,1014.6231,76.76623622649021
2010,1,6,11,0,471.9812,160.6468,550.5873,613.4846315958589,16.296780000000012,1.3043862821075434,1014.7306,74.54124639459957
2010,1,6,12,0,345.854,268.1309,129.5225,373.083348379352,17.09740000000005,1.4987599558466878,1014.19625,70.54606707308324
2010,1,6,13,0,457.5092,273.3064,316.3431,553.4290823609126,17.433130000000006,2.1158071411569,1013.1156,66.76911617175514
2010,1,6,14,0,377.3816,251.0159,241.9206,451.3116609447825,18.1318,2.638656789917916,1012.22375,65.3424611397731
2010,1,6,15,0,201.9376,181.512,47.3603,208.91936376045436,17.957060000000013,2.80091567709435,1011.51,67.42000985623035
2010,1,6,16,0,157.6154,123.5948,144.1894,205.13977919570561,18.04420000000005,2.5493472692316304,1011.2425,69.29025057858848
2010,1,6,17,0,33.5805,31.1681,18.9635,37.31270210976853,17.0693,2.3934983542271784,1011.1331,78.51003543943565
2010,1,6,18,0,0.0,0.0,0.0,0.0,16.819970000000012,1.6697250910910124,1011.2994,83.00168379989844
2010,1,6,19,0,0.0,0.0,0.0,0.0,17.517539999999997,1.233361929349147,1011.00125,82.00341398292802
2010,1,6,20,0,0.0,0.0,0.0,0.0,16.39166,1.9333909910889635,1011.1675,90.66559901482198
2010,1,6,21,0,0.0,0.0,0.0,0.0,15.846100000000035,1.6794008721828475,1010.6656,94.1075776401345
2010,1,6,22,0,0.0,0.0,0.0,0.0,15.218160000000012,2.5744879384900523,1010.3219,99.1272304864881
2010,1,6,23,0,0.0,0.0,0.0,0.0,16.0154,4.0138220467754335,1010.535,96.83472201861908
2010,1,7,0,0,0.0,0.0,0.0,0.0,15.950220000000002,5.287324207293516,1009.4225,92.56693330398824
2010,1,7,1,0,0.0,0.0,0.0,0.0,15.854800000000012,6.199919750034993,1008.63375,94.1876772629338
2010,1,7,2,0,0.0,0.0,0.0,0.0,15.26934,6.486510738065636,1008.2719,94.02053453108344
2010,1,7,3,0,0.0,0.0,0.0,0.0,14.939750000000004,6.403780289997103,1007.8825,95.73608853553009
2010,1,7,4,0,0.0,0.0,0.0,0.0,14.685630000000003,6.569301930488244,1008.1875,97.13093607438852
2010,1,7,5,0,0.0,0.0,0.0,0.0,14.603000000000009,4.275218531740863,1007.96,94.35407925330388
2010,1,7,6,0,0.0,0.0,0.0,0.0,14.66700000000003,4.4912600560612175,1007.8094,91.58780601379075
2010,1,7,7,0,3.8558,3.7916,1.2406,3.6762492195783776,14.313900000000046,4.282164025880238,1008.6956,92.65591493474328
2010,1,7,8,0,101.1368,79.6775,106.3655,107.85188243323887,14.952050000000042,4.808397740144149,1009.1381,91.40263091569314
2010,1,7,9,0,317.5683,106.4333,623.9805,424.93684048467395,15.278070000000014,4.90943267585022,1009.8094,85.84196852019221
2010,1,7,10,0,430.4333,160.1032,585.3895,562.8974559050066,16.16378000000003,5.127828073345257,1010.6131,78.63951200812508
2010,1,7,11,0,435.6176,180.0957,453.0263,550.2705677430579,16.198020000000042,5.811730773207635,1010.58375,79.80988898062586
2010,1,7,12,0,453.1288,214.3288,397.9807,567.6340042498446,16.538170000000036,6.127669510789136,1009.80625,82.00293411532769
2010,1,7,13,0,346.2368,147.4188,332.328,449.1240006851694,17.215000000000032,6.657661859824263,1009.28875,75.52519359171866
2010,1,7,14,0,341.4389,219.2497,248.648,427.2736604725204,15.134000000000016,6.188165299063305,1009.1594,78.88258842398726
2010,1,7,15,0,306.6119,89.6807,513.5114,482.00746572732646,15.42960000000005,6.219413133903732,1008.8506,79.19133253384915
2010,1,7,16,0,161.9033,67.5048,407.4609,312.8309953454383,15.216030000000046,5.543995901101329,1009.1381,83.12742101706286
2010,1,7,17,0,44.7798,24.65,180.2701,97.00940621016694,14.352620000000002,5.045958925623966,1010.2519,87.66152025998272
2010,1,7,18,0,0.0,0.0,0.0,0.0,13.892300000000034,5.081393309483644,1010.4856,86.99076086369068
2010,1,7,19,0,0.0,0.0,0.0,0.0,13.218230000000004,4.4916775355378125,1011.7069,86.62863661400402
2010,1,7,20,0,0.0,0.0,0.0,0.0,12.89163000000002,4.27401263393705,1012.2825,87.93259282123535
2010,1,7,21,0,0.0,0.0,0.0,0.0,12.13113000000004,4.165773349526472,1013.3325,86.68800275821778
2010,1,7,22,0,0.0,0.0,0.0,0.0,12.409840000000033,4.314194535547702,1014.11625,80.49727448316762
2010,1,7,23,0,0.0,0.0,0.0,0.0,12.237940000000036,4.326313890555693,1014.5369,77.5976504510952
2010,1,8,0,0,0.0,0.0,0.0,0.0,12.28436000000005,4.226146833515728,1015.1156,76.79923212011744
2010,1,8,1,0,0.0,0.0,0.0,0.0,12.133140000000026,4.032871433719167,1015.1975,77.06597845489863
2010,1,8,2,0,0.0,0.0,0.0,0.0,11.336180000000011,3.8516287148783697,1014.875,78.76644348801824
2010,1,8,3,0,0.0,0.0,0.0,0.0,11.055840000000046,3.875079085824856,1015.0706,79.86101222909352
2010,1,8,4,0,0.0,0.0,0.0,0.0,10.779700000000048,4.004488609497034,1015.0025,79.84355812250803
2010,1,8,5,0,0.0,0.0,0.0,0.0,10.390900000000045,3.6965744487821546,1015.1181,78.46295915785896
2010,1,8,6,0,0.0,0.0,0.0,0.0,10.249960000000044,3.485728431116044,1015.0519,78.301961847029
2010,1,8,7,0,5.2756,4.2555,20.1959,5.231234868903028,10.207539999999996,3.5320479799843376,1015.81125,77.23094386100871
2010,1,8,8,0,134.8272,54.2497,457.0881,188.99720246326143,10.427300000000002,3.381398554748525,1016.1275,73.87786742280105
2010,1,8,9,0,336.1663,84.353,748.8578,468.0541030199821,10.923550000000034,3.3702342258564437,1016.7225,70.23505946063086
2010,1,8,10,0,506.2058,96.953,868.5565,701.3873805543917,13.106300000000031,3.951297170930261,1018.1475,56.90704966448708
2010,1,8,11,0,622.4285,101.4442,926.2518,871.7147771394456,13.925800000000038,4.978936914423995,1018.4325,53.65495162676105
2010,1,8,12,0,673.974,102.4352,948.0695,965.1406851351927,14.679300000000012,5.666257456019122,1017.8094,50.39567061530423
2010,1,8,13,0,656.6256,101.0669,942.5771,973.5245517755949,14.904470000000003,5.528758271170568,1017.1794,48.24867333042122
2010,1,8,14,0,534.5251,146.9149,735.814,789.1930789259951,15.690330000000015,5.749028655319258,1016.03375,44.559383274680215
2010,1,8,15,0,366.2646,174.7839,480.1081,537.6473692442194,15.680630000000008,5.872623661885311,1015.4175,45.54483509218758
2010,1,8,16,0,220.2052,67.0574,565.8437,410.5178662256465,15.306880000000035,5.845177362020365,1015.6794,47.69592621105336
2010,1,8,17,0,45.2285,23.2198,209.6096,108.008520298771,14.242800000000043,5.090700136489606,1015.7306,54.97793134307993
2010,1,8,18,0,0.0,0.0,0.0,0.0,13.412740000000042,4.6143703619524885,1015.9025,57.41546037998037
2010,1,8,19,0,0.0,0.0,0.0,0.0,12.346770000000047,4.46326322111933,1016.6025,60.211693186257854
2010,1,8,20,0,0.0,0.0,0.0,0.0,12.066740000000038,4.435925451219527,1017.32375,64.19592088175374
2010,1,8,21,0,0.0,0.0,0.0,0.0,11.595200000000034,4.242416449457608,1017.84,64.5271710417183
2010,1,8,22,0,0.0,0.0,0.0,0.0,10.938930000000028,3.917607642551415,1018.6381,70.15033153329368
2010,1,8,23,0,0.0,0.0,0.0,0.0,10.736000000000049,3.0838274209016627,1018.56125,70.40116249301278
2010,1,9,0,0,0.0,0.0,0.0,0.0,10.434230000000014,2.2778428098380545,1018.69375,73.11278574589566
2010,1,9,1,0,0.0,0.0,0.0,0.0,10.324060000000031,1.720178448179844,1018.3269,76.83867757503997
2010,1,9,2,0,0.0,0.0,0.0,0.0,8.386070000000018,1.54278415435279,1018.2319,82.62540267235721
2010,1,9,3,0,0.0,0.0,0.0,0.0,8.141050000000007,1.2872989469506184,1018.2844,85.97914655115993
2010,1,9,4,0,0.0,0.0,0.0,0.0,7.884400000000028,1.1424584632954358,1018.0344,86.05910558019889
2010,1,9,5,0,0.0,0.0,0.0,0.0,7.647640000000024,1.154862756241666,1018.0394,87.83548155360302
2010,1,9,6,0,0.0,0.0,0.0,0.0,7.309470000000033,1.116262200444534,1018.0881,89.30411501545679
2010,1,9,7,0,5.9246,3.4743,52.2195,6.288024348574605,7.114160000000027,1.0104225783988772,1018.1,90.49721022261508
2010,1,9,8,0,141.4585,39.1822,596.7149,215.86000058039303,7.742819999999995,0.7832889686334915,1018.975,90.18765106124992
