Latitude (decimal degrees) : 30.425065
Longitude (decimal degrees) : -9.582163
Elevation (m) : 222.0
month,year
01,2010
02,2010
03,2010
04,2010
05,2010
06,2010
07,2010
08,2010
09,2010
10,2010
11,2010
12,2010
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),G(t),WS10m,WD10m,SP
20100101:0000,12.927580000000034,86.46245119208061,0.0,0.0,0.0,0.0,1.5957369333872704,314.6393234065473,1019.54
20100101:0100,12.825739999999996,87.8289044258325,0.0,0.0,0.0,0.0,1.4785720470741897,315.87178294371336,1019.31125
20100101:0200,11.659750000000033,91.17270271754924,0.0,0.0,0.0,0.0,1.4385489368118696,316.96557305546884,1019.0519
20100101:0300,11.866540000000043,93.28760568810686,0.0,0.0,0.0,0.0,1.3394094103222232,314.98015258049014,1018.7206
20100101:0400,11.66726,94.91557699987428,0.0,0.0,0.0,0.0,1.124377434126874,317.4265024854813,1018.6781
20100101:0500,11.047000000000024,96.47845144258156,0.0,0.0,0.0,0.0,0.7619731503694035,335.70712251289285,1018.4594
20100101:0600,11.610070000000007,94.88200807574292,0.0,0.0,0.0,0.0,0.8573161660868512,343.0137828818709,1018.4831
20100101:0700,12.17428000000001,96.94684115085406,5.9181,26.3093,4.5494,6.190800334797333,0.916465197399143,345.13728325014347,1018.7575
20100101:0800,12.840540000000033,96.01543581839114,136.0171,470.0542,53.189,196.6317462042948,0.8129893162779543,350.5367940049596,1019.2244
20100101:0900,12.97738000000004,96.65191647542652,333.0139,747.0682,82.6579,471.09099261770336,0.9666335122148736,350.7526832679871,1019.5631
20100101:1000,15.189840000000004,76.21113842404213,498.916,865.9218,94.3802,700.743565313706,0.1855684371917902,78.51728685217863,1020.2625
20100101:1100,15.964140000000045,76.12208609053019,611.1652,923.7676,98.1216,867.0881188685049,0.6529719957380173,179.3024158678386,1020.30125
20100101:1200,16.696500000000015,74.80353344971323,659.0193,945.9643,98.3076,956.49978628677,0.661886849116869,226.08162848690296,1019.4275
20100101:1300,17.08163000000002,74.27068176756843,638.4802,940.8165,96.0629,961.1361643563112,1.1013599994860168,281.48693850143513,1018.6606
20100101:1400,18.46557000000001,66.01976883153954,551.6679,909.0065,89.987,879.4675447067026,1.3194995311527438,290.6648453801747,1017.97875
20100101:1500,18.740750000000048,62.74785728782256,406.0615,833.8728,79.2217,711.0922268087115,1.292312255494262,278.0375863996464,1017.585
20100101:1600,18.763450000000034,63.18002482170064,217.6407,660.4542,59.6873,452.5891369024289,1.4333992203492882,265.8085260324924,1017.3956
20100101:1700,17.85958000000005,71.71897503131129,37.1928,194.2578,18.0582,94.1619598592559,1.3683844876959144,253.6299294473081,1017.3775
20100101:1800,16.61868000000004,77.95629214743104,0.0,0.0,0.0,0.0,1.510695638954788,268.90905384188704,1017.1106
20100101:1900,16.80892,75.44351245999526,0.0,0.0,0.0,0.0,1.3728892962176331,268.8969837716387,1017.4025
20100101:2000,15.247600000000034,85.84318641831133,0.0,0.0,0.0,0.0,0.4867599742244434,227.69344825872616,1017.5975
20100101:2100,14.677400000000034,88.4511263430524,0.0,0.0,0.0,0.0,0.2515318928793693,107.09608449445288,1018.1694
20100101:2200,12.78173000000004,92.41440665897284,0.0,0.0,0.0,0.0,1.1010601371562745,128.5730042262507,1018.42875
20100101:2300,12.37112000000002,94.13818004651932,0.0,0.0,0.0,0.0,0.7058141158759695,130.34051857218014,1018.74
20100102:0000,11.445250000000044,95.4576982012811,0.0,0.0,0.0,0.0,0.5562902316120106,107.0377918745676,1018.6306
20100102:0100,11.540369999999996,94.604914885402,0.0,0.0,0.0,0.0,0.6090797501882729,77.97672279786072,1018.4294
20100102:0200,11.31295,94.8057906077113,0.0,0.0,0.0,0.0,0.8995533091345729,72.99616454277441,1018.4644
20100102:0300,11.06964000000005,95.45251001520636,0.0,0.0,0.0,0.0,0.9201439683559616,64.24911392723462,1018.4775
20100102:0400,11.079250000000002,95.7542394378686,0.0,0.0,0.0,0.0,1.1682605774570598,67.06956958262357,1018.5656
20100102:0500,10.510700000000044,93.83070635744436,0.0,0.0,0.0,0.0,1.6739193080520964,71.52144882053841,1018.3175
20100102:0600,11.52203000000003,91.78546168535146,0.0,0.0,0.0,0.0,2.007028875520435,69.32536776448595,1018.2944
20100102:0700,11.478300000000049,89.72322092861981,6.0066,40.7776,3.9692,6.592611529570334,2.188274066995082,60.6558708913021,1018.3069
20100102:0800,12.617639999999994,89.19951529546584,137.3575,539.8033,43.7551,208.4937862366292,2.187809647719977,51.4547108496281,1018.7406
20100102:0900,12.795980000000045,85.68192543289769,333.4436,791.4786,68.8024,480.3081852955666,1.7012888695432795,55.629499680343216,1019.1581
20100102:1000,18.29186000000004,64.75810982309451,497.8845,888.8633,82.5802,705.0529785231408,1.1496441792684275,104.26494928534171,1019.76125
20100102:1100,18.375879999999995,63.146534828509495,608.9531,932.1907,90.6491,866.8124060848654,0.8709237958458033,200.6664854664523,1020.35875
20100102:1200,17.843350000000044,67.13257410893377,656.363,947.5804,93.6136,953.7734218938003,1.9452366133454415,240.4812254829131,1019.9444
20100102:1300,17.742999999999995,72.00474396271562,636.0901,941.3518,91.8995,958.4080556068844,2.3841442199600613,246.00902844680917,1019.65875
20100102:1400,18.83376000000004,70.38538930932697,549.8008,908.9965,86.3884,877.1588513943032,2.284037020970804,246.9634994030788,1019.2131
20100102:1500,18.751860000000026,71.2599044267583,405.3884,836.1912,75.8824,711.0245951474046,1.813504493862668,242.9819788377076,1018.8656
20100102:1600,19.04943000000003,71.19224986736795,218.6754,670.9256,56.8762,457.4388532958973,1.030890321696057,224.31275599211693,1018.99875
20100102:1700,18.926050000000032,74.66088998280578,38.5108,210.5376,17.656,100.64335915169949,0.7536294877068322,176.24796731866036,1018.83
20100102:1800,18.070760000000007,78.41468979089163,0.0,0.0,0.0,0.0,0.5229462621222967,98.4700894966349,1018.5881
20100102:1900,16.98147,81.70347519012698,0.0,0.0,0.0,0.0,0.6331796009062283,359.9033472936728,1018.8431
20100102:2000,15.588340000000017,89.7912860849255,0.0,0.0,0.0,0.0,1.412368071145369,340.299249382151,1019.33375
20100102:2100,14.02642000000003,92.88475302966826,0.0,0.0,0.0,0.0,1.6443544405400012,337.66544292868093,1020.215
20100102:2200,13.62814000000003,91.28478541826178,0.0,0.0,0.0,0.0,0.8026372248635744,354.7862426110079,1020.93
20100102:2300,11.883080000000009,93.1353942852124,0.0,0.0,0.0,0.0,1.077816996448212,32.60046888338496,1020.9375
20100103:0000,12.984340000000032,89.8783578638562,0.0,0.0,0.0,0.0,1.24573196800677,40.43161977130325,1020.98625
20100103:0100,13.378700000000038,82.32546023703465,0.0,0.0,0.0,0.0,1.5742420297250572,39.00951469983416,1020.5125
20100103:0200,13.346400000000015,78.53963632130129,0.0,0.0,0.0,0.0,1.806357325421928,37.88101043943886,1020.58625
20100103:0300,13.28958,76.26690003699056,0.0,0.0,0.0,0.0,2.1432058360170307,41.27614372320655,1020.0356
20100103:0400,13.841330000000028,72.66318843948676,0.0,0.0,0.0,0.0,2.365001586866531,44.43015185930373,1019.7569
20100103:0500,13.60494,71.81401461788487,0.0,0.0,0.0,0.0,2.4587906163040745,45.57275229929168,1019.5731
20100103:0600,13.550620000000038,74.28725497505508,0.0,0.0,0.0,0.0,2.5141575723299145,46.13730113122983,1019.455
20100103:0700,13.305499999999997,76.74649057573747,6.1046,50.5682,3.6425,6.868373155766701,2.457610000611645,44.24131989930903,1019.7575
20100103:0800,14.176300000000026,72.88450787597341,138.8602,577.8932,39.5874,215.42546673817108,2.599336143423732,48.29146467498707,1020.1394
20100103:0900,15.252679999999998,71.50657294955849,334.7097,815.1182,62.3971,485.67030091369395,3.027078809119611,58.35546893436124,1020.3881
20100103:1000,18.99362000000002,54.15146305322524,480.4621,829.3519,94.4854,673.7915996889775,3.4141542629766044,71.38058679821322,1021.4119
20100103:1100,20.016380000000023,51.54129603988849,564.3068,774.6769,129.2625,771.4747712621678,3.244546722637128,83.22544865326847,1021.4656
20100103:1200,20.96566000000001,46.60425380677797,656.0539,951.7131,89.6772,954.113472196118,3.246513819758873,95.20262091774316,1020.2381
20100103:1300,21.544340000000037,42.18827327899259,633.7345,930.632,94.0618,951.3098109131264,3.148799970740684,104.06297789695893,1019.47875
20100103:1400,23.20297000000005,34.49255110764646,492.6084,626.3472,173.8062,713.7125086087569,2.7946825539561124,110.80747576617888,1018.2456
20100103:1500,23.26480000000004,37.06035191103898,308.7638,355.4095,171.2148,434.71304736665616,2.4442450900883945,110.88949048542632,1018.2356
20100103:1600,22.78848000000005,45.56796083910493,203.1481,510.0316,79.3591,382.9966370476771,2.301968240885461,105.07947608246268,1018.3444
20100103:1700,21.717600000000004,50.80982675358609,35.3359,109.139,22.1307,64.74940220044897,2.5769898417565256,92.33813604231337,1018.0331
20100103:1800,20.46120000000002,51.25413198757365,0.0,0.0,0.0,0.0,2.7029631210155607,76.50560048559001,1017.715
20100103:1900,19.259820000000047,51.35109676709645,0.0,0.0,0.0,0.0,2.738701543021006,63.952896042769794,1017.83875
20100103:2000,17.632750000000044,53.11165032046566,0.0,0.0,0.0,0.0,2.7157559106803872,56.19859360853073,1018.2344
20100103:2100,16.775779999999997,52.53282942457379,0.0,0.0,0.0,0.0,2.868052880187369,57.67375954973386,1018.3006
20100103:2200,15.919700000000034,53.97709207273916,0.0,0.0,0.0,0.0,3.1008192054669683,57.66248940767023,1018.3344
20100103:2300,15.868300000000032,51.80563595920281,0.0,0.0,0.0,0.0,3.3856197217085358,59.12242377072789,1017.9731
20100104:0000,15.992700000000012,51.62683723599093,0.0,0.0,0.0,0.0,3.4528960310021106,59.47247592534109,1017.6794
20100104:0100,15.62112000000002,53.13583331969804,0.0,0.0,0.0,0.0,3.366067851262801,60.119685254829946,1017.1994
20100104:0200,14.33987000000002,59.63461362292273,0.0,0.0,0.0,0.0,2.859073697050375,54.77545653164045,1016.8569
20100104:0300,13.379800000000046,70.3341397187138,0.0,0.0,0.0,0.0,2.5148063344802853,43.59546984106208,1017.1756
20100104:0400,12.60082,76.01771379748992,0.0,0.0,0.0,0.0,2.180573313308745,37.997073003668085,1017.0794
20100104:0500,12.37960000000004,79.38947427438768,0.0,0.0,0.0,0.0,1.7086518660861787,35.77066252701589,1017.31625
20100104:0600,12.164150000000006,83.18235392542238,0.0,0.0,0.0,0.0,1.5479629499139895,40.05895859881129,1017.1194
20100104:0700,12.065449999999998,81.88395985110625,5.1233,21.8136,4.0181,5.248910739313468,1.4381228975713665,49.26992861058035,1017.7081
20100104:0800,13.63076000000001,75.41548977268533,125.3477,436.5973,49.1574,180.4101397626749,1.5153243054295735,57.83683291197275,1018.0919
20100104:0900,14.888450000000034,70.59537317037487,198.5213,301.9786,91.0146,244.18856739975791,1.840565315853142,73.86519466407529,1018.49625
20100104:1000,17.189970000000017,63.8368278825817,309.1371,192.8897,222.6996,347.16607904928736,1.275347940822047,109.20648221559576,1019.2075
20100104:1100,17.827500000000043,65.83601319969513,68.2574,3.2523,66.5446,65.9223825314172,1.460803112635868,164.71795423180663,1019.0744
20100104:1200,17.99580000000003,73.88296549403258,238.6219,23.4998,224.5926,234.77393951431992,2.352434341379576,210.7964494432795,1018.6081
20100104:1300,17.772640000000024,80.89654994243251,172.2888,10.6311,166.2793,167.77844472687485,3.2461870768306698,222.7556821818461,1017.6256
20100104:1400,18.240380000000016,85.63324629330505,204.2601,24.0852,191.7424,203.2411256633926,3.403897785072544,228.53046408426533,1016.6075
20100104:1500,17.08566000000002,88.0430458311195,114.6464,17.3444,108.5488,116.39176339040664,4.430225296390337,238.3737382224522,1016.4944
20100104:1600,17.557950000000005,85.6361861606358,129.5361,16.2385,125.1126,128.6591584910694,3.954718755091605,246.93040910437097,1016.625
20100104:1700,16.751980000000003,89.09406650820405,32.6165,63.5876,27.3831,51.56806851629058,3.383807481829621,254.3251406264469,1016.4056
20100104:1800,16.24490000000003,91.75344865769829,0.0,0.0,0.0,0.0,3.079529184026864,270.5110185150874,1016.7269
20100104:1900,16.011070000000018,89.69278083949513,0.0,0.0,0.0,0.0,2.712372739469406,285.580703350696,1017.3706
20100104:2000,15.267100000000028,90.5453660983943,0.0,0.0,0.0,0.0,2.727435505901303,290.46855594570616,1017.81875
20100104:2100,15.250940000000014,87.99073798198536,0.0,0.0,0.0,0.0,2.3768504704233293,286.8786772950184,1018.1625
20100104:2200,14.833100000000002,87.99568655100398,0.0,0.0,0.0,0.0,2.5435110894590283,287.57818357366574,1018.3594
20100104:2300,14.792570000000012,86.32359655490175,0.0,0.0,0.0,0.0,2.694170964220023,287.0245469387596,1018.345
20100105:0000,14.480070000000012,85.4246686647057,0.0,0.0,0.0,0.0,2.7489831177609987,291.3428863170789,1018.3706
20100105:0100,14.624230000000011,84.63356800247776,0.0,0.0,0.0,0.0,2.5744820128305133,299.58574806056794,1018.0194
20100105:0200,13.636250000000018,87.72825797106317,0.0,0.0,0.0,0.0,2.747374611940196,302.8455861921849,1017.3794
20100105:0300,13.5428,88.93727090468894,0.0,0.0,0.0,0.0,2.6502596210461364,306.44329555675495,1017.26375
20100105:0400,13.562520000000006,90.6854379786665,0.0,0.0,0.0,0.0,2.753396906811586,308.30524852548706,1016.70375
20100105:0500,13.372340000000008,91.485676446151,0.0,0.0,0.0,0.0,2.762679871443394,309.2208071265503,1016.5781
20100105:0600,13.63864000000001,89.87113586269703,0.0,0.0,0.0,0.0,2.982236434852626,310.17784481694645,1016.5019
20100105:0700,13.174830000000044,90.5798804140436,2.127,0.0,2.127,2.020138512693563,3.052095826277472,311.3908263582492,1016.60375
20100105:0800,13.743740000000004,86.44196730912114,42.016,0.9431,41.784,39.973375422509825,3.07037240410551,312.39110193777265,1016.6706
20100105:0900,14.39626000000004,84.99542753850756,235.8507,230.8755,152.3755,265.0984647938189,3.305137271293368,309.3400853102941,1017.2344
20100105:1000,16.358480000000043,70.26657753426115,487.0794,773.4105,123.4779,661.0082755216239,4.115957057227615,303.8204384340928,1017.3194
20100105:1100,17.082730000000026,65.61547553430624,415.331,465.2617,161.8128,543.0319475160641,4.936917213824938,301.1084404908054,1017.4294
20100105:1200,17.465840000000014,61.295435674155705,374.3942,157.4583,279.8916,409.72505686507355,5.309982707483443,299.89463454812665,1016.66625
20100105:1300,17.65798000000001,60.03127717798792,475.3378,391.3632,245.7673,596.627108804989,5.312084198914107,298.398434867172,1015.6544
20100105:1400,17.572780000000023,59.07498985880952,366.3481,193.5405,265.8531,422.55666293538945,5.643387043040189,298.0576153376328,1014.9275
20100105:1500,17.26370000000003,61.56477167694759,366.5843,569.2761,144.3269,574.795303827378,5.331105276961054,294.05110517936043,1014.5969
20100105:1600,17.196619999999996,63.63144691963846,215.4293,505.6394,87.7866,390.3066364377163,4.913027281747725,291.49270873446824,1014.5906
20100105:1700,16.246880000000033,68.65797507157085,24.7897,54.0117,19.4242,40.279715542944466,4.495967943198903,294.2810596424079,1014.65625
20100105:1800,15.319450000000018,70.44055809387179,0.0,0.0,0.0,0.0,3.73955008268364,295.3476436903278,1014.815
20100105:1900,15.339230000000043,70.24226726803606,0.0,0.0,0.0,0.0,3.239555334356248,298.12528650842995,1015.0456
20100105:2000,14.876860000000022,75.76779902642055,0.0,0.0,0.0,0.0,2.8008267639236686,300.9225371417534,1015.5081
20100105:2100,14.927639999999997,76.52565958009076,0.0,0.0,0.0,0.0,2.630611926584134,305.9141681509027,1015.7144
20100105:2200,13.820760000000009,84.19299793518712,0.0,0.0,0.0,0.0,2.3303187601749253,305.712346765553,1015.99625
20100105:2300,13.427200000000028,85.44456664154868,0.0,0.0,0.0,0.0,1.9218987581140297,306.60360037552687,1015.7556
20100106:0000,13.072720000000004,87.66075056991596,0.0,0.0,0.0,0.0,1.2993648528662072,305.3597357735507,1015.5231
20100106:0100,12.786,89.223733304365,0.0,0.0,0.0,0.0,1.2818131329018527,308.47361254804474,1015.2019
20100106:0200,13.870300000000045,86.59051207985146,0.0,0.0,0.0,0.0,1.1892980573008811,305.5577590086952,1014.93875
20100106:0300,13.35793000000001,90.93820250047284,0.0,0.0,0.0,0.0,0.955454349138272,268.0936520675796,1014.8256
20100106:0400,13.088040000000037,91.65040513076562,0.0,0.0,0.0,0.0,0.1722688225438026,171.89358246689042,1014.47125
20100106:0500,13.016350000000044,92.49377702552542,0.0,0.0,0.0,0.0,0.7236673079874222,108.44067855871302,1013.8119
20100106:0600,12.892600000000016,92.09105468832364,0.0,0.0,0.0,0.0,0.5040988278901375,120.477152256163,1013.8881
20100106:0700,12.989100000000008,90.19024011248224,4.9145,15.1967,4.1405,4.878233770802241,0.7887224309548273,114.33277070965516,1013.65625
20100106:0800,13.2303,88.66987818128058,126.0581,396.5178,55.5933,173.1376932387224,1.0451204832511956,112.65750796562378,1013.96875
20100106:0900,13.615440000000037,85.387893012515,239.543,300.7259,144.628,293.62064863496175,1.2810432219474803,120.72194875483896,1014.1056
20100106:1000,15.123000000000047,76.76623622649021,336.3055,252.639,219.8099,386.2001640561555,1.5702825727800749,107.52414347176392,1014.6231
20100106:1100,16.296780000000012,74.54124639459957,471.9812,550.5873,160.6468,613.4846315958589,1.3043862821075434,128.72198530062846,1014.7306
20100106:1200,17.09740000000005,70.54606707308324,345.854,129.5225,268.1309,373.083348379352,1.4987599558466878,152.44619960045426,1014.19625
20100106:1300,17.433130000000006,66.76911617175514,457.5092,316.3431,273.3064,553.4290823609126,2.1158071411569,175.23354444482538,1013.1156
20100106:1400,18.1318,65.3424611397731,377.3816,241.9206,251.0159,451.3116609447825,2.638656789917916,192.49685829558385,1012.22375
20100106:1500,17.957060000000013,67.42000985623035,201.9376,47.3603,181.512,208.91936376045436,2.80091567709435,211.0813104573384,1011.51
