Latitude (decimal degrees) : 33.028335
Longitude (decimal degrees) : -5.723645
Elevation (m) : 1034.0
month,year
01,2016
02,2016
03,2016
04,2016
05,2016
06,2016
07,2016
08,2016
09,2016
10,2016
11,2016
12,2016
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),G(t),WS10m,WD10m,SP
20160101:0000,5.345000000000027,42.38559369871699,0.0,0.0,0.0,0.0,1.0565903510958512,94.6478568792844,1025.3325
20160101:0100,5.113699999999994,43.794382366577125,0.0,0.0,0.0,0.0,1.0863648874635072,96.52379981378304,1024.9519
20160101:0200,4.8669700000000375,43.88430410513312,0.0,0.0,0.0,0.0,1.1968726137000527,98.74682874302988,1024.8419
20160101:0300,4.770530000000008,45.0859184376092,0.0,0.0,0.0,0.0,1.3261729869624863,98.99596602184002,1024.82625
20160101:0400,4.869349999999997,45.78510619858924,0.0,0.0,0.0,0.0,1.3769408598442927,97.3882122422783,1024.4344
20160101:0500,4.346030000000042,46.302359315651714,0.0,0.0,0.0,0.0,1.37095869473315,96.19779695281758,1024.53375
20160101:0600,4.181200000000047,47.50943881338641,0.0,0.0,0.0,0.0,1.285442778509071,96.84679834341992,1024.8056
20160101:0700,3.719400000000008,49.04814641919764,14.5501,109.7746,7.3576,19.699341248799,1.2436091420293025,99.19892902263403,1025.31125
20160101:0800,6.228420000000028,42.4664708381172,163.2881,631.9261,43.2967,262.55617066787397,1.3742195901668883,102.55295964673424,1025.9306
20160101:0900,9.335100000000011,39.0962388668522,346.8217,831.0378,63.0628,523.0665626464132,1.701043045143717,114.29354977431429,1026.6744
20160101:1000,18.062220000000025,21.902630144394774,493.1488,910.0856,74.6211,731.3696998595454,1.2954579190501787,170.79574312463103,1027.4669
20160101:1100,18.914330000000007,26.638759919268683,584.3126,942.3377,81.7688,872.3476599258154,2.3865063552960866,211.513808186459,1027.22625
20160101:1200,19.3646,27.355002659031296,611.8874,946.1804,85.6334,934.6861451388246,2.793688651894924,228.0232544937966,1026.3081
20160101:1300,19.31460000000004,28.46467594581312,573.4618,924.7388,86.1926,911.7897976093508,3.154214556932856,235.40424147650683,1025.33625
20160101:1400,20.17996000000005,27.8833610876385,472.248,870.9169,82.3641,801.392271398529,3.382993034923313,237.0347327582592,1024.4881
