Latitude (decimal degrees) : 32.362531
Longitude (decimal degrees) : -6.01552
Elevation (m) : 1538.0
month,year
01,2023
02,2017
03,2024
04,2013
05,2014
06,2024
07,2012
08,2013
09,2007
10,2013
11,2013
12,2021
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),G(t),WS10m,WD10m,SP
20230101:0000,3.414800000000014,67.99239503379849,0.0,0.0,0.0,0.0,0.8500693672989811,140.79793424847992,1026.6544
20230101:0100,3.0662000000000376,69.55668200499456,0.0,0.0,0.0,0.0,1.027288393833494,140.07358706311317,1026.5075
20230101:0200,1.864770000000021,74.17705234537674,0.0,0.0,0.0,0.0,1.141199923471581,137.97531882951594,1025.94
20230101:0300,2.4672500000000355,70.79449862475617,0.0,0.0,0.0,0.0,1.2600709155777252,137.41547773086273,1025.5781
20230101:0400,2.623070000000041,68.19774644952382,0.0,0.0,0.0,0.0,1.488089913710996,135.30866427745818,1025.0906
20230101:0500,2.407920000000047,68.25195717479727,0.0,0.0,0.0,0.0,1.7268856252743374,134.13973275457317,1024.935
20230101:0600,2.296000000000049,68.56941429896835,0.0,0.0,0.0,0.0,1.86162414518146,133.56827812859683,1024.8219
20230101:0700,2.431900000000041,67.34419591543708,15.3585,110.3445,7.9812,20.31059874058949,1.81320191405678,135.00988723241215,1025.1681
20230101:0800,2.4227800000000457,67.4833260546981,162.7896,587.3439,51.064,254.2705406855208,1.7800253394547758,135.45183893857717,1025.5719
20230101:0900,3.967550000000017,65.08256149570111,257.5826,190.7163,193.9515,290.6401162620472,1.684785705191696,136.62938755233847,1025.8981
20230101:1000,9.605950000000009,45.63562731469183,429.9304,488.628,202.5154,547.9677953355549,1.0826728891220256,155.17404451898818,1026.9581
20230101:1100,11.751059999999995,25.372454946083185,475.1421,352.8523,285.3603,569.7539155215848,0.9959639931472752,234.2054792057828,1026.4569
20230101:1200,12.168660000000044,26.426341342211536,467.0876,245.0695,328.2848,533.9807507852798,1.7715009954830827,279.5592765561976,1025.5369
20230101:1300,12.528380000000029,26.64812176161448,378.7375,131.7068,308.0572,411.5835805182072,1.977768431447479,290.09837010966675,1024.9831
20230101:1400,12.555700000000002,29.59266436628653,367.0775,243.207,256.2578,447.1025738692794,2.044299923896053,296.4376745746455,1024.25375
20230101:1500,11.704000000000008,34.55692300675627,249.1298,189.1337,186.518,312.08624719447903,1.8846211567113031,303.40379647392626,1024.2681
