valid_time,u100,v100,u10,v10,d2m,t2m,msl,ssrd,tp,latitude,longitude
2005-01-01 00:00:00,0.22657776,-1.9646912,-0.41783142,-1.0505219,276.16544,278.46323,103106.19,0.0,0.0,38.5,-4.5
2005-01-01 01:00:00,0.20228577,-1.334259,-0.15141296,-0.8045502,276.10327,278.47897,103091.25,0.0,0.0,38.5,-4.5
2005-01-01 02:00:00,0.074142456,-0.7673645,-0.33277893,-0.43771362,274.83,276.8161,103041.5,0.0,0.0,38.5,-4.5
2005-01-01 03:00:00,-0.29888916,-1.0200958,-0.6561737,-0.51956177,273.935,275.71564,103051.69,0.0,0.0,38.5,-4.5
2005-01-01 04:00:00,-0.3344574,-1.2717285,-0.73098755,-0.7355957,273.8944,275.4959,103057.06,0.0,0.0,38.5,-4.5
2005-01-01 05:00:00,-0.36701965,-1.0056305,-0.6911011,-0.5544281,273.72202,275.20682,103050.81,0.0,0.0,38.5,-4.5
2005-01-01 06:00:00,-0.47224426,-0.439682,-0.73698425,-0.15953064,274.24243,275.3042,103072.44,0.0,0.0,38.5,-4.5
2005-01-01 07:00:00,-0.42211914,0.12837219,-0.47157288,-0.034439087,274.2426,274.9193,103096.81,0.0,0.0,38.5,-4.5
2005-01-01 08:00:00,-0.34596252,0.28533936,-0.52659607,-0.055419922,274.60242,275.51617,103145.5,16704.0,0.0,38.5,-4.5
2005-01-01 09:00:00,-0.50224304,0.14881897,-0.8078766,-0.12683105,275.33316,276.34033,103199.625,343936.0,0.0,38.5,-4.5
2005-01-01 10:00:00,-0.90371704,0.19351196,-0.80430603,0.07344055,278.3173,283.25925,103275.0,834752.0,0.0,38.5,-4.5
2005-01-01 11:00:00,-0.5659027,0.5340729,-0.40844727,0.36073303,278.34253,284.32126,103268.06,1.25568e+06,0.0,38.5,-4.5
2005-01-01 12:00:00,0.39189148,0.68388367,0.32458496,0.5539551,278.52875,284.89966,103205.125,1.64736e+06,0.0,38.5,-4.5
2005-01-01 13:00:00,1.3191833,0.7763214,1.0577087,0.6321564,278.24664,285.1731,103068.81,1.676928e+06,0.0,38.5,-4.5
2005-01-01 14:00:00,1.8329926,0.5899048,1.4557648,0.4962921,278.42923,287.1976,103015.56,1.603968e+06,0.0,38.5,-4.5
2005-01-01 15:00:00,2.0786133,0.35025024,1.6214142,0.29063416,279.37488,287.41113,102980.69,1.271552e+06,0.0,38.5,-4.5
2005-01-01 16:00:00,2.241043,-0.3430786,1.2905426,-0.19413757,279.34784,287.4772,103004.06,780032.0,0.0,38.5,-4.5
2005-01-01 17:00:00,2.3069,-1.0874329,1.8107147,-0.7926178,279.29123,284.92267,103036.19,237312.0,0.0,38.5,-4.5
2005-01-01 18:00:00,2.051773,-1.4555664,1.5336151,-1.1565399,278.94537,284.1759,103105.69,384.0,0.0,38.5,-4.5
2005-01-01 19:00:00,1.670929,-1.4787903,0.9845123,-1.2809143,278.62546,283.8156,103136.375,0.0,0.0,38.5,-4.5
2005-01-01 20:00:00,1.0494995,-1.2566376,-0.40594482,-0.9634247,278.2588,282.33698,103170.375,0.0,0.0,38.5,-4.5
2005-01-01 21:00:00,0.5376129,-1.0235138,-0.37771606,-0.47058105,277.28207,280.62183,103219.0,0.0,0.0,38.5,-4.5
2005-01-01 22:00:00,-0.13009644,-1.1605835,-0.5800934,-0.49739075,277.70068,280.43326,103315.69,0.0,0.0,38.5,-4.5
2005-01-01 23:00:00,-0.35406494,-1.0353241,-0.6407318,-0.519104,277.25735,279.48267,103321.81,0.0,0.0,38.5,-4.5
