#Meteo hourly data
#Site,Amskroud-Morocco
#Country,Morocco
#Data Source,Cams Solar radiations and ERA5 for meteorological data
#Time step,Hour
#Year,2050
#Latitude,30.529541
#Longitude,-9.342859
#Altitude,530.0
#Time zone,UTC+01:00
#Plane tilt,30
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,GPI,Tamb,WindVel,Press,RelHum
,,,,,W/m2,W/m2,W/m2,W/m2,deg.C,m/s,mb,%
2050,1,1,0,0,0.0,0.0,0.0,0.0,15.345240000000048,1.4448017564009106,1027.5231,33.968751573663944
2050,1,1,1,0,0.0,0.0,0.0,0.0,14.32650000000001,1.7238910357962474,1027.3506,37.13987204828769
2050,1,1,2,0,0.0,0.0,0.0,0.0,12.451070000000016,1.99190626027464,1026.6819,42.067463838941805
2050,1,1,3,0,0.0,0.0,0.0,0.0,11.670920000000024,2.1166856610125846,1026.6256,43.55850152509269
2050,1,1,4,0,0.0,0.0,0.0,0.0,11.48687000000001,2.0138125677910894,1026.13875,43.8262982417558
2050,1,1,5,0,0.0,0.0,0.0,0.0,10.785500000000011,2.0558606716409686,1026.4475,45.15761298023088
2050,1,1,6,0,0.0,0.0,0.0,0.0,10.553740000000005,2.3295947718441226,1026.7169,46.64752284431856
2050,1,1,7,0,5.866,4.4462,27.0999,6.230921154553852,10.523030000000006,2.4857314037441856,1027.6369,47.03243649453548
2050,1,1,8,0,129.4285,51.7122,435.3421,185.61497188292708,11.471370000000036,2.842702406911966,1028.0831,43.554097251748175
2050,1,1,9,0,320.8526,83.7229,704.7014,451.5127961900012,14.015000000000043,3.135168886683714,1028.64375,38.98916867984583
2050,1,1,10,0,483.7112,100.1368,820.1098,675.3026097003805,21.412300000000016,2.0987376945534786,1029.2231,18.619323540765773
2050,1,1,11,0,593.9257,108.4406,874.6725,836.5582515167102,23.447600000000023,1.448791013608444,1029.12,18.83364845798241
2050,1,1,12,0,640.0776,111.9622,892.7605,920.9039530650084,25.161200000000008,0.9991846181993844,1027.5694,19.37351681103182
2050,1,1,13,0,618.017,111.5299,881.5001,920.0929563629766,26.56512000000004,0.6860618613710039,1026.6856,15.26824864120722
2050,1,1,14,0,530.1001,105.9536,839.3409,832.1233390486418,28.10262,1.596770873207706,1025.53875,12.852110493384115
2050,1,1,15,0,384.7446,92.8776,750.1715,658.0953480491901,28.26946000000004,2.562106816350833,1024.7994,13.000595991694455
2050,1,1,16,0,199.4675,67.3359,557.2039,395.9679907262831,27.38992000000001,3.0747103501651174,1024.6819,13.129889055924384
2050,1,1,17,0,31.2765,17.993,135.7541,70.35070827928901,25.13366000000002,2.4816877099761765,1024.8619,21.26508856408174
2050,1,1,18,0,0.0,0.0,0.0,0.0,23.15933000000001,2.215084192611053,1025.4194,24.513810529106465
2050,1,1,19,0,0.0,0.0,0.0,0.0,23.245870000000025,0.7863948086533026,1026.4525,25.8149022824626
2050,1,1,20,0,0.0,0.0,0.0,0.0,19.65930000000003,0.4458853925843718,1027.3369,30.771936300894364
2050,1,1,21,0,0.0,0.0,0.0,0.0,17.47592000000003,1.1032188066229267,1028.09,30.45614456361088
2050,1,1,22,0,0.0,0.0,0.0,0.0,15.865750000000048,1.489997268353939,1028.6044,27.12989242686277
2050,1,1,23,0,0.0,0.0,0.0,0.0,14.601770000000045,2.115473224731339,1028.59375,28.57714647893413
2050,1,2,0,0,0.0,0.0,0.0,0.0,14.76522,2.264700016221825,1028.31875,26.31370434989228
2050,1,2,1,0,0.0,0.0,0.0,0.0,14.559600000000046,2.532243046798618,1028.27125,23.48947300548441
2050,1,2,2,0,0.0,0.0,0.0,0.0,14.229640000000018,2.76251898319777,1028.1169,23.91970072626465
2050,1,2,3,0,0.0,0.0,0.0,0.0,13.962820000000022,2.878784110780129,1028.3925,25.113677491897374
2050,1,2,4,0,0.0,0.0,0.0,0.0,13.50980000000004,2.864502313528729,1028.28,25.902139937502227
2050,1,2,5,0,0.0,0.0,0.0,0.0,13.209920000000013,2.8729605625232058,1028.4881,27.752513512796057
2050,1,2,6,0,0.0,0.0,0.0,0.0,13.037959999999998,3.01419553270338,1028.5706,28.808568224934287
2050,1,2,7,0,7.2541,3.5926,73.8136,8.744706489100036,13.170980000000045,3.211936241426112,1028.9925,28.6195721703926
2050,1,2,8,0,147.4523,34.6939,654.2875,237.02864125958268,14.483360000000005,3.337286848591466,1029.1344,24.482654501216665
2050,1,2,9,0,346.5416,52.1873,878.1063,512.0346278239575,16.88656000000003,3.251311738793666,1029.9419,22.89387752430793
2050,1,2,10,0,512.3112,61.0282,964.991,739.9364438215592,22.725120000000004,2.159513720216591,1030.2494,14.749069273535142
2050,1,2,11,0,624.0298,65.786,1004.6116,904.7841707719684,24.43850000000004,1.6308585409255183,1029.995,14.6374392250141
2050,1,2,12,0,671.0614,67.9807,1017.5031,993.2395468345992,26.062040000000025,1.2349120411018275,1028.8544,13.307140744727308
2050,1,2,13,0,649.3629,67.9451,1009.2281,997.4657901191416,27.158900000000017,1.2354953626216605,1027.6169,12.837843124757914
2050,1,2,14,0,561.0442,65.1847,977.9446,915.4073551940252,29.088340000000017,1.902433339254041,1026.7944,10.660858394680265
2050,1,2,15,0,413.6745,58.8978,908.2565,747.3662593296804,28.917140000000018,2.571306436092083,1026.3144,10.269464935959844
