Latitude (decimal degrees) : 30.529541
Longitude (decimal degrees) : -9.342859
Elevation (m) : 530.0
month,year
01,2022
02,2022
03,2022
04,2022
05,2022
06,2022
07,2022
08,2022
09,2022
10,2022
11,2022
12,2022
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),G(t),WS10m,WD10m,SP
20220101:0000,14.891380000000026,27.139188235760976,0.0,0.0,0.0,0.0,2.43190546703322,8.146676019139775,1024.1206
20220101:0100,14.531900000000007,26.992776220464204,0.0,0.0,0.0,0.0,2.6620967200879058,6.8604853019955385,1024.2256
20220101:0200,13.98782,27.40720658954128,0.0,0.0,0.0,0.0,2.909837490690845,6.561464882080614,1023.97
20220101:0300,13.694700000000012,25.235239234214568,0.0,0.0,0.0,0.0,3.098226796574344,7.54162958467991,1023.9669
20220101:0400,13.062220000000025,25.512667019449964,0.0,0.0,0.0,0.0,3.260375153809217,9.292336776860296,1023.5525
20220101:0500,12.66805000000005,25.0292125893978,0.0,0.0,0.0,0.0,3.311405760153174,10.25572897447124,1023.4769
20220101:0600,13.009520000000007,23.11607407886049,0.0,0.0,0.0,0.0,3.2881256925580704,10.909668907597876,1023.7125
20220101:0700,13.025500000000022,24.03149077235623,6.3663,33.1027,4.6247,6.849013866758494,3.3217850033243272,11.12592099156825,1024.1219
20220101:0800,13.457449999999994,23.12451746054293,136.5618,489.7877,49.7042,200.81807523584703,3.399270751170804,11.388971360460886,1024.6769
20220101:0900,16.8057,18.625684859922917,332.6556,759.0411,77.4156,474.2693298603541,3.3431049929229477,13.874823409072404,1025.31125
20220101:1000,21.037260000000003,17.004934403494904,498.4746,871.6797,90.8209,702.994603049235,1.8725451831662063,22.482528669971344,1025.4881
20220101:1100,24.760400000000004,11.403805270145096,610.7498,925.1891,97.2269,868.3120151812165,0.8277183941876369,102.14123226784686,1025.4306
20220101:1200,27.14940000000001,8.753934327153962,658.6099,949.0959,97.1652,958.2635620366422,0.9305580355374772,175.18689272988487,1024.7569
20220101:1300,28.518760000000043,7.551030750582672,637.9273,951.1097,91.5286,965.3728292179508,1.6707853490581517,205.1772280799429,1023.8425
20220101:1400,29.09103000000005,8.275223548974484,550.7772,927.1787,82.5016,886.3575088607317,2.390039694481405,223.283302222671,1022.9419
20220101:1500,29.20210000000003,8.397182439491143,403.6082,852.0944,72.3901,716.0039245134467,2.8983492323557454,237.7043551229721,1022.47375
20220101:1600,28.3956,7.391597744573483,213.1276,665.3016,56.248,449.77705465293013,3.0143912423688204,240.875139775032,1022.30875
20220101:1700,26.33938000000001,9.572988501483032,34.5386,182.8139,16.9065,87.76021274175969,2.498851052710675,234.27865094901816,1022.8625
20220101:1800,22.999480000000005,13.28287136994014,0.0,0.0,0.0,0.0,1.852826452372419,244.3370951800177,1023.15375
20220101:1900,22.132960000000026,16.35503218280856,0.0,0.0,0.0,0.0,0.7147043134017382,331.03486380872414,1023.905
20220101:2000,18.525840000000017,24.33376486847907,0.0,0.0,0.0,0.0,1.1018997655320073,50.14932487713446,1024.07
20220101:2100,17.345640000000003,25.006927941493963,0.0,0.0,0.0,0.0,1.34494840712966,46.156085763139394,1024.785
20220101:2200,16.866240000000005,26.23905414586921,0.0,0.0,0.0,0.0,1.2417348632140273,41.71288314212034,1025.4819
20220101:2300,15.623680000000036,28.76037298326093,0.0,0.0,0.0,0.0,1.5183567516163945,17.878131833492816,1025.7806
20220102:0000,14.41220000000004,32.05061198111606,0.0,0.0,0.0,0.0,2.0107623400411643,10.231035100468516,1025.6556
20220102:0100,14.048600000000022,32.25125440414332,0.0,0.0,0.0,0.0,2.286609708290875,9.789994350753917,1025.4381
20220102:0200,13.777120000000023,31.324600041738787,0.0,0.0,0.0,0.0,2.524130098249115,10.91642643040052,1025.1556
20220102:0300,13.52460000000002,30.62845083840287,0.0,0.0,0.0,0.0,2.719447206179528,10.837503630778642,1024.98125
20220102:0400,13.07570000000004,31.07823612449557,0.0,0.0,0.0,0.0,2.8388742311100037,10.316002686415246,1024.9069
20220102:0500,12.405240000000047,31.89386042496633,0.0,0.0,0.0,0.0,2.805946058036013,9.491570547404606,1025.1556
20220102:0600,11.95675,31.885377329211924,0.0,0.0,0.0,0.0,2.727461770319951,8.96976072151341,1025.2231
20220102:0700,11.716360000000009,31.102675944245867,6.3915,39.4522,4.368,7.003633543594795,2.740556006329153,8.694768177586269,1025.91375
20220102:0800,12.323880000000033,28.11459704586292,138.1087,521.2073,46.4682,206.7781567182975,2.792527063930064,8.326330488506215,1026.27375
