Latitude (decimal degrees) : 33.360293
Longitude (decimal degrees) : 2.333669
Elevation (m) : 894.0
month,year
01,2013
02,2014
03,2008
04,2017
05,2014
06,2008
07,2019
08,2005
09,2015
10,2015
11,2013
12,2020
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),G(t),WS10m,WD10m,SP
20130101:0000,4.7065000000000055,72.61199084850321,0.0,0.0,0.0,0.0,0.9927923055786896,229.2905811822418,1023.95625
20130101:0100,3.677099999999996,77.9819209321353,0.0,0.0,0.0,0.0,1.1578257290916736,249.78871450799323,1023.6431
20130101:0200,2.4747600000000034,84.5389894024432,0.0,0.0,0.0,0.0,1.5945831553784375,266.4493158581075,1023.6494
20130101:0300,1.971100000000036,87.45486689164063,0.0,0.0,0.0,0.0,1.8932196920903024,280.0294335236722,1023.33875
20130101:0400,1.124050000000011,89.00372148767838,0.0,0.0,0.0,0.0,1.7785039524766455,293.55650378910553,1022.71
20130101:0500,0.984770000000026,88.37231167691928,0.0,0.0,0.0,0.0,1.4514997686055966,298.30487667259035,1022.4281
20130101:0600,0.6009800000000496,87.14335417760296,0.0,0.0,0.0,0.0,1.3646516088597889,291.9582058729224,1022.3706
20130101:0700,0.5165000000000077,86.91669160838956,28.5293,6.6281,27.4224,27.676545917321,1.474289643353304,278.7169922021326,1022.68375
20130101:0800,4.017420000000016,78.44239639370923,192.5497,225.3766,127.8168,225.5857898658918,1.4738624526667343,272.9274255203211,1023.1569
20130101:0900,5.402150000000006,71.41048655006311,272.4002,91.8186,234.3243,282.2774520510851,1.5634418347897563,250.35366262693515,1023.76375
20130101:1000,9.772550000000024,56.81253836639042,393.2349,155.6875,314.6407,422.29942312660967,2.4851280677720675,240.514444081587,1024.3025
20130101:1100,10.3116,54.805416019705,426.5324,135.0964,352.6943,453.8514350498641,3.6007946274125326,234.481881257044,1022.7719
20130101:1200,10.712120000000027,53.54719482924485,330.5182,55.7181,300.6234,335.9553261568502,4.043263781486706,235.75645395628928,1021.56375
20130101:1300,11.18557000000004,52.72299098686558,360.3215,195.9886,265.827,422.4263979100076,4.022407222090759,238.5313851915364,1020.33
20130101:1400,11.62820000000005,48.55973953560382,308.3605,349.3223,170.0398,429.9943246898871,3.591893848925856,241.92936042534865,1019.58625
20130101:1500,11.95034000000004,47.47819937266835,178.2787,236.131,120.8217,260.12842299873705,2.9914233004655824,238.405249557946,1019.5531
20130101:1600,11.959600000000025,45.397708268261965,41.4656,156.7557,25.4377,90.02827119312569,3.24205873224456,218.96888722649737,1019.2519
20130101:1700,10.046040000000003,52.36329780220718,0.0,0.0,0.0,0.0,3.490751541340727,202.2663988572268,1019.7406
20130101:1800,9.579520000000002,51.995472776827,0.0,0.0,0.0,0.0,3.423918072598568,203.93863697247767,1020.0881
20130101:1900,9.14846,51.60042689862215,0.0,0.0,0.0,0.0,2.8845069558385363,214.48128357568385,1020.355
20130101:2000,7.68180000000001,56.69202499731696,0.0,0.0,0.0,0.0,2.1747870274316083,234.6725201332744,1020.7481
20130101:2100,6.346550000000036,65.04957974516084,0.0,0.0,0.0,0.0,1.6199774849389388,266.4142059206688,1021.1731
20130101:2200,5.951380000000029,70.42914716580313,0.0,0.0,0.0,0.0,1.377225703724415,289.80353422636114,1021.3
20130101:2300,5.531640000000039,74.49877123767669,0.0,0.0,0.0,0.0,1.8316391285673088,330.7041804751697,1021.4175
20130102:0000,5.003870000000006,80.50885178217479,0.0,0.0,0.0,0.0,2.1382708539577187,349.1140098323938,1021.3906
20130102:0100,5.21523000000002,79.40110358796453,0.0,0.0,0.0,0.0,2.519073904115743,357.6653903365116,1021.015
20130102:0200,4.098080000000039,85.22483453843233,0.0,0.0,0.0,0.0,2.763413373817829,2.29335390238316,1020.8931
20130102:0300,3.690269999999998,86.63710810925339,0.0,0.0,0.0,0.0,2.986259096926083,1.7709086026484613,1020.73125
20130102:0400,3.4341699999999946,87.36448236851767,0.0,0.0,0.0,0.0,2.8021277494836063,5.100761074064721,1020.6519
20130102:0500,3.115260000000035,87.18554567581974,0.0,0.0,0.0,0.0,2.648879220118029,3.786455833356058,1020.5044
20130102:0600,3.3527500000000146,86.80848273864133,0.0,0.0,0.0,0.0,2.756643632209769,1.5881638267415212,1021.05
20130102:0700,3.895260000000008,84.77542348075843,59.5357,157.0119,42.2664,78.41719326139861,2.735135295926053,0.1738855290830088,1021.5894
20130102:0800,5.873070000000041,76.77695257751024,149.9605,42.0924,139.7392,152.09593612838125,2.681876301506968,1.0125769302935197,1022.08875
20130102:0900,7.489340000000027,74.56439564606718,266.1931,64.4963,240.3949,270.20495031835435,2.7450604017996687,2.4636138647945813,1022.6881
20130102:1000,9.645350000000008,65.27829726884887,364.8231,158.6572,285.3801,396.8082378267365,3.2284793519739585,354.939801016615,1023.1275
20130102:1100,9.70953000000003,68.40724464726328,473.3094,450.5014,223.9962,609.3125016877082,3.7506444586908647,1.928543009541599,1022.3475
20130102:1200,9.423200000000008,70.52375221102494,289.965,76.9838,247.7914,305.0982589432576,3.3393274736040848,12.91143380179625,1021.675
20130102:1300,9.544600000000004,69.17804944834009,345.1321,146.6063,273.7299,387.2966659277563,2.920127572705984,13.62742709432706,1020.95
20130102:1400,9.96923000000004,64.14260050499664,245.6603,97.1364,206.7124,271.14962197431805,2.670165894163881,7.819122569038612,1020.15375
20130102:1500,10.439050000000009,60.21996856574117,121.2222,14.4486,118.3351,121.30159562030931,2.343913180945996,8.48336633199331,1019.89
20130102:1600,10.66805000000005,56.53261254961994,41.8766,151.3954,28.8791,91.30529669724538,2.0166702533433103,5.9812770604901,1019.64
20130102:1700,8.124630000000025,71.69979053420354,0.0,0.0,0.0,0.0,1.4053648957879452,4.633402117828524,1019.91125
20130102:1800,7.953820000000007,68.58216491986666,0.0,0.0,0.0,0.0,1.801252643049041,347.2717192756893,1020.4794
20130102:1900,7.862050000000011,67.76529169889851,0.0,0.0,0.0,0.0,3.045207432816659,341.9035994644162,1020.8556
20130102:2000,7.098960000000034,71.07336150868544,0.0,0.0,0.0,0.0,4.310453911238386,350.3322109945141,1021.9094
20130102:2100,6.584249999999997,72.82271540465338,0.0,0.0,0.0,0.0,4.784253631349957,358.29480418603003,1022.5356
20130102:2200,5.924599999999998,79.64263866025019,0.0,0.0,0.0,0.0,4.671130746269444,4.00406098138221,1022.6
20130102:2300,5.251120000000014,82.49983124914655,0.0,0.0,0.0,0.0,4.75545516888528,6.542341438032537,1023.0756
20130103:0000,4.768600000000049,85.18296706709933,0.0,0.0,0.0,0.0,4.703361244730738,5.903042545387208,1023.39125
20130103:0100,4.266050000000007,86.37409122898286,0.0,0.0,0.0,0.0,4.625887084303395,2.781380870278923,1023.46375
20130103:0200,3.887900000000002,88.51524521062424,0.0,0.0,0.0,0.0,4.675360520900209,1.0896795397350445,1023.6131
20130103:0300,4.038540000000012,85.45120073048508,0.0,0.0,0.0,0.0,5.114900453869566,4.521212068282651,1023.3369
20130103:0400,4.017539999999997,84.54830167620358,0.0,0.0,0.0,0.0,5.654222433513759,5.284721300452617,1023.675
20130103:0500,3.792930000000013,85.77254922499125,0.0,0.0,0.0,0.0,5.839060789976149,9.60969176276295,1024.0025
20130103:0600,4.203330000000051,83.38191851905897,0.0,0.0,0.0,0.0,5.799667801408651,14.914064270784522,1024.5881
20130103:0700,4.215450000000033,82.63311885352866,9.7958,0.0,9.7958,9.303654368896852,6.296536072777655,19.46327897542811,1025.4144
20130103:0800,4.711150000000032,78.8584272296404,27.1692,0.0,27.1692,25.804206525187567,7.247000586268084,20.86837309383885,1026.575
20130103:0900,5.206630000000018,77.07820080115314,151.2157,201.7524,71.0345,198.3417842208568,9.352386041027833,24.90212107201485,1027.4106
20130103:1000,6.543420000000026,66.85262371500251,148.0948,1.4003,147.3971,141.10142735355822,10.354053732808106,32.99395543964545,1028.5581
20130103:1100,6.425960000000032,70.63811061680035,153.9764,0.5474,153.6726,146.43405600360043,10.331609383817892,35.473963622179646,1028.7525
20130103:1200,6.273400000000038,71.96483223551589,172.7627,0.8978,172.2815,164.44003268149197,9.82671265412991,37.95382595901487,1028.3219
20130103:1300,6.07632000000001,73.43010887555366,256.9402,31.5324,241.7108,256.98812203188453,9.409094710380856,38.36893162166042,1027.9506
20130103:1400,6.616660000000024,70.86405329072461,68.4921,1.4547,68.0115,65.71572532565581,8.970099079368405,36.44701589444716,1027.7525
20130103:1500,7.140100000000018,67.24596562068784,131.4291,54.2994,118.5532,146.2240358635156,9.677034279559598,36.33035362205005,1027.9731
20130103:1600,7.726280000000031,63.13282253049629,40.4332,119.098,28.1816,77.2890185922785,8.431067985616666,36.40660297253444,1028.56375
20130103:1700,7.10256000000004,71.88246598778983,0.0,0.0,0.0,0.0,7.444374305085106,36.77164751120983,1029.3331
20130103:1800,7.296600000000012,70.39380073378625,0.0,0.0,0.0,0.0,6.920028254417314,35.1531081128393,1030.2919
20130103:1900,7.667660000000012,67.83560529575065,0.0,0.0,0.0,0.0,6.674068003475278,33.98762164440557,1031.2406
20130103:2000,7.407680000000028,68.91901693672202,0.0,0.0,0.0,0.0,6.475738418862369,32.28308259385559,1031.9619
20130103:2100,6.319800000000043,72.96298724024275,0.0,0.0,0.0,0.0,6.081536305858447,27.95777699922497,1032.5525
20130103:2200,6.252949999999999,73.19794348421051,0.0,0.0,0.0,0.0,6.0030842324125775,23.43822094949938,1032.53625
20130103:2300,5.523700000000019,75.75847399443677,0.0,0.0,0.0,0.0,6.128515747125323,17.694107009912457,1033.0756
20130104:0000,4.988980000000026,77.60176001980447,0.0,0.0,0.0,0.0,6.330861135535026,13.676692372453118,1033.03375
20130104:0100,4.415430000000015,80.0566043839833,0.0,0.0,0.0,0.0,6.694755753119004,11.55261962585702,1033.2706
20130104:0200,3.885580000000005,84.57624770373559,0.0,0.0,0.0,0.0,6.959493620443696,12.417336126703075,1033.7419
20130104:0300,3.4594700000000103,88.29236095554621,0.0,0.0,0.0,0.0,6.723372479994606,12.494238680634254,1033.7269
20130104:0400,3.178030000000035,89.43433737569337,0.0,0.0,0.0,0.0,6.430207498727303,11.980529082619142,1033.8081
