Latitude (decimal degrees) : 37.929215
Longitude (decimal degrees) : -3.57393
Elevation (m) : 390.0
month,year
01,2013
02,2015
03,2006
04,2008
05,2009
06,2012
07,2017
08,2019
09,2010
10,2016
11,2016
12,2012
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),G(t),WS10m,WD10m,SP
20130101:0000,4.2690000000000055,87.9057673935907,0.0,0.0,0.0,0.0,1.3724961644173312,159.92677061604354,1023.56125
20130101:0100,4.548180000000002,90.97523698943716,0.0,0.0,0.0,0.0,1.338826303015606,158.2782593090651,1022.6306
20130101:0200,4.666160000000048,91.78403803612008,0.0,0.0,0.0,0.0,1.20045365085246,148.50042036449784,1021.9169
20130101:0300,6.156640000000039,92.5787483283516,0.0,0.0,0.0,0.0,0.919343598610164,167.2997623874835,1021.32875
20130101:0400,6.184600000000046,93.23408620428864,0.0,0.0,0.0,0.0,1.2537750708938935,225.544849218868,1021.47
20130101:0500,6.34023000000002,93.02772776042885,0.0,0.0,0.0,0.0,1.2802160661839146,223.03378508744663,1021.4356
20130101:0600,6.493550000000028,92.92235979357388,0.0,0.0,0.0,0.0,1.3467917362427233,213.69186677749795,1021.6206
20130101:0700,6.184470000000033,93.40574961694264,0.922,0.0,0.922,0.8756782833584698,0.9529665049835816,211.5937390351603,1022.07875
20130101:0800,6.536950000000047,93.1620980676302,58.3926,136.5739,33.2885,78.69919944393223,0.96532634140122,184.1343341801463,1022.0994
20130101:0900,6.669730000000016,93.12017589662187,73.5819,0.1145,73.551,69.91805434977584,0.8876472163855127,185.16107885532875,1022.49875
20130101:1000,7.715900000000033,90.94873952859592,189.4132,15.8623,182.7054,184.71557877108208,0.4758368548221888,240.2822375439004,1022.985
20130101:1100,8.256920000000036,90.1089700999462,250.6677,34.6146,234.4944,250.88992591742203,0.7572304655671895,245.77820252205493,1023.0994
20130101:1200,8.022670000000005,93.11344135780294,251.6412,40.3413,232.2618,255.4332844636104,1.1820631552047716,256.8294842231832,1022.62875
20130101:1300,8.089870000000019,93.8762919861808,281.1721,102.5807,234.4809,309.9742209819377,1.456948045163318,286.9432869767636,1022.28
20130101:1400,9.333280000000002,87.25413744815359,262.9285,276.328,165.7267,371.72440434055136,1.4465212010214472,309.9552315365018,1022.13125
20130101:1500,9.553860000000045,86.10732754240577,194.391,455.2167,83.1739,372.35507511151,1.0804079660840322,328.1889823018463,1022.3781
20130101:1600,9.47326000000004,90.073834349226,65.372,331.7917,27.257,180.51987559641145,0.3859838351450402,357.4101911387651,1022.3519
20130101:1700,8.196439999999996,95.03742559588188,0.0085,0.0,0.0054,0.005180616598697,0.4347544768853841,85.10142268370143,1023.0756
20130101:1800,8.095150000000046,94.7747038666672,0.0,0.0,0.0,0.0,0.8162117946579006,126.78592239466462,1023.6881
20130101:1900,8.111350000000016,92.65077343890178,0.0,0.0,0.0,0.0,0.8567115050819996,124.17604045873952,1024.105
20130101:2000,8.24430000000001,91.28294530098418,0.0,0.0,0.0,0.0,0.7845213040727065,130.03415141263974,1024.0406
20130101:2100,7.717650000000049,89.89768949186806,0.0,0.0,0.0,0.0,0.9224100169087208,98.81519569593566,1024.4881
20130101:2200,7.254100000000051,89.03797458985252,0.0,0.0,0.0,0.0,0.9724855647412456,98.79161429073288,1024.5425
20130101:2300,6.406640000000039,90.1848753560023,0.0,0.0,0.0,0.0,0.4134473480323682,88.54924858929448,1024.6675
20130102:0000,4.988240000000019,92.08658511679818,0.0,0.0,0.0,0.0,0.4975138706287684,32.60071240287809,1025.1106
20130102:0100,3.4574200000000133,92.89116304699316,0.0,0.0,0.0,0.0,0.9952757477853416,44.941613375222246,1025.335
20130102:0200,2.21917000000002,95.55028388501408,0.0,0.0,0.0,0.0,1.5300684255795394,67.18757619032402,1025.5181
20130102:0300,3.000820000000033,97.78315407476038,0.0,0.0,0.0,0.0,1.2993184424685746,79.80625107382987,1025.47875
20130102:0400,2.7935400000000072,97.4376943287418,0.0,0.0,0.0,0.0,1.1606492090765776,83.18582615051194,1025.9294
20130102:0500,2.892600000000016,95.3338103881927,0.0,0.0,0.0,0.0,1.1829903567404985,94.8048843870407,1025.9294
20130102:0600,3.17697000000004,93.87304854963443,0.0,0.0,0.0,0.0,1.1040428560666111,91.33205415504844,1026.46
20130102:0700,2.8659600000000296,93.89773910500662,8.3939,66.9803,4.8786,12.145848796388748,1.097332649455444,92.61334302238194,1027.2694
20130102:0800,3.4121300000000474,93.28405513533396,127.8408,546.6932,39.0024,224.65158131636124,1.014883228175705,109.51648979856434,1027.51125
20130102:0900,4.067470000000014,95.66428945484078,290.9918,775.4822,58.2836,476.9910785964715,0.9574474802086558,102.0486476457542,1027.9056
20130102:1000,7.287930000000017,81.45068367724593,411.2031,822.3036,76.3169,652.0291113901934,0.7833613779961484,96.86781610756412,1028.5175
20130102:1100,8.56304,77.86452625322895,482.3344,838.7587,88.1089,766.5992743607196,0.3113831337754383,63.45754953693294,1027.74
20130102:1200,10.12438000000003,72.90595018348792,498.9858,821.5917,100.6853,805.7835186120766,0.9664601336674472,11.722054136194544,1026.7475
20130102:1300,10.94500000000005,67.98279198495021,466.3044,853.5803,81.1992,804.236001207611,1.6597047077161309,358.60131622398296,1025.64
20130102:1400,11.807119999999998,59.80008904767734,351.5543,667.97,105.1938,619.215842725077,2.536372560849106,7.699763289578044,1025.19125
20130102:1500,11.812100000000044,58.0057672858012,224.9508,641.1095,64.6484,475.81057791153904,2.819196832114184,18.857517778985184,1025.3075
20130102:1600,11.519620000000032,60.32253317988311,66.4966,327.3462,28.0366,179.87544564099352,1.587933368660562,25.15529210132219,1025.2275
20130102:1700,9.620720000000006,66.82900255990198,0.0212,0.0,0.0197,0.0187353829072479,1.6595373667994855,28.36130587935005,1025.61875
20130102:1800,9.162800000000004,65.75446862352268,0.0,0.0,0.0,0.0,1.4221669233476235,17.982967984519362,1026.2244
20130102:1900,8.176500000000033,67.7197234559301,0.0,0.0,0.0,0.0,1.1696085940601026,16.213172150268377,1026.6806
20130102:2000,6.973960000000034,73.22711237682724,0.0,0.0,0.0,0.0,1.0208304297398103,354.3315040408549,1026.7969
20130102:2100,4.7873800000000415,76.74362950920933,0.0,0.0,0.0,0.0,1.4410416359651963,12.453658915483471,1027.3106
20130102:2200,3.949980000000039,79.65069569265533,0.0,0.0,0.0,0.0,1.9096778785280044,36.420510946616,1027.735
20130102:2300,3.401499999999998,81.23101374217806,0.0,0.0,0.0,0.0,2.037729760051141,36.52220403249122,1028.1631
20130103:0000,2.7842300000000364,83.87325326688673,0.0,0.0,0.0,0.0,1.86934480241226,41.85806789939314,1028.49875
20130103:0100,2.7719000000000165,84.99788717329317,0.0,0.0,0.0,0.0,1.5937107320972288,51.48163763483144,1029.00625
20130103:0200,1.911339999999996,88.08873641625193,0.0,0.0,0.0,0.0,1.5412361006949746,55.333045189858765,1029.6081
20130103:0300,1.4799399999999991,91.6723926220305,0.0,0.0,0.0,0.0,1.6236216600178042,58.91702337802984,1029.7144
20130103:0400,1.3495700000000284,90.86475189331132,0.0,0.0,0.0,0.0,1.679211026058857,63.0870883364067,1029.7275
20130103:0500,1.259730000000047,91.36044471095332,0.0,0.0,0.0,0.0,1.6106661630316352,64.29794372448731,1030.91
20130103:0600,0.9982500000000414,92.3732782782715,0.0,0.0,0.0,0.0,1.6737658770886328,64.53968641559335,1031.6956
20130103:0700,0.863900000000001,92.56784833165808,8.7707,78.5289,4.6918,13.146835684700182,1.7121738742346029,68.68852639110114,1032.5794
20130103:0800,1.273650000000032,88.93700594772717,134.9632,607.0536,36.3297,242.11890080753483,1.892183129152147,73.78296754488431,1033.4175
20130103:0900,3.150000000000034,83.48075213654491,301.8938,826.0653,53.5499,499.3715810055892,2.040195176110956,75.48909660461408,1034.0806
20130103:1000,8.20553000000001,63.31272547181956,433.5058,911.9257,62.0823,701.4040661470542,1.8816289665702044,72.30471400379112,1035.2531
20130103:1100,10.216970000000003,55.56325940877035,512.8307,948.4337,66.2696,835.3659608611827,1.9950821435266493,73.48396734360088,1035.3575
20130103:1200,11.230430000000013,51.79176041416223,531.5005,953.4476,67.7245,889.1580630446481,2.229255236039641,81.85569940500702,1035.1944
20130103:1300,11.896630000000016,49.433920704714126,488.0952,930.461,66.6749,857.0623192313993,2.320998121323969,88.26250415007425,1033.9156
20130103:1400,12.97213000000005,44.89736016396869,387.1271,872.2953,61.9358,738.4266112865096,2.560561535721071,84.7091253453182,1033.82
20130103:1500,13.49362000000002,41.41676226096304,239.8199,747.6796,50.9947,533.1790872447858,2.6560886012874043,79.42689067674219,1033.9881
20130103:1600,13.001670000000049,44.50390972971246,72.2291,400.3387,25.7374,212.6869262255584,1.8422390290946355,71.50607311457702,1034.30375
20130103:1700,8.885770000000036,60.7715519673788,0.0571,0.0,0.0533,0.0506858206913438,1.9617106938276552,66.08687844732792,1034.8756
20130103:1800,7.612999999999999,62.86277229143055,0.0,0.0,0.0,0.0,1.9538710847899368,69.40713880431154,1035.2344
20130103:1900,6.98406,64.56589285922443,0.0,0.0,0.0,0.0,1.9956005686321905,71.90571814721726,1036.0181
20130103:2000,6.532680000000028,65.060645246909,0.0,0.0,0.0,0.0,2.031869979929722,74.06849322293827,1036.6044
20130103:2100,5.20455000000004,69.97943746736695,0.0,0.0,0.0,0.0,1.9789402696317704,75.57812652156731,1037.3025
