Latitude (decimal degrees) : 31.6295
Longitude (decimal degrees) : -7.9811
Elevation (m) : 474.0
month,year
01,2010
02,2010
03,2010
04,2010
05,2010
06,2010
07,2010
08,2010
09,2010
10,2010
11,2010
12,2010
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),G(t),WS10m,WD10m,SP
20100101:0000,11.73422000000005,86.68258968531956,0.0,0.0,0.0,0.0,0.6944735945337258,359.9446089374368,1020.835
20100101:0100,10.806200000000048,91.34290384868387,0.0,0.0,0.0,0.0,0.9522881714725018,3.045743985770656,1020.53375
20100101:0200,9.935140000000048,93.35756000279022,0.0,0.0,0.0,0.0,1.2173565060786815,2.1018254855375886,1020.2469
20100101:0300,9.802099999999996,94.35520222113074,0.0,0.0,0.0,0.0,1.426047897312314,6.283660274080674,1019.8681
20100101:0400,9.294200000000046,95.2354730561522,0.0,0.0,0.0,0.0,1.829734454844642,12.266153610663054,1019.9831
20100101:0500,8.789180000000044,95.5746588873798,0.0,0.0,0.0,0.0,1.8893330013650984,24.946754097154454,1019.8844
20100101:0600,8.606160000000045,93.69407796967742,0.0,0.0,0.0,0.0,1.7842482343960215,46.37355921787848,1020.1756
20100101:0700,8.633260000000007,94.86087415215816,4.6685,0.0042,4.6683,4.4341335069363454,1.992294298326884,46.35487301975923,1020.72
20100101:0800,9.80734000000001,91.8809504886107,55.7135,0.4606,55.6051,52.96221484816929,1.9350256899562988,41.27513953439735,1021.6994
20100101:0900,10.451999999999998,91.47653995168136,234.2268,253.2888,138.3015,267.81286143126044,1.477715324028284,70.90685154321409,1022.2381
20100101:1000,12.726950000000045,77.4721641109238,466.5732,758.1263,119.5518,654.4623758181172,2.110729796696377,93.55902337373476,1022.705
20100101:1100,13.495400000000018,71.3648842149803,322.9609,100.5308,268.9026,339.8055197263625,2.605845786057043,63.361279478008335,1022.38875
20100101:1200,14.098839999999996,67.15911163681416,532.9858,580.8989,197.5759,715.0779982780343,3.027367265106921,44.18846962719472,1021.2375
20100101:1300,14.616780000000006,66.33546632709566,609.6809,927.1381,95.1542,937.1573114280725,3.237762238215353,39.654697755624206,1020.5131
20100101:1400,15.756600000000049,58.80786504251583,516.914,888.0286,88.9577,844.2866603720286,3.185562914345948,42.73819575122534,1019.84375
20100101:1500,16.03958,57.05258063490937,368.0835,799.941,77.6628,664.6894946137625,3.182082281147073,43.56552036842518,1019.4375
20100101:1600,15.937280000000044,56.03317817479766,180.6789,593.0059,55.9828,391.6572800945034,3.4998944114213844,38.60425422399711,1019.3081
20100101:1700,15.25410000000005,60.19129688607051,20.7082,113.3359,11.7514,52.49570009106607,3.260227392952145,36.51662056388376,1019.555
20100101:1800,14.05227000000002,64.92001308777036,0.0,0.0,0.0,0.0,2.9487802928506848,40.45725888318003,1019.5081
20100101:1900,13.133140000000026,66.8302048889231,0.0,0.0,0.0,0.0,2.8717196987052915,42.70524303725718,1019.69
20100101:2000,11.177300000000002,78.36528066204087,0.0,0.0,0.0,0.0,2.98626357085011,40.11684197175557,1019.61
20100101:2100,10.175440000000036,79.56703341960838,0.0,0.0,0.0,0.0,3.1834624428075697,43.04723153919123,1019.9419
20100101:2200,9.168450000000009,82.94472994394457,0.0,0.0,0.0,0.0,3.1240865151119617,64.00752493264523,1020.15625
20100101:2300,8.908230000000003,83.72990462998493,0.0,0.0,0.0,0.0,3.225894445793806,62.75705456859874,1020.0825
20100102:0000,8.189400000000035,85.09869751438872,0.0,0.0,0.0,0.0,3.141090462291503,59.508093207777456,1019.4381
20100102:0100,8.292320000000018,85.24451620663353,0.0,0.0,0.0,0.0,3.035791606262401,55.764314437020666,1019.0244
20100102:0200,7.572720000000004,86.71731206817289,0.0,0.0,0.0,0.0,2.9299165624909524,55.17440317537809,1018.9294
20100102:0300,7.294240000000002,88.98872857649992,0.0,0.0,0.0,0.0,2.7784089423263687,58.33916813182167,1018.9325
20100102:0400,7.202300000000037,90.11145216717256,0.0,0.0,0.0,0.0,2.465216452470543,67.89117852530515,1018.7306
20100102:0500,6.397420000000011,92.04086958800944,0.0,0.0,0.0,0.0,2.2197271806511893,80.03637415422315,1018.05
