#Meteo hourly data
#Site,Caniles-Spain
#Country,Morocco
#Data Source,Cams Solar radiations and ERA5 for meteorological data
#Time step,Hour
#Year,2050
#Latitude,37.466139
#Longitude,-2.6064
#Altitude,978.0
#Time zone,UTC+01:00
#Plane tilt,30
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,GPI,Tamb,WindVel,Press,RelHum
,,,,,W/m2,W/m2,W/m2,W/m2,deg.C,m/s,mb,%
2050,1,1,0,0,0.0,0.0,0.0,0.0,3.807370000000049,0.814607381150014,1027.2269,73.39746992296105
2050,1,1,1,0,0.0,0.0,0.0,0.0,3.7419700000000375,0.9315861256418412,1026.7025,73.87056093608498
2050,1,1,2,0,0.0,0.0,0.0,0.0,3.3765000000000214,0.9593548281915564,1026.6375,74.558431900781
2050,1,1,3,0,0.0,0.0,0.0,0.0,3.523900000000026,0.891969631530695,1025.9431,73.81260446837766
2050,1,1,4,0,0.0,0.0,0.0,0.0,3.3379000000000474,0.9635349626724008,1025.8156,74.2187146362447
2050,1,1,5,0,0.0,0.0,0.0,0.0,3.3942499999999995,1.1843334153969869,1025.5975,75.12534646101763
2050,1,1,6,0,0.0,0.0,0.0,0.0,3.32140000000004,1.3229554574124158,1025.7144,72.61484637833344
2050,1,1,7,0,14.0648,7.3647,108.5405,21.44029167557989,3.556900000000041,1.3828667476006191,1026.1306,70.22562673884107
2050,1,1,8,0,130.5861,64.413,412.2018,210.3621169943516,3.5868500000000267,1.433906679595,1026.2419,69.62357138082017
2050,1,1,9,0,303.1641,75.5539,707.3452,468.3370510800231,5.686300000000017,1.4790040664325983,1026.3381,60.57338106800509
2050,1,1,10,0,449.5288,70.1231,908.4456,718.9216376690094,9.150869999999998,0.9823540242826556,1026.6156,50.307617484226206
2050,1,1,11,0,425.1705,176.6179,525.4308,600.2438208675912,12.040120000000002,0.9842038404608198,1025.8219,36.19210040621425
2050,1,1,12,0,399.6217,237.3183,331.9328,513.7355367757605,14.28000000000003,1.1451646744935593,1024.6044,27.57304767990729
2050,1,1,13,0,377.9959,213.1189,365.5866,513.6439424752086,15.741270000000045,1.263162435365856,1023.5856,22.94767636665924
2050,1,1,14,0,313.715,172.4716,398.3523,471.3973910145987,16.62014000000005,1.2155480331469044,1022.53125,20.847422822588264
2050,1,1,15,0,205.4078,76.0713,520.0202,403.6765667046699,16.483300000000042,1.0432011529854155,1022.3306,21.02575505071521
2050,1,1,16,0,61.3972,24.843,331.3194,174.6157850963045,14.780850000000044,1.2647490513635515,1022.1794,38.85425441657372
2050,1,1,17,0,0.0,0.0,0.0,0.0,12.177940000000037,1.7708502187268238,1022.23625,31.95332007189304
2050,1,1,18,0,0.0,0.0,0.0,0.0,9.24395000000004,1.9407164276221425,1022.745,40.93038306735432
2050,1,1,19,0,0.0,0.0,0.0,0.0,8.704800000000034,1.9321291787276595,1023.2069,43.46042161321322
2050,1,1,20,0,0.0,0.0,0.0,0.0,8.452300000000037,1.5269779903382996,1023.41125,44.00804001265673
2050,1,1,21,0,0.0,0.0,0.0,0.0,6.707880000000046,1.2449250561548175,1023.59875,52.2382340007519
2050,1,1,22,0,0.0,0.0,0.0,0.0,4.228400000000022,1.0346953522684927,1023.63625,62.06676251249963
2050,1,1,23,0,0.0,0.0,0.0,0.0,4.492999999999995,1.0556734385154207,1023.91625,60.54961724420112
2050,1,2,0,0,0.0,0.0,0.0,0.0,4.520750000000021,1.264309958543989,1023.8325,62.26763540349387
2050,1,2,1,0,0.0,0.0,0.0,0.0,4.710170000000005,1.347000475797452,1023.39625,61.540979530277525
