Latitude (decimal degrees) : 37.466139
Longitude (decimal degrees) : -2.6064
Elevation (m) : 978.0
month,year
01,2023
02,2009
03,2021
04,2016
05,2007
06,2024
07,2009
08,2011
09,2024
10,2005
11,2009
12,2012
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),G(t),WS10m,WD10m,SP
20230101:0000,3.807370000000049,73.39746992296105,0.0,0.0,0.0,0.0,0.814607381150014,187.21833246581684,1027.2269
20230101:0100,3.7419700000000375,73.87056093608498,0.0,0.0,0.0,0.0,0.9315861256418412,186.0087602651922,1026.7025
20230101:0200,3.3765000000000214,74.558431900781,0.0,0.0,0.0,0.0,0.9593548281915564,181.38167126638004,1026.6375
20230101:0300,3.523900000000026,73.81260446837766,0.0,0.0,0.0,0.0,0.891969631530695,178.42371963197695,1025.9431
20230101:0400,3.3379000000000474,74.2187146362447,0.0,0.0,0.0,0.0,0.9635349626724008,181.58715951293613,1025.8156
20230101:0500,3.3942499999999995,75.12534646101763,0.0,0.0,0.0,0.0,1.1843334153969869,185.34486924632856,1025.5975
20230101:0600,3.32140000000004,72.61484637833344,0.0,0.0,0.0,0.0,1.3229554574124158,183.71521207652728,1025.7144
20230101:0700,3.556900000000041,70.22562673884107,14.0648,108.5405,7.3647,21.44029167557989,1.3828667476006191,182.0772697070688,1026.1306
20230101:0800,3.5868500000000267,69.62357138082017,130.5861,412.2018,64.413,210.3621169943516,1.433906679595,178.8030563529946,1026.2419
20230101:0900,5.686300000000017,60.57338106800509,303.1641,707.3452,75.5539,468.3370510800231,1.4790040664325983,169.08654246783573,1026.3381
20230101:1000,9.150869999999998,50.307617484226206,449.5288,908.4456,70.1231,718.9216376690094,0.9823540242826556,157.03489376293027,1026.6156
20230101:1100,12.040120000000002,36.19210040621425,425.1705,525.4308,176.6179,600.2438208675912,0.9842038404608198,134.74812323501587,1025.8219
20230101:1200,14.28000000000003,27.57304767990729,399.6217,331.9328,237.3183,513.7355367757605,1.1451646744935593,132.60081908264266,1024.6044
20230101:1300,15.741270000000045,22.94767636665924,377.9959,365.5866,213.1189,513.6439424752086,1.263162435365856,135.59414942008553,1023.5856
20230101:1400,16.62014000000005,20.847422822588264,313.715,398.3523,172.4716,471.3973910145987,1.2155480331469044,132.4415224655555,1022.53125
20230101:1500,16.483300000000042,21.02575505071521,205.4078,520.0202,76.0713,403.6765667046699,1.0432011529854155,125.38267943074337,1022.3306
20230101:1600,14.780850000000044,38.85425441657372,61.3972,331.3194,24.843,174.6157850963045,1.2647490513635515,101.93775288570345,1022.1794
20230101:1700,12.177940000000037,31.95332007189304,0.0,0.0,0.0,0.0,1.7708502187268238,118.72641837778517,1022.23625
20230101:1800,9.24395000000004,40.93038306735432,0.0,0.0,0.0,0.0,1.9407164276221425,136.7012593208874,1022.745
20230101:1900,8.704800000000034,43.46042161321322,0.0,0.0,0.0,0.0,1.9321291787276595,151.67273487229585,1023.2069
20230101:2000,8.452300000000037,44.00804001265673,0.0,0.0,0.0,0.0,1.5269779903382996,167.6867461476001,1023.41125
20230101:2100,6.707880000000046,52.2382340007519,0.0,0.0,0.0,0.0,1.2449250561548175,185.4098378933452,1023.59875
20230101:2200,4.228400000000022,62.06676251249963,0.0,0.0,0.0,0.0,1.0346953522684927,200.59520726772496,1023.63625
20230101:2300,4.492999999999995,60.54961724420112,0.0,0.0,0.0,0.0,1.0556734385154207,215.2686942635844,1023.91625
20230102:0000,4.520750000000021,62.26763540349387,0.0,0.0,0.0,0.0,1.264309958543989,222.28378228141165,1023.8325
20230102:0100,4.710170000000005,61.540979530277525,0.0,0.0,0.0,0.0,1.347000475797452,221.49469171532195,1023.39625
20230102:0200,5.275720000000035,59.24080898572944,0.0,0.0,0.0,0.0,1.2188860673358484,216.3475785781137,1023.4606
20230102:0300,5.4909300000000485,58.97812541894646,0.0,0.0,0.0,0.0,1.3064625825692406,221.48771620146752,1023.29375
20230102:0400,5.497700000000009,61.09167542974411,0.0,0.0,0.0,0.0,1.3917612991250805,232.3402153894911,1023.39375
20230102:0500,5.377340000000004,62.02046194116257,0.0,0.0,0.0,0.0,1.2469104132839517,234.88029018841883,1023.4469
20230102:0600,5.683680000000038,60.99869076980931,0.0,0.0,0.0,0.0,1.2476900817342873,229.03252319690444,1023.8494
20230102:0700,5.512350000000026,61.54162833868181,12.148,62.3034,8.1965,15.982424611015707,1.0876497920070272,225.5956738270991,1024.2969
20230102:0800,5.347380000000044,67.45950687833925,127.875,374.0696,57.5502,189.7543029310652,0.9552583789210592,216.3667075909133,1024.73375
20230102:0900,7.455770000000029,59.99468333811374,267.6979,519.3835,104.2981,389.7569874177622,0.9868592385997356,230.98766036090973,1025.17625
20230102:1000,11.15527000000003,48.951532554353605,340.2072,334.2039,200.6231,430.3998527739968,0.5007364816349164,239.0847515020417,1025.78625
20230102:1100,13.570150000000012,39.87032836607749,328.6159,135.6158,263.8656,362.2672359699063,0.4863743872224972,258.5621024380381,1025.3706
20230102:1200,15.052940000000037,36.53235099833426,385.0493,312.4948,231.4426,491.48522052127134,0.4483278456773481,300.45407676618606,1024.4
20230102:1300,15.408040000000028,38.76431914199364,327.6039,226.4374,227.5475,409.10640879667153,0.5459019033298129,312.6042020888418,1023.67875
20230102:1400,15.797799999999995,38.56145117875284,273.4005,296.3804,169.5637,390.3309621001208,0.6768473207557187,306.07523628268706,1023.1181
20230102:1500,15.563260000000014,39.71676019491964,211.7012,570.1234,70.1802,431.0645890652336,0.4425594595919644,312.4932157464238,1023.3275
20230102:1600,14.703760000000043,46.731361164077406,57.7998,256.7396,28.2623,144.4135863704119,0.7129255214567795,304.6492395608357,1023.3519
20230102:1700,12.891080000000043,50.97996190946641,0.0,0.0,0.0,0.0,1.047241509765226,321.9555873198558,1023.97625
20230102:1800,10.938000000000043,59.550553727294606,0.0,0.0,0.0,0.0,1.865334088148182,313.0058091892596,1024.71125
20230102:1900,11.084220000000016,60.391729831710414,0.0,0.0,0.0,0.0,2.180399745898749,309.06941090941893,1025.46375
20230102:2000,10.87438000000003,64.24050264851915,0.0,0.0,0.0,0.0,1.5607797384609925,297.8472418061334,1025.7425
20230102:2100,9.026030000000048,71.06138284292258,0.0,0.0,0.0,0.0,1.3022666803934846,272.15483923478394,1026.0725
20230102:2200,8.375630000000001,77.92095235036882,0.0,0.0,0.0,0.0,0.9825048067610792,261.33204420775445,1026.4506
20230102:2300,7.839040000000011,80.49260680662684,0.0,0.0,0.0,0.0,0.6666952329131071,268.42357031298286,1026.6331
20230103:0000,6.7437400000000025,85.57380083569717,0.0,0.0,0.0,0.0,0.712840555207703,269.6823474877035,1026.8381
20230103:0100,6.768880000000024,87.84068550341969,0.0,0.0,0.0,0.0,0.6665627677142517,268.2723600691237,1026.6069
