Latitude (decimal degrees) : 37.582315
Longitude (decimal degrees) : -0.803275
Elevation (m) : 26.0
month,year
01,2015
02,2015
03,2015
04,2015
05,2015
06,2015
07,2015
08,2015
09,2015
10,2015
11,2015
12,2015
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),G(t),WS10m,WD10m,SP
20150101:0000,13.567300000000046,57.58342759960154,0.0,0.0,0.0,0.0,7.096126481016474,354.3669582440795,1028.6244
20150101:0100,13.65700000000004,66.37781585675229,0.0,0.0,0.0,0.0,7.111784403772997,10.223447577966551,1029.1244
20150101:0200,13.757040000000018,70.19701471923786,0.0,0.0,0.0,0.0,7.484814331435986,28.379225404869374,1029.8025
20150101:0300,13.685140000000048,71.72682175265636,0.0,0.0,0.0,0.0,7.591451846814381,41.6964499411395,1030.4381
20150101:0400,13.476980000000026,70.86012833855263,0.0,0.0,0.0,0.0,7.408968587673742,47.28350019769771,1030.8056
20150101:0500,13.39500000000004,66.88465434666534,0.0,0.0,0.0,0.0,7.119345293741781,47.238358612264136,1031.5475
20150101:0600,13.289150000000006,64.60077634985875,0.0,0.0,0.0,0.0,7.278326742181695,43.97399301580733,1032.70125
20150101:0700,13.17330000000004,64.72412017350145,2.3002,0.0,2.3002,2.1846368626693624,7.379779933389478,41.666872565671845,1033.6456
20150101:0800,13.103600000000029,66.49531219331499,21.7045,0.0013,21.7042,20.614274571983362,7.120121119149168,38.17932184235513,1034.6075
20150101:0900,13.013880000000029,68.24301972534516,263.3439,559.0219,70.9902,392.38140130657126,6.730102229202838,32.8502432616558,1035.3319
20150101:1000,13.133870000000002,68.64599430880392,435.7415,853.8789,72.2879,694.2775884166628,6.221900181080572,29.13580957205931,1036.0244
20150101:1100,13.203120000000013,68.19376284329685,500.9122,881.7744,77.8459,806.609189381366,6.182533228089914,30.7508282373336,1036.0944
20150101:1200,13.35372000000001,66.19760925535985,506.9437,880.8248,79.449,840.7913452815595,5.988399681767345,36.99711650839821,1035.52125
20150101:1300,13.507840000000044,63.5565512795984,453.2559,851.6236,76.933,791.8305145944836,5.352609212216847,46.10939567621106,1034.8256
20150101:1400,13.616200000000047,61.39224215700517,344.6625,779.5109,69.6791,657.0051692679476,4.833739356020692,55.14334954224548,1034.73375
20150101:1500,13.670000000000016,60.42977234090693,194.3575,620.851,54.0683,434.24114993464605,4.444240066814161,60.59288833119769,1034.9894
20150101:1600,13.71804000000003,59.81936332553362,40.6574,217.2339,19.2374,111.8585160756025,4.198559895158755,65.15230180938246,1035.3006
20150101:1700,13.764670000000024,59.05959856569586,0.0,0.0,0.0,0.0,3.815046901787386,70.25436303882256,1035.6706
20150101:1800,13.790200000000029,58.100653858507,0.0,0.0,0.0,0.0,3.3429537289877764,76.10406145178641,1036.40875
20150101:1900,13.7937,57.46911930701103,0.0,0.0,0.0,0.0,2.7584246966594472,81.99813505428442,1036.73
20150101:2000,13.790200000000029,57.10799206423508,0.0,0.0,0.0,0.0,2.1045902473846736,93.66723532417484,1036.8344
20150101:2100,13.780880000000025,56.60601458065389,0.0,0.0,0.0,0.0,1.5999780215856374,111.1135393391048,1036.6431
20150101:2200,13.677580000000034,56.08581237582308,0.0,0.0,0.0,0.0,1.1176499645992195,168.77045319594208,1036.8369
20150101:2300,13.699640000000043,55.53958055296886,0.0,0.0,0.0,0.0,1.1514322482524215,216.7180396408301,1036.6694
20150102:0000,13.701380000000029,55.51986384690729,0.0,0.0,0.0,0.0,1.4294590445356117,252.77838068829627,1036.2769
20150102:0100,13.674620000000004,56.417219362657015,0.0,0.0,0.0,0.0,1.751107844360038,273.413486366694,1036.2894
20150102:0200,13.565269999999998,58.55889762042828,0.0,0.0,0.0,0.0,1.8009216730948878,288.9731765401609,1036.1894
20150102:0300,13.403740000000028,61.31478840062267,0.0,0.0,0.0,0.0,1.725426621991451,292.33397178143525,1036.045
20150102:0400,13.265000000000043,63.5994324374276,0.0,0.0,0.0,0.0,1.7900594544214343,283.15455315129753,1035.9675
20150102:0500,13.199580000000026,65.03096507963895,0.0,0.0,0.0,0.0,2.098695931338242,265.1026153753378,1035.995
20150102:0600,13.168970000000002,66.52142494335729,0.0,0.0,0.0,0.0,2.354267364000954,254.22196541375916,1036.4194
20150102:0700,13.188230000000033,67.48934109563702,20.1402,129.6616,10.4566,30.547643736570492,2.559127643929802,239.0492506540187,1036.93125
20150102:0800,13.227000000000032,68.64069359716196,159.3524,584.1296,46.1682,269.1907744770641,3.282370896266502,233.27249348057444,1037.3731
20150102:0900,13.253930000000024,69.71283007796151,316.5403,771.6674,63.8833,508.4201042834475,3.574064043083271,237.11214185194004,1038.1069
20150102:1000,13.638700000000028,69.00660092789246,436.4834,853.529,72.5805,694.0434154851567,3.621712994154722,241.6259661093009,1038.7
20150102:1100,13.68243000000001,68.58941250716747,503.4661,887.9306,76.4911,810.6284482853818,3.5524902388558317,239.24347450143145,1038.78125
20150102:1200,13.69595000000004,68.7471214842138,511.0699,892.9775,76.3896,849.0948291199797,3.755671261855863,237.5575161146419,1038.0675
20150102:1300,13.746100000000013,69.01919633473345,458.594,870.335,72.479,804.4400049726648,4.235724689290941,231.3992766983156,1037.4069
20150102:1400,13.77710000000002,69.43018021230387,350.8451,807.2317,64.5296,674.4232849426592,4.482238409215584,226.84502218874263,1036.9081
20150102:1500,13.815269999999998,69.33708759124464,200.4714,660.9229,49.969,456.3223507586678,4.327608688892637,224.99928569418037,1036.9556
20150102:1600,13.881600000000049,69.30106826950355,43.6511,253.5483,18.6189,127.43686545956133,4.232803396402857,227.15035134366929,1037.0919
20150102:1700,13.967740000000047,69.42158178954038,0.0,0.0,0.0,0.0,4.2201763827220455,228.46240693329,1037.4694
20150102:1800,14.047600000000044,69.69430936511397,0.0,0.0,0.0,0.0,4.2172412683996585,225.994944662403,1037.5575
20150102:1900,14.083460000000002,70.16071944468494,0.0,0.0,0.0,0.0,4.2646115110327845,223.671176993558,1038.0231
20150102:2000,14.125850000000014,70.58476839788199,0.0,0.0,0.0,0.0,4.453730315828521,223.36924241754707,1038.1319
20150102:2100,14.135460000000023,71.34844257030113,0.0,0.0,0.0,0.0,4.574978895171684,225.1066145355769,1038.1119
20150102:2200,13.826930000000004,75.10583249828022,0.0,0.0,0.0,0.0,4.866024970559757,231.1888957599913,1038.47375
20150102:2300,13.876100000000008,75.7953255446466,0.0,0.0,0.0,0.0,4.836515506267528,236.00917260444507,1038.445
20150103:0000,13.893820000000003,76.4898944588365,0.0,0.0,0.0,0.0,4.56795206205497,239.24608273682855,1038.4544
20150103:0100,13.884850000000029,76.93670634629518,0.0,0.0,0.0,0.0,4.4352177223248255,235.15011945904,1038.1225
20150103:0200,13.876520000000028,77.0961406764039,0.0,0.0,0.0,0.0,4.420590961504478,229.93816997996805,1038.1775
20150103:0300,13.84480000000002,77.3449516148797,0.0,0.0,0.0,0.0,4.5503972885360735,226.50491215295256,1037.73
20150103:0400,13.81510000000003,77.54005485234637,0.0,0.0,0.0,0.0,4.815398877922282,226.88032579055255,1037.5031
20150103:0500,13.794200000000046,77.88668317353147,0.0,0.0,0.0,0.0,5.10349886027802,227.4460392951511,1037.23125
20150103:0600,13.829060000000029,77.51494086310244,0.0,0.0,0.0,0.0,5.317302526681562,227.5778077210761,1037.3944
20150103:0700,13.882800000000032,76.6916661725763,22.4587,193.4931,8.5204,38.566618331320015,5.440104198828696,227.58783089312257,1037.55625
20150103:0800,13.961569999999996,75.56655778204498,169.6201,703.5165,34.4065,303.25919215442156,5.462294333533882,228.5834363643054,1038.0044
20150103:0900,14.013500000000022,74.64388301831858,329.862,868.2831,45.5715,546.4597556936694,5.57799278031848,228.8963928210309,1038.3944
20150103:1000,14.28875000000005,71.97465311273653,451.5282,938.4431,50.79,735.3172646300583,6.035112750811313,232.9410560536265,1038.63125
20150103:1100,14.317700000000002,72.03948650148125,519.8466,968.4424,53.031,855.5351728831835,6.288437549779736,230.696645033146,1038.33875
20150103:1200,14.343600000000038,72.38859069962041,528.213,972.7698,53.1739,897.203947056216,6.540845757220111,228.1604319561304,1037.3244
20150103:1300,14.377470000000017,72.7218948230322,475.8098,952.858,51.3178,855.2910128709784,6.843996093233974,225.9681716656558,1036.2681
20150103:1400,14.445899999999996,72.5484816294392,367.4153,898.8297,46.8656,728.7070975997356,7.0568689748554885,224.35050278292107,1035.7506
20150103:1500,14.51943,72.38930620928612,214.8176,772.5336,37.8625,515.3650878581094,7.116810693458043,223.5015915275995,1035.4556
20150103:1600,14.609640000000011,73.04252427735382,50.0447,354.1952,15.5689,168.83355424102768,7.263493601142635,223.14086445992805,1035.1619
20150103:1700,14.693840000000025,73.1314499055569,0.0,0.0,0.0,0.0,7.381147734640879,223.5344025283389,1034.9556
20150103:1800,14.783600000000035,73.12596161520771,0.0,0.0,0.0,0.0,7.311233051052962,225.09706874707967,1034.9519
20150103:1900,14.86650000000003,73.70465013671492,0.0,0.0,0.0,0.0,7.313014229721035,226.9760354378589,1035.00375
20150103:2000,14.983850000000018,74.2533797873309,0.0,0.0,0.0,0.0,7.328011619192275,228.90404057490665,1034.91625
20150103:2100,15.112900000000025,74.6913426793981,0.0,0.0,0.0,0.0,7.237971342912242,230.42062616394915,1034.7081
20150103:2200,15.045600000000036,77.14762592801618,0.0,0.0,0.0,0.0,7.303132339460333,233.9961004258734,1034.7375
20150103:2300,15.141320000000007,77.40139808165847,0.0,0.0,0.0,0.0,7.129402644818778,233.59430337047445,1034.1619
20150104:0000,15.225600000000044,78.06688316849352,0.0,0.0,0.0,0.0,7.02941054857009,234.01745962273395,1033.82125
20150104:0100,15.245870000000023,79.04903614466157,0.0,0.0,0.0,0.0,6.970939196399694,235.5088651489457,1033.5475
20150104:0200,15.244780000000048,79.96147692815488,0.0,0.0,0.0,0.0,6.618775102935221,237.8266424692914,1033.2
20150104:0300,15.19616000000002,81.28307062383769,0.0,0.0,0.0,0.0,5.982178273782298,240.78131787160245,1032.7575
20150104:0400,15.100270000000023,82.08594400561104,0.0,0.0,0.0,0.0,5.229624406781141,245.8409349306532,1032.6
20150104:0500,14.996759999999997,83.59949473336152,0.0,0.0,0.0,0.0,4.816685425617972,246.41776519642715,1032.0725
20150104:0600,14.96243000000004,84.4039644717672,0.0,0.0,0.0,0.0,4.867562553279464,242.42425676978485,1032.0494
20150104:0700,15.015530000000012,84.6064307147145,22.0532,179.2503,9.0945,36.6161104544953,5.328983932855591,237.73732911976447,1031.9894
20150104:0800,15.091150000000027,82.89073761448059,168.0193,675.6482,37.9027,295.1359494232936,5.744655468425421,237.25144979430772,1032.2444
20150104:0900,15.097740000000044,82.11243494705104,327.4014,841.8287,51.3446,536.0632594285498,5.864953610509656,237.4385564658006,1032.2644
20150104:1000,15.36984000000001,80.38269848123491,447.7861,910.3252,58.2638,721.6785354480527,5.871180423475419,238.45400495998675,1032.3569
