#Meteo hourly data
#Site,Cartagena-Spain
#Country,Morocco
#Data Source,Cams Solar radiations and ERA5 for meteorological data
#Time step,Hour
2008
#Latitude,37.582315
#Longitude,-0.803275
#Altitude,26.0
#Time zone,UTC+01:00
#Plane tilt,30
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,GPI,Tamb,WindVel,Press,RelHum
,,,,,W/m2,W/m2,W/m2,W/m2,deg.C,m/s,mb,%
2008,1,1,0,0,0.0,0.0,0.0,0.0,13.580930000000023,0.6863517929440981,1026.3669,64.56181977500465
2008,1,1,1,0,0.0,0.0,0.0,0.0,13.562400000000023,0.8229344382123905,1025.9756,64.44693852639347
2008,1,1,2,0,0.0,0.0,0.0,0.0,13.58474000000001,1.2274185744274242,1025.3231,64.71441564612864
2008,1,1,3,0,0.0,0.0,0.0,0.0,13.64724000000001,1.7525155633460687,1024.9125,64.97505357110538
2008,1,1,4,0,0.0,0.0,0.0,0.0,13.661770000000049,2.5935283005945875,1024.685,64.94294847389796
2008,1,1,5,0,0.0,0.0,0.0,0.0,13.598540000000014,3.44787328916089,1024.6019,64.68856816330486
2008,1,1,6,0,0.0,0.0,0.0,0.0,13.530240000000047,3.963673847338059,1024.54625,66.41833484920726
2008,1,1,7,0,20.8993,10.5054,139.765,32.45742298261486,13.416350000000024,4.379884472562832,1024.4144,68.62975149235079
2008,1,1,8,0,161.9477,45.995,599.2748,275.7257064733207,13.34844000000004,4.953906489504413,1024.3375,69.6130337224103
2008,1,1,9,0,297.3207,81.7707,673.7687,469.1385881949315,13.2731,5.492429728847244,1024.64,71.0131252024609
2008,1,1,10,0,417.881,89.2246,765.6715,645.7866160919099,13.490380000000016,5.880187476681955,1024.6206,67.7292220424906
2008,1,1,11,0,506.9544,76.1525,898.5903,818.8570351127901,13.588099999999995,6.215289862639151,1024.4419,67.67289400733993
2008,1,1,12,0,513.7484,76.5119,901.8124,856.005769412135,13.612760000000035,6.693682159650042,1023.55125,68.75210523831088
2008,1,1,13,0,459.7874,73.582,875.1855,808.2088659004629,13.701560000000027,7.362653695148261,1022.545,68.39300940206267
2008,1,1,14,0,350.3387,66.1574,807.2949,674.3435110935085,13.757650000000012,7.827461923325265,1021.53375,68.9007660716505
2008,1,1,15,0,198.0985,51.309,652.3452,450.6960939874399,13.805260000000033,8.150260067848878,1020.8281,69.50734996345209
2008,1,1,16,0,41.5859,18.406,239.4754,120.51302776490073,13.82333,8.389572405111297,1020.75,70.57965869562193
2008,1,1,17,0,0.0,0.0,0.0,0.0,13.853420000000028,8.483886800095211,1020.54875,70.94091755069394
2008,1,1,18,0,0.0,0.0,0.0,0.0,13.89178000000004,8.28131977174708,1020.6556,70.42065192826928
2008,1,1,19,0,0.0,0.0,0.0,0.0,13.908530000000042,8.127807135560058,1020.6356,69.67574894127272
2008,1,1,20,0,0.0,0.0,0.0,0.0,13.98168000000004,7.891751718702394,1020.1281,69.45654531083132
2008,1,1,21,0,0.0,0.0,0.0,0.0,14.074370000000044,7.530180160972424,1019.8931,69.78163769247124
2008,1,1,22,0,0.0,0.0,0.0,0.0,14.117800000000043,7.938151996269848,1019.5706,73.33446041438712
2008,1,1,23,0,0.0,0.0,0.0,0.0,14.220730000000003,7.693605416912922,1019.47375,74.53385511990959
2008,1,2,0,0,0.0,0.0,0.0,0.0,14.30444,7.11735578613364,1019.07875,75.59605573130568
2008,1,2,1,0,0.0,0.0,0.0,0.0,14.330219999999995,6.361088466835849,1018.13,76.47656876130007
2008,1,2,2,0,0.0,0.0,0.0,0.0,14.259600000000034,5.515545464936087,1017.8506,77.8552233000343
2008,1,2,3,0,0.0,0.0,0.0,0.0,14.110900000000017,4.655883311830092,1017.6619,79.06652282163708
2008,1,2,4,0,0.0,0.0,0.0,0.0,13.874480000000004,3.875361790132937,1017.2856,80.07154233119326
2008,1,2,5,0,0.0,0.0,0.0,0.0,13.492240000000038,3.123330024161929,1017.205,82.1287564667664
2008,1,2,6,0,0.0,0.0,0.0,0.0,13.200220000000002,2.380511692745155,1016.8656,82.89922569753489
2008,1,2,7,0,9.6986,9.6958,0.0366,9.214510451880184,13.06167000000005,2.381212614124858,1016.875,83.2803102342793
