Latitude (decimal degrees) : 33.591918
Longitude (decimal degrees) : -7.603904
Elevation (m) : 54.0
month,year
01,2010
02,2010
03,2010
04,2010
05,2010
06,2010
07,2010
08,2010
09,2010
10,2010
11,2010
12,2010
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),G(t),WS10m,WD10m,SP
20100101:0000,12.876800000000005,86.19897039152457,0.0,0.0,0.0,0.0,2.8598996255333664,225.2189734883109,1019.87
20100101:0100,12.95270000000005,86.31380782399106,0.0,0.0,0.0,0.0,2.8133921751634787,222.52348611430835,1019.68125
20100101:0200,12.36483000000004,87.10260049625357,0.0,0.0,0.0,0.0,2.7846299958757696,218.1211320054989,1019.4219
20100101:0300,12.852869999999996,86.5858119196391,0.0,0.0,0.0,0.0,2.879557141714399,212.65806209199053,1019.2256
20100101:0400,12.872340000000008,86.41857436848504,0.0,0.0,0.0,0.0,2.920159689426898,207.00850134341084,1019.3356
20100101:0500,12.632930000000044,86.22887453272506,0.0,0.0,0.0,0.0,2.738623406071366,206.31078378075568,1019.2694
20100101:0600,12.59835000000004,86.2949655340353,0.0,0.0,0.0,0.0,2.615881868053382,205.91008131732576,1019.8331
20100101:0700,12.557100000000048,87.77445161163884,2.9699,0.0635,2.9667,2.822788256323527,2.7282807138557863,194.5681626175546,1020.1875
20100101:0800,12.688199999999997,86.4658070873997,84.201,94.3328,65.1366,91.95011556289232,3.213161225181816,188.2982947808328,1020.5119
20100101:0900,13.492999999999997,84.55261507635615,200.0596,165.513,149.8453,229.7499381856867,3.386387333921123,188.99332280782767,1020.9856
20100101:1000,16.170299999999997,68.08005265832877,259.5284,80.8938,223.3509,268.9711155564249,3.718674785575111,194.0397213887177,1021.815
20100101:1100,16.915300000000002,65.6333457598995,351.8308,172.9368,261.5132,391.4284627780736,3.4428734871910818,212.70464996842455,1022.00375
20100101:1200,17.286339999999996,65.20865228545493,458.7952,427.6269,224.1521,595.0342542399683,3.000251248612717,236.71370794906548,1021.24
20100101:1300,17.589440000000025,64.51173020377892,507.0686,671.689,150.9125,746.170559074739,2.662313383933586,253.5192641917212,1020.7231
20100101:1400,17.69410000000005,59.77092706412179,134.111,16.1649,126.7659,133.947948323305,2.2180251370659554,268.2800069037579,1020.19375
20100101:1500,17.430200000000013,60.77603888930573,244.1341,296.6783,148.4548,354.60510769696634,1.730561035647804,280.8649771683523,1020.1625
20100101:1600,17.450950000000034,60.30898548465269,137.0168,398.9201,62.1766,279.0822959099732,1.4873629705559015,297.18017861637577,1020.3106
20100101:1700,16.508020000000045,74.37090796503209,11.2289,42.6047,8.3922,22.691034386055147,1.0665966578009587,328.0836744511762,1020.38
20100101:1800,15.360860000000002,72.84113032313358,0.0,0.0,0.0,0.0,1.920800533265201,338.2242001168178,1020.0831
20100101:1900,14.291350000000024,74.86858607151396,0.0,0.0,0.0,0.0,2.135867000543475,346.9843674175643,1020.3525
