#Meteo hourly data
#Site,Constantina-Spain
#Country,Morocco
#Data Source,Cams Solar radiations and ERA5 for meteorological data
#Time step,Hour
2024
#Latitude,37.872164
#Longitude,-5.583515
#Altitude,502.0
#Time zone,UTC+01:00
#Plane tilt,30
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,GPI,Tamb,WindVel,Press,RelHum
,,,,,W/m2,W/m2,W/m2,W/m2,deg.C,m/s,mb,%
2024,1,1,0,0,0.0,0.0,0.0,0.0,8.841700000000003,1.2293458458549418,1021.1275,87.12357076473525
2024,1,1,1,0,0.0,0.0,0.0,0.0,8.951700000000017,1.0685149631430235,1021.1456,87.24107842367175
2024,1,1,2,0,0.0,0.0,0.0,0.0,8.795980000000043,1.0805363564451855,1020.38375,88.33153613255506
2024,1,1,3,0,0.0,0.0,0.0,0.0,8.747900000000016,0.9123942485149088,1020.2306,89.00117496017232
2024,1,1,4,0,0.0,0.0,0.0,0.0,9.00338000000005,0.807674957478269,1020.2106,88.57652726964709
2024,1,1,5,0,0.0,0.0,0.0,0.0,8.879480000000001,0.8174995834399381,1020.49,89.17777590317561
2024,1,1,6,0,0.0,0.0,0.0,0.0,8.792259999999999,0.920471781828551,1020.9769,89.28528779802828
2024,1,1,7,0,0.436,0.436,0.0,0.41409515351875575,8.958900000000028,1.0710771796440444,1021.2969,89.15850096720844
2024,1,1,8,0,57.716,52.7001,26.8011,58.570128953403355,8.723540000000014,1.275711836951101,1022.0119,89.7974431767061
2024,1,1,9,0,176.1572,122.0478,174.0799,206.66610984068677,10.23583000000002,1.3619309533090596,1022.6944,88.78011406880775
2024,1,1,10,0,311.0565,147.291,401.3912,415.8449065609325,11.537740000000042,0.8921927818988102,1023.16875,86.92453129788676
2024,1,1,11,0,491.1692,67.3821,914.6863,798.7435148553045,12.68548000000004,0.9544107563711832,1023.5681,83.40686299218383
2024,1,1,12,0,519.4661,63.521,941.5333,870.7907593084645,14.012,0.4950133520639008,1022.7594,77.46440721027957
2024,1,1,13,0,484.7021,60.8218,929.1177,852.9491645116432,15.563170000000014,1.2851277796759706,1021.855,69.14851483454333
2024,1,1,14,0,391.9811,55.5976,882.2435,748.7123716098903,16.263900000000035,1.71744878839918,1021.2306,63.74414340736772
2024,1,1,15,0,235.9177,57.3187,684.4329,509.02548678898836,16.7106,2.644217182442848,1021.16125,59.78595986193632
2024,1,1,16,0,87.4235,25.929,493.9695,267.1987178407561,16.783929999999998,2.2758292374600977,1021.5181,59.64129373472683
2024,1,1,17,0,0.777,0.5654,5.1038,1.9910278571840916,15.59826000000004,2.017833725698619,1022.13875,64.52564327360378
2024,1,1,18,0,0.0,0.0,0.0,0.0,14.404350000000022,2.0123619992137622,1022.455,65.64875789099243
2024,1,1,19,0,0.0,0.0,0.0,0.0,13.033530000000042,1.633700399559295,1023.0181,70.35890456146016
2024,1,1,20,0,0.0,0.0,0.0,0.0,11.319240000000036,1.461204680041274,1023.50375,76.37837334681853
2024,1,1,21,0,0.0,0.0,0.0,0.0,9.948480000000018,1.2237644654563178,1023.7444,81.3118318750717
2024,1,1,22,0,0.0,0.0,0.0,0.0,9.987270000000024,1.6218991961368006,1024.62125,85.91824451059608
2024,1,1,23,0,0.0,0.0,0.0,0.0,10.808370000000023,0.4891652497295426,1024.3994,82.58977895276453
2024,1,2,0,0,0.0,0.0,0.0,0.0,10.206630000000018,1.2120705828493652,1023.9369,85.5952397862398
2024,1,2,1,0,0.0,0.0,0.0,0.0,8.864980000000003,1.1489882873278885,1023.49625,91.17601845362762
2024,1,2,2,0,0.0,0.0,0.0,0.0,7.944479999999999,0.933020797486952,1024.00875,93.29379120361575
2024,1,2,3,0,0.0,0.0,0.0,0.0,7.59847000000002,1.1327152395874438,1023.895,94.58399437272692
2024,1,2,4,0,0.0,0.0,0.0,0.0,6.875760000000014,1.3429927470743912,1023.8306,95.80947775316396
2024,1,2,5,0,0.0,0.0,0.0,0.0,6.656400000000019,1.403064591274778,1023.70125,95.89241553615624
2024,1,2,6,0,0.0,0.0,0.0,0.0,6.284750000000031,1.339288467909943,1024.0606,96.7184902018526
2024,1,2,7,0,3.2904,2.4597,20.5983,4.0244221490715155,6.047880000000021,1.134791405404156,1024.6894,97.48059137873167
2024,1,2,8,0,101.5429,38.0633,434.2505,173.300603764471,5.726980000000026,1.3436054719475727,1025.075,97.99939187386585
2024,1,2,9,0,255.7947,65.3259,674.6932,412.821003539656,7.218350000000044,1.9633955304732795,1025.1444,96.02166326606527
2024,1,2,10,0,389.4568,77.443,785.5143,613.0746558213259,10.07498000000004,1.694608914567903,1025.54,89.51017236377035
2024,1,2,11,0,484.498,72.1029,888.467,782.2032793583406,12.09277000000003,1.7246619229738998,1025.38125,82.97187976113169
2024,1,2,12,0,507.7456,75.0831,891.0519,838.8186792564335,13.904530000000022,1.7485194206778978,1024.6456,76.6506423852883
2024,1,2,13,0,478.5757,69.2213,893.9507,831.7726637380467,15.42297000000002,1.7305055998581682,1023.5931,71.52555398438464
2024,1,2,14,0,388.3014,63.7651,846.946,729.8872022114116,16.51522,2.039212890851123,1022.3019,68.13634407760766
2024,1,2,15,0,247.976,54.9116,718.3852,530.6739846676656,16.935850000000016,1.6969644646943354,1021.9869,66.17902738424822
2024,1,2,16,0,86.1651,31.1866,428.0581,240.7178210199882,16.872580000000028,1.4981695398243986,1021.83625,64.89921098192039
2024,1,2,17,0,0.9,0.7473,4.6148,2.032978052905289,14.827780000000018,2.020373358817803,1021.7975,75.73112625589708
2024,1,2,18,0,0.0,0.0,0.0,0.0,12.361100000000022,2.367421821212073,1022.1094,82.13201764917156
2024,1,2,19,0,0.0,0.0,0.0,0.0,11.289120000000024,2.307910475279899,1022.60875,85.50941821607574
2024,1,2,20,0,0.0,0.0,0.0,0.0,10.417140000000018,1.8749570526844996,1022.8881,86.70697440591286
2024,1,2,21,0,0.0,0.0,0.0,0.0,11.90267,1.6573436728377604,1023.16625,81.48966330278617
2024,1,2,22,0,0.0,0.0,0.0,0.0,11.936059999999998,1.803927983925769,1023.0725,84.3370838683984
2024,1,2,23,0,0.0,0.0,0.0,0.0,11.577600000000018,1.592509396908731,1023.09625,85.95601390699356
2024,1,3,0,0,0.0,0.0,0.0,0.0,10.033749999999998,1.304145387459971,1022.9581,88.56627000783173
2024,1,3,1,0,0.0,0.0,0.0,0.0,9.71902,0.9681909525657024,1022.84,90.02090614980003
2024,1,3,2,0,0.0,0.0,0.0,0.0,10.189900000000025,0.3715172081761067,1022.47625,89.9284187248843
2024,1,3,3,0,0.0,0.0,0.0,0.0,10.251599999999996,0.5996469135433368,1022.27,90.55165251991195
2024,1,3,4,0,0.0,0.0,0.0,0.0,9.56310000000002,0.4370898585288778,1022.1375,92.76725979978804
2024,1,3,5,0,0.0,0.0,0.0,0.0,8.386099999999999,0.49118519004195,1022.30375,92.5366402469664
2024,1,3,6,0,0.0,0.0,0.0,0.0,7.766999999999996,0.4524456172367642,1022.52875,92.83144909346449
2024,1,3,7,0,0.4315,0.4315,0.0,0.4098212356498695,7.875820000000033,0.5299676343632981,1022.8044,93.36209414970632
2024,1,3,8,0,71.1928,45.673,152.4912,91.40369716528238,7.895170000000007,0.5534592631485975,1023.115,94.27730514301751
2024,1,3,9,0,96.6982,94.5235,9.5228,94.70867506935993,9.177729999999997,0.6754528488318844,1023.3244,96.14073090818913
2024,1,3,10,0,66.4467,66.4377,0.0211,63.11433254411593,10.50033000000002,0.9943583976875552,1023.7444,95.7339827420886
2024,1,3,11,0,201.205,194.7641,13.6499,195.94733195074522,12.39870000000002,0.9612268093365705,1023.7781,90.29800205695476
2024,1,3,12,0,79.8804,79.5603,0.6596,76.13169482317761,13.63104000000004,1.2237705147141835,1023.0444,86.76837082271992
2024,1,3,13,0,61.9581,61.958,0.0002,58.84537247662828,14.225500000000013,1.887519491947614,1022.1169,85.11356173593248
2024,1,3,14,0,60.096,60.0912,0.013,57.082479862131976,14.694540000000018,2.123979377021719,1021.18,82.51011147258485
2024,1,3,15,0,95.2044,56.4403,159.5811,160.126767664207,15.10757000000001,1.818128129514043,1021.1119,80.71385383086465
2024,1,3,16,0,75.2652,32.4123,339.0689,198.67919489847424,14.942859999999996,0.8483420844912994,1021.0281,82.34950721328327
2024,1,3,17,0,1.0182,0.8721,4.7245,2.192249193987958,14.84823,1.074804515702944,1021.3644,83.44057928119429
2024,1,3,18,0,0.0,0.0,0.0,0.0,14.122770000000004,0.9352215609161212,1021.6944,87.140021519079
2024,1,3,19,0,0.0,0.0,0.0,0.0,13.53134,0.7944586155574933,1021.93125,90.56366775089214
2024,1,3,20,0,0.0,0.0,0.0,0.0,13.50320000000005,0.932394124404955,1021.97125,90.79142162642248
2024,1,3,21,0,0.0,0.0,0.0,0.0,13.151640000000045,0.7242011498992288,1022.0725,91.17611178626174
2024,1,3,22,0,0.0,0.0,0.0,0.0,13.501180000000032,1.1032145227847023,1021.7756,88.99656303062864
2024,1,3,23,0,0.0,0.0,0.0,0.0,13.506600000000049,0.7667372884218093,1021.32625,89.27216928834699
2024,1,4,0,0,0.0,0.0,0.0,0.0,13.386130000000035,0.3405779884455811,1020.63875,89.90370420909503
