Latitude (decimal degrees) : 37.872164
Longitude (decimal degrees) : -5.583515
Elevation (m) : 502.0
month,year
01,2024
02,2024
03,2024
04,2024
05,2024
06,2024
07,2024
08,2024
09,2024
10,2024
11,2024
12,2024
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),G(t),WS10m,WD10m,SP
20240101:0000,8.841700000000003,87.12357076473525,0.0,0.0,0.0,0.0,1.2293458458549418,354.63140768363223,1021.1275
20240101:0100,8.951700000000017,87.24107842367175,0.0,0.0,0.0,0.0,1.0685149631430235,359.4526125666304,1021.1456
20240101:0200,8.795980000000043,88.33153613255506,0.0,0.0,0.0,0.0,1.0805363564451855,35.04716871494402,1020.38375
20240101:0300,8.747900000000016,89.00117496017232,0.0,0.0,0.0,0.0,0.9123942485149088,41.99298193144496,1020.2306
20240101:0400,9.00338000000005,88.57652726964709,0.0,0.0,0.0,0.0,0.807674957478269,15.067523996116408,1020.2106
20240101:0500,8.879480000000001,89.17777590317561,0.0,0.0,0.0,0.0,0.8174995834399381,355.0272943388531,1020.49
20240101:0600,8.792259999999999,89.28528779802828,0.0,0.0,0.0,0.0,0.920471781828551,355.0825486302952,1020.9769
20240101:0700,8.958900000000028,89.15850096720844,0.436,0.0,0.436,0.41409515351875575,1.0710771796440444,11.454643868002549,1021.2969
20240101:0800,8.723540000000014,89.7974431767061,57.716,26.8011,52.7001,58.570128953403355,1.275711836951101,6.805404049597541,1022.0119
20240101:0900,10.23583000000002,88.78011406880775,176.1572,174.0799,122.0478,206.66610984068677,1.3619309533090596,6.160912124614427,1022.6944
20240101:1000,11.537740000000042,86.92453129788676,311.0565,401.3912,147.291,415.8449065609325,0.8921927818988102,15.22701502111832,1023.16875
20240101:1100,12.68548000000004,83.40686299218383,491.1692,914.6863,67.3821,798.7435148553045,0.9544107563711832,349.09122292606304,1023.5681
20240101:1200,14.012,77.46440721027957,519.4661,941.5333,63.521,870.7907593084645,0.4950133520639008,308.66918578805667,1022.7594
20240101:1300,15.563170000000014,69.14851483454333,484.7021,929.1177,60.8218,852.9491645116432,1.2851277796759706,256.1459117657978,1021.855
20240101:1400,16.263900000000035,63.74414340736772,391.9811,882.2435,55.5976,748.7123716098903,1.71744878839918,251.1292867763995,1021.2306
20240101:1500,16.7106,59.78595986193632,235.9177,684.4329,57.3187,509.02548678898836,2.644217182442848,267.09679616135975,1021.16125
20240101:1600,16.783929999999998,59.64129373472683,87.4235,493.9695,25.929,267.1987178407561,2.2758292374600977,264.32602618121143,1021.5181
20240101:1700,15.59826000000004,64.52564327360378,0.777,5.1038,0.5654,1.9910278571840916,2.017833725698619,226.003098087736,1022.13875
20240101:1800,14.404350000000022,65.64875789099243,0.0,0.0,0.0,0.0,2.0123619992137622,201.9035430949477,1022.455
20240101:1900,13.033530000000042,70.35890456146016,0.0,0.0,0.0,0.0,1.633700399559295,232.42155413360797,1023.0181
20240101:2000,11.319240000000036,76.37837334681853,0.0,0.0,0.0,0.0,1.461204680041274,243.7501553843716,1023.50375
20240101:2100,9.948480000000018,81.3118318750717,0.0,0.0,0.0,0.0,1.2237644654563178,252.03857371295223,1023.7444
20240101:2200,9.987270000000024,85.91824451059608,0.0,0.0,0.0,0.0,1.6218991961368006,317.04457648821386,1024.62125
20240101:2300,10.808370000000023,82.58977895276453,0.0,0.0,0.0,0.0,0.4891652497295426,19.3556670725756,1024.3994
20240102:0000,10.206630000000018,85.5952397862398,0.0,0.0,0.0,0.0,1.2120705828493652,67.19531533195057,1023.9369
20240102:0100,8.864980000000003,91.17601845362762,0.0,0.0,0.0,0.0,1.1489882873278885,61.28861413017864,1023.49625
20240102:0200,7.944479999999999,93.29379120361575,0.0,0.0,0.0,0.0,0.933020797486952,23.73614933862899,1024.00875
20240102:0300,7.59847000000002,94.58399437272692,0.0,0.0,0.0,0.0,1.1327152395874438,13.992252498387913,1023.895
20240102:0400,6.875760000000014,95.80947775316396,0.0,0.0,0.0,0.0,1.3429927470743912,23.97458537857628,1023.8306
20240102:0500,6.656400000000019,95.89241553615624,0.0,0.0,0.0,0.0,1.403064591274778,29.45350643986769,1023.70125
20240102:0600,6.284750000000031,96.7184902018526,0.0,0.0,0.0,0.0,1.339288467909943,20.68600485330205,1024.0606
20240102:0700,6.047880000000021,97.48059137873167,3.2904,20.5983,2.4597,4.0244221490715155,1.134791405404156,27.21452786072353,1024.6894
20240102:0800,5.726980000000026,97.99939187386585,101.5429,434.2505,38.0633,173.300603764471,1.3436054719475727,44.20767683323858,1025.075
20240102:0900,7.218350000000044,96.02166326606527,255.7947,674.6932,65.3259,412.821003539656,1.9633955304732795,69.1612747925279,1025.1444
20240102:1000,10.07498000000004,89.51017236377035,389.4568,785.5143,77.443,613.0746558213259,1.694608914567903,87.74644388523024,1025.54
20240102:1100,12.09277000000003,82.97187976113169,484.498,888.467,72.1029,782.2032793583406,1.7246619229738998,116.16877415795662,1025.38125
20240102:1200,13.904530000000022,76.6506423852883,507.7456,891.0519,75.0831,838.8186792564335,1.7485194206778978,146.40880810063106,1024.6456
20240102:1300,15.42297000000002,71.52555398438464,478.5757,893.9507,69.2213,831.7726637380467,1.7305055998581682,161.9759588100373,1023.5931
20240102:1400,16.51522,68.13634407760766,388.3014,846.946,63.7651,729.8872022114116,2.039212890851123,165.88681002471662,1022.3019
20240102:1500,16.935850000000016,66.17902738424822,247.976,718.3852,54.9116,530.6739846676656,1.6969644646943354,186.869024815721,1021.9869
20240102:1600,16.872580000000028,64.89921098192039,86.1651,428.0581,31.1866,240.7178210199882,1.4981695398243986,223.2988667241776,1021.83625
20240102:1700,14.827780000000018,75.73112625589708,0.9,4.6148,0.7473,2.032978052905289,2.020373358817803,253.1895528145968,1021.7975
20240102:1800,12.361100000000022,82.13201764917156,0.0,0.0,0.0,0.0,2.367421821212073,263.7833753933868,1022.1094
20240102:1900,11.289120000000024,85.50941821607574,0.0,0.0,0.0,0.0,2.307910475279899,277.29477651097034,1022.60875
20240102:2000,10.417140000000018,86.70697440591286,0.0,0.0,0.0,0.0,1.8749570526844996,272.19534027832344,1022.8881
20240102:2100,11.90267,81.48966330278617,0.0,0.0,0.0,0.0,1.6573436728377604,252.00060415052408,1023.16625
20240102:2200,11.936059999999998,84.3370838683984,0.0,0.0,0.0,0.0,1.803927983925769,231.7923612577911,1023.0725
