valid_time,u100,v100,u10,v10,d2m,t2m,msl,ssrd,tp,latitude,longitude
2005-01-01 00:00:00,4.26857,-2.5418396,2.5265045,-0.18821716,274.1967,275.60776,102895.19,0.0,0.0,39.25,-1.0
2005-01-01 01:00:00,3.766739,-2.5705872,2.3690948,-0.1658783,273.8474,275.2856,102904.25,0.0,0.0,39.25,-1.0
2005-01-01 02:00:00,3.3221893,-2.5359192,2.1974945,-0.17599487,273.54288,274.96063,102901.5,0.0,0.0,39.25,-1.0
2005-01-01 03:00:00,2.9032593,-2.23201,2.0645294,-0.060577393,273.32953,274.80548,102908.44,0.0,0.0,39.25,-1.0
2005-01-01 04:00:00,2.7856598,-1.8029785,2.049286,0.0026855469,273.0702,274.58185,102893.56,0.0,0.0,39.25,-1.0
2005-01-01 05:00:00,2.785324,-1.4402008,2.0266724,0.0471344,273.12436,274.5115,102904.31,0.0,0.0,39.25,-1.0
2005-01-01 06:00:00,2.7230682,-1.0861664,2.0149689,0.09535217,273.06274,274.4038,102945.94,0.0,0.0,39.25,-1.0
2005-01-01 07:00:00,2.769287,-0.75834656,2.0294037,0.1481781,272.75043,274.1615,102995.06,0.0,0.0,39.25,-1.0
2005-01-01 08:00:00,3.0007172,-0.53692627,2.365982,0.23657227,273.37195,275.0943,103056.0,45952.0,0.0,39.25,-1.0
2005-01-01 09:00:00,3.3200226,-0.2974701,2.4548187,0.19641113,274.42105,276.38135,103094.875,477760.0,0.0,39.25,-1.0
2005-01-01 10:00:00,3.145111,-0.042816162,2.0599518,0.086135864,276.6962,282.69284,103216.0,1.014848e+06,0.0,39.25,-1.0
2005-01-01 11:00:00,2.5210114,0.067276,1.8806152,0.11756897,277.5105,283.86813,103145.31,1.398784e+06,0.0,39.25,-1.0
2005-01-01 12:00:00,2.4680634,-0.14326477,1.848999,-0.028076172,277.81586,284.6399,103051.375,1.677952e+06,0.0,39.25,-1.0
2005-01-01 13:00:00,2.5281677,-0.07426453,1.8809509,0.040359497,277.37164,284.96997,102893.06,1.71008e+06,0.0,39.25,-1.0
2005-01-01 14:00:00,2.7060394,-0.21575928,1.9723663,-0.06816101,277.13626,287.08237,102843.56,1.525888e+06,0.0,39.25,-1.0
2005-01-01 15:00:00,2.5786133,-0.36849976,1.7864532,-0.14393616,277.64636,287.03223,102834.94,1.148864e+06,0.0,39.25,-1.0
2005-01-01 16:00:00,2.1414337,0.22235107,1.4272614,0.5382843,279.62518,286.16666,102848.56,629632.0,0.0,39.25,-1.0
2005-01-01 17:00:00,2.0988922,0.74264526,1.1866913,1.2933197,277.25803,282.01447,102873.44,122112.0,0.0,39.25,-1.0
2005-01-01 18:00:00,2.5468903,0.61083984,1.7650604,1.1198273,276.6485,279.99426,102925.69,0.0,0.0,39.25,-1.0
2005-01-01 19:00:00,3.0439758,-0.12722778,1.7345123,0.30307007,275.811,279.10663,102973.875,0.0,0.0,39.25,-1.0
2005-01-01 20:00:00,3.1227417,-0.7165985,1.5325317,0.098098755,275.45996,277.98932,103033.625,0.0,0.0,39.25,-1.0
2005-01-01 21:00:00,3.336441,-0.768631,1.6818542,0.12121582,273.9227,275.6687,103098.25,0.0,0.0,39.25,-1.0
2005-01-01 22:00:00,3.8591614,-0.6781616,2.041977,0.11491394,273.82568,275.32193,103153.19,0.0,0.0,39.25,-1.0
2005-01-01 23:00:00,4.034607,-0.8107147,2.2743073,0.050231934,273.93118,275.38306,103194.06,0.0,0.0,39.25,-1.0
2005-01-02 00:00:00,4.0957184,-0.65571594,2.410614,0.16055298,273.8725,275.34113,103181.125,0.0,0.0,39.25,-1.0
2005-01-02 01:00:00,4.258789,-0.63974,2.583908,0.17921448,273.70923,275.017,103159.94,0.0,0.0,39.25,-1.0
2005-01-02 02:00:00,4.2843475,-0.70970154,2.6470337,0.19242859,272.98093,274.04114,103141.31,0.0,0.0,39.25,-1.0
2005-01-02 03:00:00,4.310913,-0.74043274,2.6703186,0.1938324,273.05444,273.8875,103123.75,0.0,0.0,39.25,-1.0
2005-01-02 04:00:00,4.264099,-1.1890869,2.6707306,0.047302246,272.74896,273.52966,103166.19,0.0,0.0,39.25,-1.0
2005-01-02 05:00:00,4.134842,-1.5279999,2.6500092,0.04849243,272.5964,273.34943,103176.94,0.0,0.0,39.25,-1.0
2005-01-02 06:00:00,3.8428955,-1.6767273,2.584259,0.0806427,272.6754,273.45215,103225.875,0.0,0.0,39.25,-1.0
2005-01-02 07:00:00,3.6672668,-1.8450775,2.5875397,0.107788086,272.25235,273.1565,103268.25,0.0,0.0,39.25,-1.0
2005-01-02 08:00:00,3.6266174,-1.5673828,2.750229,0.27574158,273.09146,274.36066,103328.44,48064.0,0.0,39.25,-1.0
2005-01-02 09:00:00,3.6547546,-1.1203918,2.6514282,0.2384491,274.35135,276.03998,103336.19,456128.0,0.0,39.25,-1.0
2005-01-02 10:00:00,3.6665497,-1.0240021,2.3153381,-0.16662598,276.95325,282.48492,103417.5,983296.0,0.0,39.25,-1.0
2005-01-02 11:00:00,2.8066711,-0.98114014,2.0752258,-0.6102905,276.76572,283.79425,103409.19,1.447808e+06,0.0,39.25,-1.0
2005-01-02 12:00:00,2.3629303,-1.7015533,1.806961,-1.1802368,276.9842,284.53723,103305.25,1.686272e+06,0.0,39.25,-1.0
2005-01-02 13:00:00,1.96521,-2.2480774,1.5115814,-1.6248016,277.9527,285.06494,103165.19,1.703744e+06,0.0,39.25,-1.0
2005-01-02 14:00:00,1.4931641,-2.438507,1.1309357,-1.766922,278.34088,287.3434,103073.06,1.46912e+06,0.0,39.25,-1.0
2005-01-02 15:00:00,1.2372894,-2.369461,0.88674927,-1.650589,278.66464,287.49557,103063.06,1.12736e+06,0.0,39.25,-1.0
2005-01-02 16:00:00,1.3709259,-2.126892,1.2029419,-1.182663,279.53412,286.42255,103059.375,622208.0,0.0,39.25,-1.0
2005-01-02 17:00:00,1.6303406,-2.4331512,1.8119183,-0.9139557,277.43454,282.05603,103121.31,125952.0,0.0,39.25,-1.0
2005-01-02 18:00:00,1.6727753,-3.439499,2.1697083,-1.3661346,276.54425,280.55988,103180.0,0.0,0.0,39.25,-1.0
2005-01-02 19:00:00,1.7093811,-4.411148,2.4412384,-1.9571838,275.52563,279.92755,103212.81,0.0,0.0,39.25,-1.0
2005-01-02 20:00:00,2.0594635,-4.9252014,2.1792755,-2.009964,274.7045,278.52264,103279.5,0.0,0.0,39.25,-1.0
2005-01-02 21:00:00,2.5246277,-4.9589844,1.9794159,-1.7557831,273.263,276.588,103349.75,0.0,0.0,39.25,-1.0
2005-01-02 22:00:00,2.8719177,-4.153839,2.2481995,-1.4448242,272.9686,275.89737,103420.69,0.0,0.0,39.25,-1.0
2005-01-02 23:00:00,3.0761414,-3.3326874,2.3282318,-0.7319641,272.6761,275.12622,103427.44,0.0,0.0,39.25,-1.0
2005-01-03 00:00:00,3.0849152,-2.3130798,1.9244385,-0.15232849,272.43427,274.50732,103401.875,0.0,0.0,39.25,-1.0
2005-01-03 01:00:00,2.876587,-1.9293976,1.5745392,-0.110702515,271.89124,273.6648,103378.0,0.0,0.0,39.25,-1.0
2005-01-03 02:00:00,2.6072845,-1.836731,1.5114288,-0.13165283,271.24802,272.67975,103394.875,0.0,0.0,39.25,-1.0
2005-01-03 03:00:00,2.2470398,-1.9248352,1.4516602,-0.18551636,270.86453,272.16443,103431.31,0.0,0.0,39.25,-1.0
2005-01-03 04:00:00,1.7026062,-2.2064362,1.635498,-0.29507446,270.41678,271.7331,103446.875,0.0,0.0,39.25,-1.0
2005-01-03 05:00:00,1.1040039,-2.3782806,1.8568878,-0.4413147,270.24887,271.59235,103472.625,0.0,0.0,39.25,-1.0
2005-01-03 06:00:00,0.6948242,-2.1409912,1.9582214,-0.5115814,269.91248,271.26733,103515.94,0.0,0.0,39.25,-1.0
2005-01-03 07:00:00,0.15255737,-1.7729645,1.650116,-0.5641937,270.53677,271.9583,103571.75,0.0,0.0,39.25,-1.0
2005-01-03 08:00:00,-0.4239807,-1.66922,1.4516144,-0.8098297,272.14227,273.99396,103618.81,50560.0,0.0,39.25,-1.0
2005-01-03 09:00:00,-0.7997284,-1.613617,1.0168762,-0.96383667,273.38184,275.96838,103699.81,496448.0,0.0,39.25,-1.0
2005-01-03 10:00:00,-0.7852478,-1.2058868,-0.08569336,-0.8218994,274.2099,281.66425,103773.56,985408.0,0.0,39.25,-1.0
2005-01-03 11:00:00,-1.3938446,-0.18630981,-1.0314941,-0.19737244,274.45532,282.74408,103787.125,1.216384e+06,0.0,39.25,-1.0
2005-01-03 12:00:00,-1.6133728,0.81936646,-1.2666931,0.62301636,276.29456,283.09595,103679.625,1.440896e+06,0.0,39.25,-1.0
2005-01-03 13:00:00,-1.0342407,1.0485382,-0.8601227,0.8139801,276.8812,283.32248,103596.06,1.571648e+06,0.0,39.25,-1.0
2005-01-03 14:00:00,-0.4297638,0.8964386,-0.4357605,0.688797,277.59338,284.15802,103521.625,1.184512e+06,0.0,39.25,-1.0
2005-01-03 15:00:00,-0.24102783,0.5931549,-0.3181305,0.44522095,277.98395,283.96826,103481.56,1.045888e+06,0.0,39.25,-1.0
2005-01-03 16:00:00,-1.5517883,0.5926056,-0.77923584,0.22325134,277.93488,284.0157,103500.44,582144.0,0.0,39.25,-1.0
2005-01-03 17:00:00,-2.6137848,0.93263245,-1.9892731,0.43260193,276.89758,279.4729,103556.125,118400.0,0.0,39.25,-1.0
2005-01-03 18:00:00,-2.496582,1.1071625,-1.840805,0.91867065,276.4665,279.2572,103617.5,0.0,0.0,39.25,-1.0
