Latitude (decimal degrees) : 37.75624
Longitude (decimal degrees) : -4.591719
Elevation (m) : 222.0
month,year
01,2006
02,2006
03,2006
04,2006
05,2006
06,2006
07,2006
08,2006
09,2006
10,2006
11,2006
12,2006
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),G(t),WS10m,WD10m,SP
20060101:0000,11.842800000000013,83.88720535424002,0.0,0.0,0.0,0.0,4.471033640822887,236.34017950878533,1023.2981
20060101:0100,12.294150000000002,83.81593191008857,0.0,0.0,0.0,0.0,4.543396521798898,244.6721960646273,1022.75875
20060101:0200,11.941130000000044,84.84567276078342,0.0,0.0,0.0,0.0,4.533993543723168,262.13528186131106,1022.9969
20060101:0300,9.965970000000029,85.76468548108429,0.0,0.0,0.0,0.0,4.137448887178877,274.7967339775164,1023.3431
20060101:0400,9.928770000000045,84.93838736723677,0.0,0.0,0.0,0.0,3.3272557007935677,274.0703967495997,1023.4481
20060101:0500,9.53976,83.76081309822837,0.0,0.0,0.0,0.0,2.6749868898237583,261.6213133618735,1023.46625
20060101:0600,9.622670000000028,82.41340778025005,0.0,0.0,0.0,0.0,2.4889973450028804,247.21414584597244,1023.6444
20060101:0700,9.555000000000009,82.20686449192249,5.3669,21.4191,4.3317,6.239859270165129,2.6429164548982627,241.39675515282096,1023.6575
20060101:0800,10.483120000000042,78.5248204895285,107.8376,352.1712,54.0841,168.10454998717506,2.6695658518160235,235.63907913386356,1023.96125
20060101:0900,9.978049999999996,80.64578517372675,122.1075,93.6764,97.3838,142.43440225584112,3.057985678587433,237.21011360652537,1024.625
20060101:1000,11.79373000000004,71.66197180441944,272.3547,239.1041,176.3277,334.19460939224007,2.9678186640736413,244.6813148203157,1025.2156
20060101:1100,12.603850000000024,69.89018761147045,326.2147,207.5536,228.737,385.3523057322498,3.8706516337464048,281.7937918494292,1024.73
20060101:1200,12.89572000000004,66.51939495767996,171.5172,72.2658,136.2993,191.86518984932854,4.28627108315853,300.7972840504308,1023.95625
20060101:1300,13.367240000000038,62.74529073236466,244.9818,124.6464,188.1347,285.2309687178635,4.39074165802843,304.248783770268,1023.4
20060101:1400,14.03770000000003,52.63388555498957,296.362,385.6276,155.2283,449.6690941153771,4.349391739966061,305.09644017902554,1022.9981
20060101:1500,14.123860000000036,51.63714774082509,165.9687,163.4736,122.1985,223.3260723064103,4.068642671656901,307.7708773097428,1022.75375
20060101:1600,14.11306000000002,50.20840895170991,72.2397,286.1392,37.1701,172.71261188213742,3.0757288581845525,310.0518501955527,1023.24
20060101:1700,12.37838000000005,57.734594044818685,0.2594,0.0,0.2482,0.23591787889193844,2.311924570288884,304.7216306265982,1023.5869
20060101:1800,11.57504,61.04129029345465,0.0,0.0,0.0,0.0,2.405703165069508,295.1676998603176,1024.195
20060101:1900,11.120140000000047,62.5765006746072,0.0,0.0,0.0,0.0,2.244393898961644,288.863129452818,1024.47
20060101:2000,9.684660000000008,68.76690663299019,0.0,0.0,0.0,0.0,2.058171213504321,286.74904462262793,1024.79
20060101:2100,8.915340000000015,67.60330971862004,0.0,0.0,0.0,0.0,1.8427733689069103,282.9888559306826,1024.95375
20060101:2200,8.091030000000046,67.2982609846231,0.0,0.0,0.0,0.0,1.9788058090971592,286.1901504691912,1025.8169
20060101:2300,8.141930000000002,66.80863152619379,0.0,0.0,0.0,0.0,1.913102139415641,290.924087778246,1025.5875
20060102:0000,7.847740000000044,67.6894126190916,0.0,0.0,0.0,0.0,1.6129101519054192,286.9757620625694,1025.3681
20060102:0100,8.19106000000005,66.60999758919071,0.0,0.0,0.0,0.0,1.2607289593036242,298.0367535156232,1025.355
