valid_time,u100,v100,u10,v10,d2m,t2m,msl,ssrd,tp,latitude,longitude
2005-01-01 00:00:00,3.2978668,-9.810394,2.1759186,-5.807358,273.10098,276.15073,102985.94,0.0,0.0,34.25,3.25
2005-01-01 01:00:00,3.152481,-9.88797,2.1327667,-5.8641205,272.88257,276.27,102982.0,0.0,0.0,34.25,3.25
2005-01-01 02:00:00,2.963791,-9.815216,2.0197601,-5.7638855,272.44327,275.99188,102948.5,0.0,1.4305115e-06,34.25,3.25
2005-01-01 03:00:00,2.8339233,-9.582596,1.9981232,-5.6201477,272.83344,276.18634,102947.44,0.0,4.2915344e-06,34.25,3.25
2005-01-01 04:00:00,2.7885895,-9.259033,1.97995,-5.375244,273.05457,276.24786,102937.31,0.0,4.7683716e-06,34.25,3.25
2005-01-01 05:00:00,2.7003632,-8.753677,1.9319458,-5.0514984,273.32162,276.27908,102969.81,0.0,4.7683716e-07,34.25,3.25
2005-01-01 06:00:00,2.5912323,-8.240463,1.8616486,-4.6663666,273.64673,276.44092,103008.19,0.0,5.722046e-06,34.25,3.25
2005-01-01 07:00:00,2.4519043,-8.020065,1.7657318,-4.516861,273.8227,276.4994,103071.06,192.0,1.4305115e-06,34.25,3.25
2005-01-01 08:00:00,2.3220062,-7.8689575,1.6306305,-4.3757324,274.9364,278.06305,103146.25,175616.0,3.33786e-06,34.25,3.25
2005-01-01 09:00:00,2.0075226,-7.525009,1.5016937,-5.162964,275.20035,278.38525,103189.375,636288.0,4.7683716e-07,34.25,3.25
2005-01-01 10:00:00,1.143158,-6.599457,0.9574127,-5.003708,274.7919,281.3823,103237.75,1.136384e+06,0.0,34.25,3.25
2005-01-01 11:00:00,0.7534332,-6.0850677,0.61694336,-4.715439,275.44995,281.67673,103168.06,1.492352e+06,0.0,34.25,3.25
2005-01-01 12:00:00,0.69950867,-5.34346,0.5501709,-4.24292,275.7885,281.69263,103088.125,1.639936e+06,0.0,34.25,3.25
2005-01-01 13:00:00,0.81918335,-4.7725067,0.6368103,-3.804367,275.7564,281.6516,103021.31,1.643904e+06,0.0,34.25,3.25
2005-01-01 14:00:00,0.74412537,-4.510681,0.56025696,-3.583786,275.66556,282.69174,102957.31,1.490048e+06,0.0,34.25,3.25
2005-01-01 15:00:00,0.74658203,-4.816742,0.55500793,-3.7386627,275.49988,282.43457,102966.44,1.139904e+06,0.0,34.25,3.25
2005-01-01 16:00:00,0.9754181,-5.3860474,0.6792145,-3.6873016,275.1076,282.40103,103040.56,588800.0,0.0,34.25,3.25
2005-01-01 17:00:00,1.329361,-5.8423157,0.8898163,-3.3980865,275.9885,279.50665,103086.19,93440.0,0.0,34.25,3.25
2005-01-01 18:00:00,1.6338043,-6.081543,1.0912323,-3.2952118,276.086,278.94153,103174.44,0.0,0.0,34.25,3.25
2005-01-01 19:00:00,1.858429,-6.1877747,1.2989655,-3.174469,275.98874,278.45233,103205.125,0.0,0.0,34.25,3.25
2005-01-01 20:00:00,2.0602417,-6.168747,1.451477,-3.092331,274.91504,277.04987,103281.375,0.0,0.0,34.25,3.25
2005-01-01 21:00:00,2.1342926,-6.018631,1.5285339,-2.9754639,274.72153,276.29565,103289.0,0.0,0.0,34.25,3.25
2005-01-01 22:00:00,2.2458801,-5.576599,1.613266,-2.7473907,273.74756,275.40005,103304.69,0.0,0.0,34.25,3.25
2005-01-01 23:00:00,2.2572632,-5.236496,1.7147369,-2.7300415,273.39017,275.1311,103282.06,0.0,0.0,34.25,3.25
2005-01-02 00:00:00,2.4218903,-5.1605988,1.7914734,-2.8853455,273.08734,274.73956,103259.625,0.0,0.0,34.25,3.25
2005-01-02 01:00:00,2.515625,-5.297943,1.8036346,-3.1049652,272.86157,274.4291,103214.44,0.0,0.0,34.25,3.25
2005-01-02 02:00:00,2.6573944,-5.281967,1.847229,-3.1952667,272.8442,274.51575,103180.81,0.0,0.0,34.25,3.25
2005-01-02 03:00:00,2.824585,-5.393753,1.8929749,-3.318863,272.63647,274.36212,103150.5,0.0,0.0,34.25,3.25
2005-01-02 04:00:00,2.9945679,-5.695923,1.9480743,-3.434143,272.61224,274.46912,103140.44,0.0,0.0,34.25,3.25
2005-01-02 05:00:00,2.9434357,-6.074875,1.9410248,-3.5188904,272.62375,274.66974,103145.69,0.0,0.0,34.25,3.25
2005-01-02 06:00:00,2.7852783,-6.414032,1.903595,-3.5433807,272.67737,274.9287,103189.625,0.0,0.0,34.25,3.25
2005-01-02 07:00:00,2.660431,-6.6107025,1.9088287,-3.5396729,272.86758,275.28345,103218.75,192.0,0.0,34.25,3.25
2005-01-02 08:00:00,2.47818,-6.4316406,1.7639008,-3.3892975,274.30435,277.9095,103291.44,255360.0,0.0,34.25,3.25
2005-01-02 09:00:00,2.2016296,-5.6614075,1.4736938,-2.980301,274.90604,279.0849,103325.19,873088.0,0.0,34.25,3.25
2005-01-02 10:00:00,1.8618622,-4.8560333,1.413971,-3.4996338,274.59192,283.17047,103329.25,1.449536e+06,0.0,34.25,3.25
2005-01-02 11:00:00,1.5117493,-5.492859,1.1660461,-4.1708374,274.8536,283.9583,103235.44,1.862784e+06,0.0,34.25,3.25
