Latitude (decimal degrees) : 33.287682
Longitude (decimal degrees) : -6.525692
Elevation (m) : 782.0
month,year
01,2023
02,2014
03,2015
04,2016
05,2005
06,2020
07,2008
08,2013
09,2024
10,2006
11,2013
12,2007
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),G(t),WS10m,WD10m,SP
20230101:0000,9.795650000000023,58.68449552676319,0.0,0.0,0.0,0.0,0.7546210937060485,120.44457483427816,1025.6194
20230101:0100,9.9529,56.412872453054895,0.0,0.0,0.0,0.0,0.7813975074900178,117.4382198250871,1025.3375
20230101:0200,9.841330000000028,55.62490086461676,0.0,0.0,0.0,0.0,0.6069584229958466,114.333090574217,1024.6625
20230101:0300,9.689900000000025,55.60032679103494,0.0,0.0,0.0,0.0,0.6069036060360298,113.22091026183494,1024.1406
20230101:0400,9.607450000000028,53.699146266210406,0.0,0.0,0.0,0.0,0.651531101358711,117.5210516348296,1023.5856
20230101:0500,9.439170000000049,54.32519779242967,0.0,0.0,0.0,0.0,0.7385656102924184,125.0641701207833,1023.5025
20230101:0600,9.04797000000002,56.95137984300119,0.0,0.0,0.0,0.0,0.8549387160617362,135.16848045575907,1023.5744
20230101:0700,9.24440000000004,55.71820258565885,8.8891,38.3571,6.5802,10.113858797190485,1.014110236692407,141.2724688782396,1024.0106
20230101:0800,8.840750000000014,58.51630071627017,131.7973,415.3073,57.5143,194.36597051108097,1.2581187653144374,144.74303585973774,1024.3519
20230101:0900,10.201930000000004,56.143657768111645,313.6372,681.1109,87.4442,454.216338988023,1.4822220012755716,147.22100575244366,1024.7081
20230101:1000,14.693840000000025,45.19271265235241,381.3343,371.8448,213.0327,468.5045544259377,0.6769552592921063,161.45396655581993,1025.1756
20230101:1100,16.9991,34.5568458062402,470.5336,428.225,245.3994,591.231340566359,0.3759112251966658,259.2953379502337,1025.0794
20230101:1200,18.37960000000004,32.30050709847052,483.3341,374.921,276.1442,599.0958407288888,0.7896602777177953,301.3133152971903,1024.4719
20230101:1300,19.116270000000043,29.0338811802028,473.5424,445.7596,238.6385,626.7207603536758,1.1831843588934143,313.49611027264655,1023.8431
20230101:1400,19.963900000000024,26.786297669509818,443.7207,705.7579,124.5389,706.7548764759827,1.6688833973060082,324.9495705655694,1022.99625
20230101:1500,19.77432000000005,26.86880455245276,272.2329,427.9918,135.1781,432.88944524248666,2.014234359500032,334.6814267932331,1022.9306
