Latitude (decimal degrees) : 44.874039
Longitude (decimal degrees) : 4.725783
Elevation (m) : 474.0
month,year
01,2010
02,2010
03,2010
04,2010
05,2010
06,2010
07,2010
08,2010
09,2010
10,2010
11,2010
12,2010
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),G(t),WS10m,WD10m,SP
20100101:0000,7.013500000000022,96.0038161861447,0.0,0.0,0.0,0.0,0.868440613348652,279.26272730910523,990.425
20100101:0100,6.937070000000006,96.6307304638141,0.0,0.0,0.0,0.0,1.1012617098965805,294.6183923471848,989.62125
20100101:0200,7.866780000000006,93.337396952863,0.0,0.0,0.0,0.0,1.0207987533677,307.32039427181576,989.2144
20100101:0300,8.020840000000021,89.89110036002702,0.0,0.0,0.0,0.0,1.2149317830344697,304.10080910323927,988.6006
20100101:0400,7.288350000000037,91.81006463128008,0.0,0.0,0.0,0.0,1.6775189548213902,321.47465238320467,988.3956
20100101:0500,7.355580000000032,88.57419465646859,0.0,0.0,0.0,0.0,1.800892300081615,321.6977453507967,988.7394
20100101:0600,7.434300000000007,87.65204217557458,0.0,0.0,0.0,0.0,2.145855819907967,334.45716565672853,989.2706
20100101:0700,7.482870000000048,88.02395893418696,5.2693,0.0,5.2693,5.0045678725605045,1.849742456784291,359.494267520612,989.9675
20100101:0800,7.490930000000048,88.59272377693496,39.7169,0.1093,39.6937,37.74331155510212,1.568621480293525,25.88033812693884,990.8844
20100101:0900,7.953940000000045,88.50359527544207,94.4627,3.1391,93.7197,90.81473206066556,0.8195219721985321,36.22596447120375,992.1406
20100101:1000,8.283600000000035,82.89274452439491,109.1462,0.19,109.0787,103.73245867871317,0.6598814577190995,65.16295480927677,993.3025
20100101:1100,8.514920000000018,82.54155162019035,138.284,0.9667,137.9221,131.74622375579392,0.7215181387460161,40.42925627918475,993.78375
20100101:1200,8.921100000000024,81.16207483699243,175.7305,19.2028,168.9341,175.69049035325486,1.1839691837847512,14.852932839504916,994.18
20100101:1300,8.868740000000003,81.49936879611022,154.1275,23.499,146.9347,157.11771043980792,2.08798936958259,8.683353642952213,995.1581
20100101:1400,8.397199999999998,85.06193638432724,125.9995,176.579,91.4136,200.33949761415545,2.9686241457145983,14.960764994847665,996.54375
20100101:1500,7.78176000000002,85.41381871592206,34.58,163.5334,21.3175,100.0918767106663,3.891449962980421,5.265191865958613,998.32
20100101:1600,6.907980000000009,83.4087548272593,0.1575,0.0,0.1476,0.14035029966228546,3.970165400587794,2.454754631181231,1000.1981
20100101:1700,6.062700000000007,81.16087589705955,0.0,0.0,0.0,0.0,3.878745073482508,3.3425301771125646,1002.0425
20100101:1800,5.730000000000018,78.28030599237094,0.0,0.0,0.0,0.0,4.050035245745284,2.0634758040302046,1003.8081
20100101:1900,5.355800000000045,78.28779081105804,0.0,0.0,0.0,0.0,4.341565976781227,3.8101234404528697,1005.495
20100101:2000,4.720270000000028,77.85726062097997,0.0,0.0,0.0,0.0,4.619884606568247,5.304764958092633,1007.18
20100101:2100,4.331700000000012,75.79033790819008,0.0,0.0,0.0,0.0,4.853718557189304,6.79646117300284,1008.8219
20100101:2200,3.89697000000001,71.13811745933214,0.0,0.0,0.0,0.0,4.212057536923981,10.99319516533754,1009.88375
20100101:2300,3.392600000000016,69.89244047786897,0.0,0.0,0.0,0.0,4.384004155370007,12.241880946964429,1010.835
20100102:0000,2.89837,67.41424634218114,0.0,0.0,0.0,0.0,4.468386009233116,11.479648213523577,1011.5106
20100102:0100,2.458340000000021,65.46767454444593,0.0,0.0,0.0,0.0,4.60887138134664,11.488872203119897,1012.1719
20100102:0200,2.234830000000045,63.176663780538966,0.0,0.0,0.0,0.0,4.787034125950573,11.566669882335674,1013.2994
20100102:0300,2.014949999999999,62.228798791286025,0.0,0.0,0.0,0.0,4.902990119017908,11.29856748418716,1013.91
20100102:0400,1.8605000000000016,61.79964396040669,0.0,0.0,0.0,0.0,4.564995234858283,10.972761711188866,1014.5806
20100102:0500,1.5947000000000455,61.70352552659439,0.0,0.0,0.0,0.0,4.427436230544052,11.588297059476218,1014.7275
20100102:0600,1.5200700000000325,60.32076967030834,0.0,0.0,0.0,0.0,4.235717982427386,10.93586463580759,1015.3119
20100102:0700,1.218530000000044,60.70628472846461,16.6191,147.3235,7.6986,34.882505227340474,4.368739816555828,8.086377941735194,1016.0019
20100102:0800,1.1254500000000007,60.21826417686126,136.5543,640.1761,34.6428,288.580418636696,4.62679292878129,5.501045397031817,1016.9931
20100102:0900,1.6983299999999986,58.34891158997991,259.6869,780.3079,52.4574,498.2000449855286,5.773407959301006,4.5301887889119,1018.1906
20100102:1000,2.3309300000000235,55.65576925910094,357.0428,881.7044,55.1501,673.7312911433722,6.242148702597935,358.2333058120033,1018.90375
20100102:1100,2.8543999999999983,52.750886519156325,402.2711,925.3896,55.2974,774.253327621604,6.376953167976837,356.05945459814353,1019.23875
20100102:1200,3.198820000000012,50.32498329275992,389.2113,919.4371,54.506,782.7648739453083,6.415721677015096,356.97792316502984,1019.0819
20100102:1300,3.3426000000000045,48.01549332996816,320.0176,872.8497,49.3486,700.6657057069424,6.434969771684679,358.2567647834807,1019.64125
20100102:1400,3.4841600000000312,46.169199548122855,208.214,767.7595,41.4993,534.6785498859875,6.615281420064623,3.721285340571484,1019.9356
20100102:1500,3.0272500000000377,46.51377565773592,69.3263,458.6216,22.4565,246.37095202161453,5.866542256226915,5.52743006468819,1020.7556
20100102:1600,2.295530000000042,47.85262710755272,0.2839,0.0,0.2296,0.21897413983765332,4.895153771221824,7.595493170450723,1021.54125
20100102:1700,1.5569000000000417,50.68335178851896,0.0,0.0,0.0,0.0,4.103564091987431,7.087914842912454,1022.5625
20100102:1800,0.9633400000000164,54.14045494793557,0.0,0.0,0.0,0.0,4.013672377484903,6.91255082456847,1022.9781
20100102:1900,0.2295200000000363,57.4678744416556,0.0,0.0,0.0,0.0,3.9559242153198912,5.6228952749307695,1022.8831
20100102:2000,-0.3803999999999519,61.02596832889135,0.0,0.0,0.0,0.0,3.809941502375861,358.86106937709206,1023.06375
20100102:2100,-0.7118600000000015,63.95633209715781,0.0,0.0,0.0,0.0,3.660485154980015,354.56736694744905,1023.1725
20100102:2200,-0.5769399999999791,64.5894416249595,0.0,0.0,0.0,0.0,3.8801958931150113,357.8409766219179,1023.465
