Latitude (decimal degrees) : 33.230743
Longitude (decimal degrees) : -8.006844
Elevation (m) : 194.0
month,year
01,2015
02,2015
03,2015
04,2015
05,2015
06,2015
07,2015
08,2015
09,2015
10,2015
11,2015
12,2015
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),G(t),WS10m,WD10m,SP
20150101:0000,9.03994,87.02743147021835,0.0,0.0,0.0,0.0,2.120479184933996,98.09220262800665,1029.8269
20150101:0100,8.655050000000017,85.90346860588555,0.0,0.0,0.0,0.0,2.7208022296969,104.8097518552468,1029.6444
20150101:0200,7.456260000000043,87.76152581571107,0.0,0.0,0.0,0.0,2.89325518520676,102.09249844672972,1029.32
20150101:0300,6.257400000000018,89.49536366812458,0.0,0.0,0.0,0.0,2.548766663535316,101.23667497557904,1029.5131
20150101:0400,6.3851999999999975,88.68363673446092,0.0,0.0,0.0,0.0,2.3498120721844,98.75730741843935,1029.5081
20150101:0500,5.848140000000001,89.74827640317619,0.0,0.0,0.0,0.0,2.430094375086163,92.84043289206916,1029.62
20150101:0600,5.775480000000016,87.43505009533682,0.0,0.0,0.0,0.0,2.6988957835485787,87.41607417857234,1029.93125
20150101:0700,5.8744800000000055,87.01570023538508,5.2549,33.8016,3.6667,6.096767356090995,2.969245019387861,85.92298418474695,1030.6881
20150101:0800,6.859460000000013,82.03627344859984,124.9465,479.2396,45.1914,194.01729095395802,2.5124921415889525,90.32709071098094,1031.0375
20150101:0900,9.75410000000005,76.74852364654015,309.7424,744.4786,72.763,460.8878663706106,2.4498907144258744,88.11330524094382,1031.8244
20150101:1000,14.454200000000014,63.8156419256063,465.3109,859.2328,85.3653,683.7963139144679,2.120586487124437,65.88899043107058,1032.4069
20150101:1100,15.109370000000013,64.92857247767641,568.336,914.2412,90.4739,842.4308022543465,2.5743187489592603,40.557753409329656,1032.6419
20150101:1200,15.713099999999995,63.11980477381845,608.1652,933.0271,91.8019,922.710412652537,3.0137952249105244,29.254454627522435,1031.29875
20150101:1300,16.000020000000006,60.77244496538168,581.3051,922.6964,90.2667,916.9658181235125,3.10796589558907,24.76203662455329,1030.5581
20150101:1400,16.88378,54.679289162613365,490.546,882.0925,84.3891,823.9609207043492,3.235004086787355,21.511142691045947,1029.95875
20150101:1500,16.85360000000003,54.8257200405611,344.2483,789.3599,72.8817,642.7207634569158,3.438467385074938,18.110999600440337,1029.9544
20150101:1600,16.46804000000003,55.76632601547291,161.3477,571.9656,50.2508,367.40950274489796,3.375111882879222,18.284883457754677,1029.8231
20150101:1700,14.362330000000044,68.48875825186809,15.0216,95.402,8.524,41.81062542158685,2.3614043232163637,19.468210295854107,1030.0231
20150101:1800,12.571439999999996,74.97206444812173,0.0,0.0,0.0,0.0,2.225985151014454,32.0918527982015,1030.53375
20150101:1900,11.565179999999998,78.39325511588109,0.0,0.0,0.0,0.0,2.2243028311347355,43.717806618463314,1031.245
20150101:2000,9.784330000000011,83.86679026567325,0.0,0.0,0.0,0.0,2.328632286633347,49.03912481761316,1031.2269
20150101:2100,7.763300000000015,87.83380142355955,0.0,0.0,0.0,0.0,2.2846370457165683,56.74667796546121,1031.3506
20150101:2200,7.513500000000022,88.39024915542248,0.0,0.0,0.0,0.0,2.6646575507841246,66.90221980974795,1031.7719
20150101:2300,7.754330000000039,88.21264839216772,0.0,0.0,0.0,0.0,2.9566719269723336,77.60512622459102,1031.7119
20150102:0000,6.949430000000007,88.36026875803098,0.0,0.0,0.0,0.0,2.5487016775653664,89.83260436345194,1031.8719
