Latitude (decimal degrees) : 37.338137
Longitude (decimal degrees) : -5.338935
Elevation (m) : 110.0
month,year
01,2018
02,2018
03,2018
04,2018
05,2018
06,2018
07,2018
08,2018
09,2018
10,2018
11,2018
12,2018
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),G(t),WS10m,WD10m,SP
20180101:0000,9.80227000000002,88.88675978019724,0.0,0.0,0.0,0.0,2.158849978148272,343.0467658777681,1034.2406
20180101:0100,9.2894,85.63413814058437,0.0,0.0,0.0,0.0,2.2820494047561724,30.20671746070629,1034.2106
20180101:0200,9.079980000000036,83.95943770119607,0.0,0.0,0.0,0.0,1.7739767893744045,55.03345553407055,1034.0594
20180101:0300,8.16506000000004,84.9471371074627,0.0,0.0,0.0,0.0,2.179577069690758,81.93785604166987,1033.9331
20180101:0400,7.631400000000042,84.91940113220919,0.0,0.0,0.0,0.0,2.7318207789255693,92.90840007516093,1033.69375
20180101:0500,7.599940000000004,83.31964181722033,0.0,0.0,0.0,0.0,2.910555540008121,95.5901716505372,1033.05
20180101:0600,6.901400000000024,83.87613573855626,0.0,0.0,0.0,0.0,2.443813903053758,87.4645434358443,1033.6069
20180101:0700,6.2437400000000025,83.61392411846829,4.9789,36.9785,3.3544,6.528243814711701,1.90820886184446,76.62804662870505,1034.4594
20180101:0800,6.60223000000002,84.77938399339143,118.78,517.2162,39.7928,205.38447670602477,1.537770625275042,98.39301733124796,1034.9931
20180101:0900,9.040400000000034,79.96429430737479,286.8045,763.1121,63.4989,463.1201622801721,1.7821165954253506,100.2826436040804,1035.47875
20180101:1000,11.633000000000038,65.15145927499728,421.7157,857.4034,75.5533,666.7778256084607,1.42583993324569,359.6400742842769,1035.9431
20180101:1100,12.330399999999996,62.80232595586856,503.8447,891.0472,83.0747,800.2011965951011,1.793063928295026,358.78924584705413,1036.54
20180101:1200,13.792050000000016,58.57565168686219,509.0827,823.8788,103.0099,811.607583371932,1.649243245348451,9.748866180800874,1035.7394
20180101:1300,15.043630000000007,53.74253401001962,492.3582,886.1492,81.0728,839.6557479057627,1.745600147857138,354.17523402393977,1034.5231
20180101:1400,15.989340000000029,47.390793977544746,397.7874,833.9725,74.1908,731.5870197538649,2.047126158550618,335.1848893551479,1033.79125
20180101:1500,16.08000000000004,45.502291627027176,254.9673,712.2964,61.9467,534.1843380229285,2.130846529151363,334.86703159136687,1033.5994
20180101:1600,15.833280000000002,48.06586593915642,87.4098,391.4353,35.2367,226.61423567684184,1.662434924537498,346.31859718907583,1033.5194
20180101:1700,14.955930000000023,45.16418904313043,0.9097,2.2384,0.8322,1.4312240785965642,1.8416101460151877,334.66301384410843,1033.8544
20180101:1800,14.25698,46.371573761371934,0.0,0.0,0.0,0.0,2.016458229184203,341.0495287319376,1034.3244
20180101:1900,13.77126000000004,47.21393694505424,0.0,0.0,0.0,0.0,1.4209495398973533,18.729520989927096,1034.5325
20180101:2000,11.25890000000004,57.22182849205528,0.0,0.0,0.0,0.0,1.5130562554174625,41.08688782579021,1035.0169
20180101:2100,11.097000000000037,56.05112284333412,0.0,0.0,0.0,0.0,1.82223721304193,39.694998648615865,1035.2825
20180101:2200,9.291530000000025,63.71344240422,0.0,0.0,0.0,0.0,2.007227817416433,50.40020981975331,1035.4194
20180101:2300,8.426000000000045,67.81881771537645,0.0,0.0,0.0,0.0,1.5439681938420524,71.68000880242494,1035.40625
20180102:0000,8.032800000000009,70.09773419867523,0.0,0.0,0.0,0.0,1.678471172742143,91.27623546932594,1035.49125
20180102:0100,7.391630000000021,72.15430410738375,0.0,0.0,0.0,0.0,1.7271969739748594,85.76147372383538,1035.39625
20180102:0200,6.530420000000049,74.83960649131669,0.0,0.0,0.0,0.0,1.4467456899248694,103.86080650574,1035.1644
20180102:0300,5.197200000000009,79.48505553029835,0.0,0.0,0.0,0.0,1.3447511597684123,121.176047603702,1034.8225
20180102:0400,4.515650000000051,83.30950140658476,0.0,0.0,0.0,0.0,1.2129102101749496,121.52448861213126,1034.755
20180102:0500,4.124000000000024,84.16261448477103,0.0,0.0,0.0,0.0,1.1361842122626156,117.93787394277167,1034.3206
20180102:0600,4.371939999999995,84.0849365203495,0.0,0.0,0.0,0.0,1.2725344957482092,99.9716036511032,1034.5531
20180102:0700,5.253000000000043,80.3839800650849,4.4369,21.8928,3.4582,5.229101335735219,1.3524796424548653,103.43639666036869,1035.0425
20180102:0800,5.030240000000049,82.33726447825434,105.2872,370.4091,48.7258,165.82597498312805,1.190698481972145,110.74166924587996,1035.2819
20180102:0900,7.02328,81.82632428134926,262.8353,626.0726,81.2562,407.05489389618214,1.143340318174959,91.962495911639,1035.9344
20180102:1000,10.35990000000004,70.95777073974887,394.8299,731.5059,97.2741,599.747801757808,1.1761851524834062,14.094292850316208,1036.4169
20180102:1100,11.831080000000044,70.45963992003361,489.2241,826.7176,97.9483,762.3134828964003,2.049521445427505,15.76809011911213,1036.565
20180102:1200,12.847200000000043,68.29195861578002,513.2497,838.3439,98.8502,820.6829010782715,2.171431682929456,25.75242284623872,1035.4669
20180102:1300,13.865930000000048,65.69525746752703,477.2177,822.9467,93.8304,798.2648532592827,2.581373880790801,19.34662727428376,1034.2844
20180102:1400,15.008260000000009,62.20833671289498,384.5027,770.0137,84.0926,691.4492173870747,3.134371568542225,14.602415455832755,1033.8044
20180102:1500,15.31167000000005,62.305857553611375,246.0353,652.6655,67.6529,501.0125398963687,2.915039413555961,14.89358988673682,1033.7669
20180102:1600,15.148220000000038,61.27676697484476,85.0625,356.969,36.6827,211.7148842266119,2.4529351338207737,11.13742183865483,1033.5806
20180102:1700,12.63802000000004,76.76098539144449,1.0351,2.8169,0.9436,1.7081116421697478,1.7210963411772084,12.25139346251956,1033.9231
20180102:1800,11.57797000000005,77.47267663383673,0.0,0.0,0.0,0.0,1.727987749062374,55.28663911778167,1034.1875
