Latitude (decimal degrees) : 34.483532
Longitude (decimal degrees) : -2.856371
Elevation (m) : 390.0
month,year
01,2023
02,2007
03,2020
04,2013
05,2020
06,2016
07,2005
08,2020
09,2015
10,2005
11,2007
12,2021
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),G(t),WS10m,WD10m,SP
20230101:0000,8.813230000000033,30.016099109988986,0.0,0.0,0.0,0.0,2.013275867310732,122.52811155069236,1026.6894
20230101:0100,8.34548000000001,31.883901975780137,0.0,0.0,0.0,0.0,2.286298146637435,125.53545412794556,1026.585
20230101:0200,7.487819999999999,34.398536183856216,0.0,0.0,0.0,0.0,2.5632993767170484,127.75371265359912,1026.4925
20230101:0300,7.230920000000026,38.973923852339546,0.0,0.0,0.0,0.0,2.725393827080778,128.86070267417733,1025.9906
20230101:0400,6.779320000000041,37.847931380347305,0.0,0.0,0.0,0.0,2.855403680195732,126.62342301602996,1025.8381
20230101:0500,6.861050000000034,40.15039453056285,0.0,0.0,0.0,0.0,2.938797054087017,125.92109737705584,1025.665
20230101:0600,7.301870000000008,38.3856022043935,0.0,0.0,0.0,0.0,2.984053094867766,125.02744683608576,1025.7519
20230101:0700,7.095970000000023,39.283493182134784,21.6583,97.9757,13.7636,27.839188280767843,3.024538690011958,125.33233422704784,1026.1331
20230101:0800,7.877859999999998,37.88686183070008,130.2164,147.7834,98.2051,149.64573122315605,3.140189833982024,126.6845311364868,1026.1969
20230101:0900,9.149200000000008,33.90925921506188,255.8076,282.5658,162.7047,318.7781286720557,3.1937730283448587,130.66468516239178,1026.2306
20230101:1000,14.174300000000017,23.61169119288944,351.7989,192.6413,264.5693,393.9856354399625,2.6161621587308383,137.24967860534943,1026.5156
20230101:1100,16.13583,20.071496625802325,405.9325,161.2044,321.9442,442.40513864224425,2.446854265226585,144.84283146650267,1025.6169
20230101:1200,17.20577000000003,18.180025651017825,418.145,194.6318,314.2136,472.4965217577201,2.814350635624517,162.3838641036437,1024.1494
20230101:1300,17.75884000000002,15.40867642225512,358.4555,137.7476,290.1643,396.5212646005243,3.1197585537856867,175.56393979717754,1023.4056
20230101:1400,18.08500000000004,14.065657180059365,243.4567,57.2791,219.9939,254.7365054537715,3.0694853299567897,192.12935108607252,1022.26125
20230101:1500,18.284080000000017,16.493836390438833,177.7955,146.1252,134.9224,225.2635320508525,2.8071740916292827,201.66156865303407,1022.1706
20230101:1600,17.85116000000005,15.298711679571106,59.4064,53.4627,51.2169,74.45003608719901,1.5738031056145652,218.8039976886406,1022.3544
20230101:1700,16.38497000000001,14.140092092464457,0.4235,0.1725,0.4102,0.4362251579376186,1.1377787285697738,214.55470633857925,1022.54375
20230101:1800,15.06230000000005,19.03120659376372,0.0,0.0,0.0,0.0,1.09994625925488,156.6795093559673,1023.1775
20230101:1900,14.298550000000034,20.279696706591512,0.0,0.0,0.0,0.0,1.3874804773435805,148.66742208563747,1023.7669
20230101:2000,13.21792000000005,22.481006113790883,0.0,0.0,0.0,0.0,1.1517661604496157,147.2255500524526,1024.09625
20230101:2100,11.500850000000014,28.825861578320875,0.0,0.0,0.0,0.0,1.421472250907801,143.10746897040306,1024.47875
20230101:2200,9.984250000000031,34.26633652842744,0.0,0.0,0.0,0.0,1.456487131993259,131.8885647352738,1024.60125
20230101:2300,8.924650000000042,39.5528038807059,0.0,0.0,0.0,0.0,1.4939891943000423,137.53736140519388,1024.88875
20230102:0000,8.704340000000002,41.8508328215605,0.0,0.0,0.0,0.0,1.642893935188541,141.73105253637578,1024.795
20230102:0100,7.981650000000002,43.65591718288858,0.0,0.0,0.0,0.0,1.809287984750424,142.05953701333078,1024.59375
20230102:0200,7.869470000000035,45.83275183077396,0.0,0.0,0.0,0.0,1.8091783806139017,145.20200347627727,1024.6331
20230102:0300,6.7917000000000485,49.69163283699728,0.0,0.0,0.0,0.0,1.7814460928154352,143.4345727702834,1024.55875
20230102:0400,6.534800000000018,49.96385206559951,0.0,0.0,0.0,0.0,1.8045971083829488,144.09219814083363,1024.74875
20230102:0500,6.008200000000045,52.49472963057852,0.0,0.0,0.0,0.0,1.7774460572020547,143.7357969180371,1024.6119
20230102:0600,6.060630000000003,53.25102833725317,0.0,0.0,0.0,0.0,1.7491106487894956,141.03653494931612,1025.1569
20230102:0700,6.06704000000002,52.132432846302464,19.5846,65.5869,14.1859,23.25394069697544,1.720474983375655,137.23121280678453,1025.8194
20230102:0800,7.183300000000031,48.51837002413236,105.7086,46.0723,97.5431,110.12651419871897,1.793777938772634,131.8153136031062,1026.26375
20230102:0900,9.731160000000044,39.435532885039954,189.2885,37.64,175.6287,188.6704999569721,2.12726209258762,139.77293245333,1026.86875
20230102:1000,14.85644000000002,26.395026114362345,420.3586,568.1818,153.8484,566.9251345229577,1.6385322735094776,148.88306278719452,1027.01375
20230102:1100,15.806480000000022,27.518931415722705,462.9626,506.825,196.143,615.944463387146,1.3537393208259485,178.51833686287097,1026.2031
20230102:1200,17.330300000000022,24.891975346804685,568.3644,831.4106,123.4768,861.3344156737716,1.2754237829297534,206.4510146045497,1025.29
20230102:1300,18.74984000000001,23.722248295446324,456.5998,543.6818,181.3257,650.2051785999519,1.119302146404188,219.7207648086743,1024.57125
20230102:1400,19.612270000000024,23.594798055319973,370.6189,555.5594,149.3888,586.7654844189698,0.7643902558421972,243.4492711876371,1023.7556
20230102:1500,19.672630000000023,23.791762886198264,210.8051,256.5282,138.6388,302.5764321070982,0.6680506245738717,298.8540252061304,1023.8775
20230102:1600,19.60220000000004,22.410426159347747,54.6627,18.2739,51.2429,57.5358132423432,1.1790036927796388,341.2255054146498,1023.7169
20230102:1700,17.633260000000007,25.62564257051539,0.3841,0.0016,0.384,0.3651428570996516,1.90602312549815,355.8020293342741,1024.10625
20230102:1800,17.322780000000023,27.46389568350699,0.0,0.0,0.0,0.0,1.9411455185769049,29.97688238037265,1024.56125
20230102:1900,13.685800000000029,35.449295919280885,0.0,0.0,0.0,0.0,1.9415372253339696,55.81024327159888,1025.16375
20230102:2000,12.241570000000024,38.55777062557636,0.0,0.0,0.0,0.0,1.9902987692116505,70.64183478801485,1025.56
20230102:2100,10.969400000000007,38.9554323216903,0.0,0.0,0.0,0.0,1.4027480274449184,73.94973128914324,1025.8225
20230102:2200,10.791650000000004,36.788735729254014,0.0,0.0,0.0,0.0,0.5744503266959345,85.47826583542364,1026.2656
20230102:2300,10.01092,39.59927875845061,0.0,0.0,0.0,0.0,0.6918365719478091,106.12696195671153,1026.3481
20230103:0000,8.970300000000009,42.20646373812073,0.0,0.0,0.0,0.0,1.0866391401467643,122.63342062185184,1026.3756
20230103:0100,8.03060000000005,44.74092806266695,0.0,0.0,0.0,0.0,1.4165900052974536,119.240489518468,1026.1119
20230103:0200,7.411159999999995,47.40234317984095,0.0,0.0,0.0,0.0,1.4536600420384576,115.96632483615778,1026.3644
20230103:0300,7.781820000000039,49.18619422204352,0.0,0.0,0.0,0.0,1.496501535776272,117.6140881280523,1026.55625
20230103:0400,7.4917200000000435,50.47185386449967,0.0,0.0,0.0,0.0,1.5673277983752631,119.76376874419034,1026.6231
20230103:0500,6.833600000000047,54.16249058104062,0.0,0.0,0.0,0.0,1.6544348713208537,122.22927144873668,1026.6806
20230103:0600,6.175350000000037,57.1521702717123,0.0,0.0,0.0,0.0,1.7632941275456713,123.13189043044858,1027.195
20230103:0700,6.199400000000026,57.78227910101723,19.4936,67.3753,13.8844,23.128560096929355,1.835468238873476,125.2072238499864,1027.6519
20230103:0800,6.91384000000005,54.60317012461851,134.3586,254.6202,84.5291,176.6640476385799,1.909801141055791,120.38537618082609,1028.2006
20230103:0900,8.79385000000002,45.73293788997434,218.7002,119.0412,177.0971,237.2220355458541,1.8074481949415893,127.04074026618947,1028.8244
20230103:1000,14.025540000000037,35.65921035258329,423.3499,580.0575,151.2856,573.0583762513365,0.9749436246022448,153.36196110877563,1029.4869
20230103:1100,15.847680000000024,32.68519059413503,546.8225,798.0643,129.435,799.5295934154077,0.8246345302433072,188.51168346283777,1029.175
20230103:1200,17.46950000000004,30.227561233028283,563.049,802.2539,132.562,844.3911230319462,0.6034811882807968,182.33160452324407,1028.3294
20230103:1300,18.205160000000035,29.092539486569613,514.7602,772.2261,129.3576,802.532186206016,0.1679792615912319,231.3540100066496,1027.51875
20230103:1400,19.5052,29.05703955781458,406.4949,698.5714,117.7504,672.4656491907652,0.5550412281833332,359.2423385520262,1026.67875
20230103:1500,19.241300000000024,30.339083396049343,251.1241,552.0473,92.8164,456.9865710003311,1.2962237192041557,11.790491462565726,1026.8319
20230103:1600,19.01534000000004,32.706457486445466,80.2801,243.7274,45.1343,161.44697913082672,2.1002296038883674,14.504100067603616,1026.7581
20230103:1700,17.290729999999996,38.44901780802377,0.7214,0.5672,0.7009,0.8207983572678859,1.7779333337302872,12.00573742417552,1027.6325
20230103:1800,15.220900000000029,48.42455244228496,0.0,0.0,0.0,0.0,2.150815013703385,23.32193661159772,1028.28875
20230103:1900,13.806300000000022,55.7404142694016,0.0,0.0,0.0,0.0,2.146385053894538,40.445957041089656,1028.8831
20230103:2000,12.106300000000031,63.77525965837366,0.0,0.0,0.0,0.0,1.6276300765663676,51.20882591627597,1029.4406
20230103:2100,9.867760000000033,70.94434100269244,0.0,0.0,0.0,0.0,1.2704640852779845,53.90098520290286,1029.765
20230103:2200,9.413100000000044,63.454336817910175,0.0,0.0,0.0,0.0,1.3466377238232106,55.3503401397415,1030.5544
20230103:2300,8.593800000000044,64.32710552092938,0.0,0.0,0.0,0.0,1.1448059231013132,51.62166254930757,1030.63875
