Latitude (decimal degrees) : 35.677565
Longitude (decimal degrees) : -0.108417
Elevation (m) : -2.0
month,year
01,2022
02,2022
03,2022
04,2022
05,2022
06,2022
07,2022
08,2022
09,2022
10,2022
11,2022
12,2022
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),G(t),WS10m,WD10m,SP
20220101:0000,11.50466,94.58880317862358,0.0,0.0,0.0,0.0,0.7620410103538671,146.92183316154106,1028.3856
20220101:0100,11.408839999999998,95.61398849331262,0.0,0.0,0.0,0.0,0.9549216592398831,143.6468377676891,1027.7731
20220101:0200,11.011250000000018,96.72567244119983,0.0,0.0,0.0,0.0,1.2129368740817472,139.81235743601454,1027.885
20220101:0300,10.485700000000008,95.2814633718814,0.0,0.0,0.0,0.0,1.3306355977051842,133.43785888996422,1027.6194
20220101:0400,10.097380000000044,94.55383657857,0.0,0.0,0.0,0.0,1.5067576728534957,129.58522343938694,1027.7575
20220101:0500,9.627040000000022,93.35398348619964,0.0,0.0,0.0,0.0,1.6299117832633918,135.98504760789825,1027.6669
20220101:0600,9.120840000000044,92.43612839764948,0.0,0.0,0.0,0.0,1.6232841520282515,145.67776670007902,1028.0575
20220101:0700,9.025500000000022,92.06560996691952,18.1022,0.5996,18.032,17.237211117253867,1.3530761013413557,151.39418155040215,1028.4694
20220101:0800,10.25433000000004,90.0787167880557,122.9622,65.4079,107.2302,128.75399856637983,1.815251097916236,150.1795498322101,1028.9269
20220101:0900,9.481470000000002,85.02509785536947,251.9532,244.8505,161.5515,301.5196555143766,1.522469218508106,149.08686253724238,1029.34375
20220101:1000,13.230600000000038,71.42272934108614,473.1931,837.8272,89.6241,717.4959599071789,0.847416925303857,168.1461977246663,1029.9306
20220101:1100,13.559230000000014,67.05782835610853,547.016,899.6368,88.3345,849.3374263721477,0.0976557547438583,199.49664661541385,1030.0006
20220101:1200,14.928700000000047,62.121187778625,549.7635,890.485,92.6686,877.1444403230564,0.5442841639408611,343.526611581126,1029.3644
20220101:1300,14.61056000000002,69.37486456754772,487.3523,837.9904,96.2555,810.7287994705705,0.984628800428356,356.76806066707053,1028.1775
20220101:1400,16.241420000000005,65.03166434537633,367.8198,740.9099,91.0115,656.437479890383,1.4411113281135726,3.226100875012065,1027.5344
20220101:1500,16.862270000000024,64.36489882657611,207.4757,568.0485,70.0167,421.63737653765196,1.717921582563174,5.421852670715879,1027.41125
20220101:1600,16.989340000000027,68.83991646245143,46.3147,197.2358,24.9348,109.80070552044393,1.6168412583391498,357.18006949484254,1027.75125
20220101:1700,14.091330000000028,81.23125016064107,0.0,0.0,0.0,0.0,2.0897628596073505,347.9860920430761,1028.0
20220101:1800,13.769000000000004,82.7905767942578,0.0,0.0,0.0,0.0,1.5463969899421697,350.6178881820958,1028.39125
20220101:1900,13.355600000000038,85.92729178162959,0.0,0.0,0.0,0.0,0.9544763174065622,355.45664747610846,1028.625
20220101:2000,12.258260000000009,90.775898958075,0.0,0.0,0.0,0.0,0.5751147930439552,317.90996421303726,1028.7975
20220101:2100,10.908140000000005,95.201309618797,0.0,0.0,0.0,0.0,0.4557308566950515,266.3141718793411,1029.1
20220101:2200,10.608420000000024,96.31522527432,0.0,0.0,0.0,0.0,0.2253106747598657,8.493927323003675,1029.7394
20220101:2300,10.651030000000048,96.49354720316435,0.0,0.0,0.0,0.0,0.3146165644989399,80.04063473764185,1029.5656
20220102:0000,10.49227000000002,96.98885138490402,0.0,0.0,0.0,0.0,0.8253749230280806,120.16662099248958,1029.2981
20220102:0100,10.230250000000012,97.38234595426049,0.0,0.0,0.0,0.0,1.2780517236828328,125.37259350827954,1029.2331
20220102:0200,10.11306000000002,96.69684447037368,0.0,0.0,0.0,0.0,1.303573566128805,134.10698230301543,1028.9806
20220102:0300,10.02460000000002,95.32265822590038,0.0,0.0,0.0,0.0,1.1405478696261948,143.01711622941446,1028.88625
20220102:0400,9.96243000000004,94.71070541558991,0.0,0.0,0.0,0.0,1.3262563634988156,150.41153099362597,1028.8944
20220102:0500,9.461880000000008,95.00604950376923,0.0,0.0,0.0,0.0,1.2437719180607432,153.42331932856166,1028.9856
20220102:0600,9.116900000000044,95.08975085510536,0.0,0.0,0.0,0.0,1.091563285277974,154.54288773582732,1029.5206
20220102:0700,9.442930000000048,95.27453388919892,12.0273,0.0,12.0273,11.42304275210122,1.07125350393679,148.86241112195546,1029.97125
20220102:0800,10.073880000000033,94.37872340267396,103.418,40.0439,92.548,104.34573120554543,1.455890850605667,145.70135144517332,1030.21375
20220102:0900,9.745360000000003,90.95897248727856,253.8513,253.4632,161.356,306.3207360650936,1.3838526314713753,145.73853284365958,1030.32
20220102:1000,13.702420000000018,77.60520132661868,473.7958,839.4689,88.8474,717.736839254258,0.8866636084807868,155.33318542911087,1030.59125
20220102:1100,13.696740000000034,72.89171451037829,547.8732,901.3925,87.3301,850.0654376396674,0.2398896798613381,189.88532059997735,1030.2269
20220102:1200,14.289150000000006,76.73347777343282,552.4019,901.4356,88.3887,883.4371733798586,0.7253847376521226,333.3999141774997,1029.46625
20220102:1300,14.37760000000003,74.65253165838813,493.8917,871.1506,85.8719,830.3757669117523,1.2553371651240235,344.1605033226076,1028.7756
20220102:1400,15.529800000000025,72.79527494909166,377.8676,799.3033,77.9125,690.1981144109086,1.2019990807561365,354.66524371507774,1028.165
20220102:1500,15.757930000000044,74.1935563751688,217.7076,644.3343,60.7563,461.75779357001966,1.0938663194117588,359.3494028167132,1028.0825
20220102:1600,16.095180000000028,75.27006682218865,50.5924,249.026,23.608,131.66115521600628,0.8582989941195682,345.2586662520556,1028.0781
20220102:1700,12.975099999999998,86.59185322717423,0.0,0.0,0.0,0.0,1.3267288637867791,343.30176588576313,1028.3319
20220102:1800,12.471670000000016,88.22965372549655,0.0,0.0,0.0,0.0,0.6480288144291508,13.987162225534078,1028.385
20220102:1900,12.527860000000032,88.55342739339645,0.0,0.0,0.0,0.0,0.49235958619948,97.6778367721714,1028.3275
20220102:2000,11.891400000000033,94.02264362326872,0.0,0.0,0.0,0.0,0.4614066505115488,90.61581543564913,1028.67125
20220102:2100,10.934600000000046,94.90387443278549,0.0,0.0,0.0,0.0,0.6896316472088361,115.43505637273124,1028.5175
20220102:2200,10.85458,95.82493531553236,0.0,0.0,0.0,0.0,1.0493567182901011,93.2651882651948,1029.1331
20220102:2300,10.732259999999997,97.16833027645858,0.0,0.0,0.0,0.0,1.1975392478047304,114.55542841134522,1028.70875
20220103:0000,10.43374,97.3181362713812,0.0,0.0,0.0,0.0,1.5384604282763064,127.47057126626488,1028.61375
