#Meteo hourly data
#Site,Mocta Douz-Algeria
#Country,Morocco
#Data Source,Cams Solar radiations and ERA5 for meteorological data
#Time step,Hour
2010
#Latitude,35.677565
#Longitude,-0.108417
#Altitude,-2.0
#Time zone,UTC+01:00
#Plane tilt,30
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,GPI,Tamb,WindVel,Press,RelHum
,,,,,W/m2,W/m2,W/m2,W/m2,deg.C,m/s,mb,%
2010,1,1,0,0,0.0,0.0,0.0,0.0,14.251800000000005,6.667826105682181,1013.395,83.43787429573025
2010,1,1,1,0,0.0,0.0,0.0,0.0,14.310100000000034,6.4241356906929,1013.63125,79.17452362833566
2010,1,1,2,0,0.0,0.0,0.0,0.0,14.253500000000033,6.459494032519867,1013.9094,79.1557079995942
2010,1,1,3,0,0.0,0.0,0.0,0.0,14.321619999999996,6.46172176485155,1013.9806,79.77597483049882
2010,1,1,4,0,0.0,0.0,0.0,0.0,14.317650000000016,6.314905729689653,1014.1431,78.17326128408317
2010,1,1,5,0,0.0,0.0,0.0,0.0,14.136830000000032,6.091878958290607,1014.1769,79.68969052790241
2010,1,1,6,0,0.0,0.0,0.0,0.0,14.235070000000007,6.127199772658633,1014.7731,79.2408473560159
2010,1,1,7,0,29.633,22.5563,70.6384,34.495293051020475,14.314900000000025,6.005239180319106,1015.485,77.23481737595908
2010,1,1,8,0,136.4556,104.7509,166.797,167.96701967012012,14.711630000000014,5.9305177566127405,1016.1494,73.38512291322263
2010,1,1,9,0,147.9605,145.9813,5.4897,141.96621374253374,14.666830000000004,5.02881310872148,1016.7456,75.65513175147333
2010,1,1,10,0,181.2731,172.6587,19.0742,178.3780092797284,15.576560000000027,5.077535270688868,1017.3275,77.80661572794712
2010,1,1,11,0,195.3353,190.1937,9.9469,189.10200137483747,15.276640000000045,5.553142648430815,1016.95375,79.60912713798945
2010,1,1,12,0,217.2214,211.9958,10.1158,210.30938974228417,15.223839999999996,5.974384100839115,1016.4625,79.28945922995659
2010,1,1,13,0,166.0346,161.0585,11.3132,162.67202463883618,15.26522,6.370677589229681,1016.1081,78.56539556555245
2010,1,1,14,0,109.4605,108.1237,3.1817,105.14156804606057,15.76245,6.611241874268169,1016.34125,75.65502854752555
2010,1,1,15,0,57.2533,57.1885,0.3123,54.5103740183501,16.086450000000013,6.532394122047405,1016.585,74.87783371330052
2010,1,1,16,0,32.3531,27.3816,60.624,52.44695601391818,16.402120000000025,6.473534570342928,1017.2706,73.07616401032976
