#Meteo hourly data
#Site,Morocco
#Country,Morocco
#Data Source,Cams Solar radiations and ERA5 for meteorological data
#Time step,Hour
#Year,2050
#Latitude,34.7205
#Longitude,-2.020633
#Altitude,642.0
#Time zone,UTC+01:00
#Plane tilt,30
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,GPI,Tamb,WindVel,Press,RelHum
,,,,,W/m2,W/m2,W/m2,W/m2,deg.C,m/s,mb,%
2050,1,1,0,0,0.0,0.0,0.0,0.0,1.0790000000000075,2.2372568703076823,1030.3319,80.18934046449002
2050,1,1,1,0,0.0,0.0,0.0,0.0,0.987099999999998,2.186282602305657,1030.1419,78.38403475700244
2050,1,1,2,0,0.0,0.0,0.0,0.0,0.3097800000000461,2.1426995134547124,1029.99,82.40776701683377
2050,1,1,3,0,0.0,0.0,0.0,0.0,0.2828000000000088,1.932823672090114,1030.1281,80.82593364057949
2050,1,1,4,0,0.0,0.0,0.0,0.0,0.1273700000000417,1.678295896229433,1030.0856,82.37006619514702
2050,1,1,5,0,0.0,0.0,0.0,0.0,-0.1577199999999834,1.412826925949391,1030.275,82.22353394441137
2050,1,1,6,0,0.0,0.0,0.0,0.0,0.211020000000019,0.8497597345802673,1031.07375,79.84195242185532
2050,1,1,7,0,30.087,10.9354,238.4824,49.056185155272416,1.0112000000000307,0.4655612999144757,1032.1656,71.58874762377306
2050,1,1,8,0,195.9759,40.2417,741.0333,328.2725300140802,3.712980000000016,0.5191080852362344,1033.25,60.75451044482233
2050,1,1,9,0,360.6759,60.7232,843.0157,554.9253519020087,4.9455200000000445,0.85197832096921,1034.2294,65.24994977952798
2050,1,1,10,0,501.3614,62.0174,956.5403,772.8308962535385,10.483480000000045,0.6106215333742564,1035.0869,43.38569408173276
2050,1,1,11,0,575.8885,66.6475,980.2024,896.3265683623763,11.058600000000013,1.1328118029798653,1034.7144,41.62120538693536
2050,1,1,12,0,586.8022,68.469,979.0058,939.3955258633224,12.107630000000029,1.7588751527380746,1033.71375,44.56405241523392
2050,1,1,13,0,533.4313,67.4594,954.129,897.2034731121928,12.388700000000028,2.315170088770071,1033.0281,47.54889804605922
2050,1,1,14,0,420.5583,62.8255,895.853,768.675065617836,13.379880000000014,2.672227771001761,1032.90875,52.71861393430053
2050,1,1,15,0,259.8233,52.2776,770.179,552.9529845686659,13.087980000000016,2.690313017661233,1033.0994,56.20719055440836
2050,1,1,16,0,78.8265,27.1245,418.8364,222.3049341261289,12.805930000000046,2.3748456601340413,1033.5556,59.133424463691874
2050,1,1,17,0,0.0962,0.0878,0.0,0.0835295597456289,9.66506000000004,1.9007227703496503,1034.0956,73.69665024970391
2050,1,1,18,0,0.0,0.0,0.0,0.0,8.768700000000024,2.4543894959847448,1035.06625,75.05892069699243
2050,1,1,19,0,0.0,0.0,0.0,0.0,8.213620000000049,2.04643555466376,1035.77,74.9023039554977
2050,1,1,20,0,0.0,0.0,0.0,0.0,7.087060000000008,1.5491170063752453,1035.9169,76.49820336737473
2050,1,1,21,0,0.0,0.0,0.0,0.0,4.575800000000015,1.2691835702092586,1035.8856,84.43897848737929
2050,1,1,22,0,0.0,0.0,0.0,0.0,2.716640000000041,1.129359198593899,1036.1844,87.80744008072816
2050,1,1,23,0,0.0,0.0,0.0,0.0,2.75042000000002,0.9882460664887852,1036.1169,87.42009369048782
2050,1,2,0,0,0.0,0.0,0.0,0.0,1.6369300000000069,1.290016101156578,1035.9869,91.97730912504632
2050,1,2,1,0,0.0,0.0,0.0,0.0,1.162900000000036,1.5686189844849108,1035.8819,91.54038715997224
2050,1,2,2,0,0.0,0.0,0.0,0.0,0.2703500000000076,1.7348205427467895,1035.6819,92.90399870294802
2050,1,2,3,0,0.0,0.0,0.0,0.0,0.4740500000000338,1.8220286120715663,1035.6525,88.82803657005886
