Latitude (decimal degrees) : 34.7205
Longitude (decimal degrees) : -2.020633
Elevation (m) : 642.0
month,year
01,2005
02,2005
03,2005
04,2005
05,2005
06,2005
07,2005
08,2005
09,2005
10,2005
11,2005
12,2005
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),G(t),WS10m,WD10m,SP
20050101:0000,1.44213000000002,93.5154392849041,0.0,0.0,0.0,0.0,1.4037126669142594,182.27826312764464,1031.9894
20050101:0100,1.3309300000000237,92.144993885306,0.0,0.0,0.0,0.0,1.5537324902724263,181.90729659859957,1031.725
20050101:0200,0.9571200000000316,90.50486692284076,0.0,0.0,0.0,0.0,1.6922262946999178,180.4706602586508,1031.3825
20050101:0300,1.018760000000043,89.06734230003029,0.0,0.0,0.0,0.0,1.7901874889033906,179.1897761116241,1031.3394
20050101:0400,1.2990400000000475,87.91629509622888,0.0,0.0,0.0,0.0,1.9050367858943045,180.16062307459737,1031.0481
20050101:0500,0.8126800000000003,88.96667905219452,0.0,0.0,0.0,0.0,2.0179591309528675,179.3709202826185,1030.9956
20050101:0600,0.8006799999999998,89.31692702099232,0.0,0.0,0.0,0.0,2.1747023163516714,179.13362342014398,1031.2519
20050101:0700,0.9568000000000438,90.5232472934186,29.5776,229.1449,11.1449,47.54560200668425,2.342924167419477,178.92787498186686,1031.6131
20050101:0800,2.15133000000003,85.80669756000626,196.0328,741.1221,40.081,327.62660964217605,2.5836131542360627,179.04197839673827,1032.0175
20050101:0900,3.411040000000014,86.36728066634137,371.1494,902.0767,52.5666,581.493470404832,2.445500310749757,182.3283175508896,1032.59625
20050101:1000,10.792840000000012,59.31080692781834,504.2443,970.0258,58.5839,779.3366062533955,2.2554809536813973,190.86598311624104,1033.5225
20050101:1100,11.929070000000024,52.9920803232291,580.6429,999.5062,61.0598,907.3696665362552,2.197612983886012,201.03531194107853,1032.6556
20050101:1200,12.800440000000036,50.61852827578208,581.9814,957.7003,74.3845,926.1818317953298,1.777152586988264,218.039631938417,1031.59375
20050101:1300,13.382470000000012,50.581318895355295,541.0468,985.6164,59.0629,917.1682478334867,1.3360442255673477,261.7917002174695,1030.5681
20050101:1400,15.494870000000049,45.24435799533655,428.9063,937.0593,54.0683,793.5975698168817,1.4379205745764123,299.8016676000717,1030.3181
20050101:1500,15.41348000000005,47.00629866526177,268.2104,828.5982,44.5831,584.5170213271431,1.2202223516747437,300.88487136889603,1030.1819
20050101:1600,15.180720000000008,52.39282943697123,84.3651,501.3618,23.6737,258.2094817151394,0.5770126396136668,301.7360450441896,1030.3081
20050101:1700,12.954300000000046,54.53557878815889,0.1255,0.0,0.1048,0.09988145763643622,0.5946013985978548,204.8808118605612,1030.5519
20050101:1800,10.895039999999996,59.076849954191054,0.0,0.0,0.0,0.0,1.674050527314358,185.00057316735348,1030.8244
20050101:1900,8.82772,69.29696477525887,0.0,0.0,0.0,0.0,1.71241916601858,182.09624810266223,1030.89375
20050101:2000,7.720180000000028,77.3559616794161,0.0,0.0,0.0,0.0,1.9477081239081655,180.00897736373358,1031.32125
20050101:2100,4.864400000000046,87.78107369459653,0.0,0.0,0.0,0.0,2.1340117058285117,180.556355657566,1031.64
20050101:2200,4.000050000000044,88.60702652233677,0.0,0.0,0.0,0.0,2.311028579113357,183.6580062754055,1031.6269
20050101:2300,4.119780000000048,84.92539882388539,0.0,0.0,0.0,0.0,2.295558580355557,182.9967538929612,1032.0106
20050102:0000,4.025100000000009,83.63383216437899,0.0,0.0,0.0,0.0,2.2317263605208617,181.5914665528173,1032.20375
20050102:0100,3.615049999999997,84.61536943837149,0.0,0.0,0.0,0.0,2.031173174674185,178.868343641203,1031.9319
20050102:0200,3.2544200000000387,85.49190272138848,0.0,0.0,0.0,0.0,1.9216772676539016,176.46189192667202,1031.7356
20050102:0300,2.969930000000033,86.67624248644839,0.0,0.0,0.0,0.0,1.8379007963400276,175.22715406928387,1031.6225
20050102:0400,2.805440000000033,87.2081980661634,0.0,0.0,0.0,0.0,1.9392017213048391,175.08390261447124,1031.5319
20050102:0500,2.140830000000051,90.0748461558617,0.0,0.0,0.0,0.0,2.026267426986684,175.9265564700967,1031.4694
20050102:0600,1.9232400000000207,90.91225142039572,0.0,0.0,0.0,0.0,2.111486579437914,176.2684146927055,1031.88125
20050102:0700,1.885400000000004,90.34330235436612,29.9512,248.8496,10.0121,49.250424696221906,2.175169512734826,175.79405346277076,1032.3
20050102:0800,3.8610500000000334,84.42778974173144,196.1957,763.9531,35.9585,331.6474214386079,2.274420695965893,174.78315921159765,1032.9194
20050102:0900,6.391930000000002,78.8421358908596,369.637,910.3503,48.0767,581.3103442135497,2.241951177178399,177.28019946078155,1033.3694
20050102:1000,13.647420000000013,53.88215345406631,501.4267,970.4208,55.05,775.8969474297191,1.5057800894152713,185.28053139667787,1033.765
20050102:1100,14.720420000000049,48.42641584568351,576.9451,994.3187,59.0562,901.1861071965496,0.9876432284005402,251.49059090891785,1033.4644
20050102:1200,15.150900000000036,49.59018046903978,589.2228,994.2534,60.8931,946.6632031043613,1.5056826750903725,310.9034738636169,1032.575
20050102:1300,15.440330000000015,49.67553175189728,537.2187,971.2389,60.4844,907.0535432266,1.9567097524904655,331.37659582431195,1031.6144
20050102:1400,16.580129999999997,46.81473151099301,425.6474,916.881,56.8737,781.6926835542747,1.9722685972266527,338.4423250802736,1031.0881
20050102:1500,16.435420000000022,47.89214900104305,265.8914,799.8678,47.9624,570.4147633555699,1.9312523619677653,347.9743899731705,1031.1206
20050102:1600,15.881920000000036,50.406988591267954,83.9523,468.0158,25.947,245.6505028377649,1.2553748799727844,2.728199187336159,1031.13625
20050102:1700,11.931420000000005,71.07525920470889,0.1876,0.0,0.1605,0.15289024293495612,1.5794044667904703,26.300480817069904,1031.6456
20050102:1800,12.122770000000004,64.82303466600786,0.0,0.0,0.0,0.0,0.9557664335401936,112.34446050720294,1031.8775
20050102:1900,10.693570000000022,67.6490226544584,0.0,0.0,0.0,0.0,0.9288600866503892,157.3576909111555,1031.9581
20050102:2000,6.138270000000034,82.89087123942784,0.0,0.0,0.0,0.0,1.1286710741057318,170.46649349985296,1032.2975
20050102:2100,4.877470000000017,87.3767358588764,0.0,0.0,0.0,0.0,1.1191388530080155,174.68887310413518,1032.5825
20050102:2200,4.354800000000012,87.23972712855527,0.0,0.0,0.0,0.0,0.9669756308172128,175.78117070030146,1032.5144
20050102:2300,4.1813000000000216,87.97962522119175,0.0,0.0,0.0,0.0,0.9037832418643048,176.22755734159284,1032.4569
20050103:0000,3.3651399999999967,92.55263413832922,0.0,0.0,0.0,0.0,0.834643923250544,175.47861940491563,1032.42625
20050103:0100,2.8175300000000334,93.30408224863984,0.0,0.0,0.0,0.0,0.7422144143830837,174.58887150719931,1032.11
20050103:0200,2.4008400000000165,93.51779737436456,0.0,0.0,0.0,0.0,0.7802847443886207,173.07788561075756,1031.82625
20050103:0300,2.3308300000000486,91.9458865920272,0.0,0.0,0.0,0.0,0.8479976760605228,172.55605764078376,1031.5956
