Latitude (decimal degrees) : 41.2471
Longitude (decimal degrees) : 3.4497
Elevation (m) : 0
month,year
01,2013
02,2016
03,2014
04,2018
05,2009
06,2012
07,2021
08,2015
09,2020
10,2019
11,2016
12,2006
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),G(t),WS10m,WD10m,SP
20130101:0000,14.12838000000005,72.28558001740208,0.0,0.0,0.0,0.0,11.40503045721159,226.48687367781287,1017.21375
20130101:0100,14.048180000000002,72.45928774189454,0.0,0.0,0.0,0.0,11.206728482080086,226.53945613211465,1016.4581
20130101:0200,13.974760000000003,72.80419092500358,0.0,0.0,0.0,0.0,10.707895194436317,226.43227174441964,1015.7644
20130101:0300,13.928120000000035,72.78337053630138,0.0,0.0,0.0,0.0,10.11360802981423,224.4548763438713,1015.20375
20130101:0400,13.885770000000036,71.37573977479215,0.0,0.0,0.0,0.0,9.920149908408352,224.21932531538403,1014.5275
20130101:0500,13.814840000000004,71.93951381964426,0.0,0.0,0.0,0.0,9.468935159236898,227.73532261600343,1014.5256
20130101:0600,13.724019999999996,71.62821822065254,0.0,0.0,0.0,0.0,8.60239497902201,234.3949327589933,1014.6581
20130101:0700,13.60244,71.53413029193088,23.6624,113.5777,14.4166,36.13189021679448,7.241864772265814,242.72599810959247,1015.03125
20130101:0800,13.454920000000016,71.38570200026432,113.4965,173.3363,86.0427,153.51784821518004,5.834585530256391,248.3533803873806,1015.2094
20130101:0900,13.33770000000004,71.86730011068893,138.566,125.9974,95.9564,166.30523342040829,4.782026385328575,259.37031558223464,1015.75125
20130101:1000,12.596770000000047,68.29336355037181,298.2199,325.23,172.0001,401.48388985183885,4.238041086267636,278.2197237304755,1016.3675
20130101:1100,12.346770000000047,67.69102732036448,288.8444,137.1183,229.9806,329.93433120157624,4.042182068068316,292.85816166286133,1016.5494
20130101:1200,12.20236,67.09594100885671,242.3352,89.1907,204.3781,268.45657604215364,3.22946093833051,311.45235963011635,1016.00625
20130101:1300,12.35160000000002,66.021979470777,117.0028,1.5911,116.3803,111.7935050390834,2.389353983857415,349.63617898287737,1015.6125
20130101:1400,12.589140000000045,66.21086660206606,58.4271,4.76,57.3568,57.7583686486438,2.6071463085421294,27.90781870909275,1015.97125
20130101:1500,12.563620000000014,69.77156736504125,46.6119,10.8795,44.571,48.18515935154762,2.916032578968769,37.52554204236213,1016.2431
20130101:1600,12.324820000000043,75.88950910786704,3.3848,0.0014,3.3848,3.215227341903267,2.1936011838875658,52.83955712605879,1016.6644
20130101:1700,12.356600000000014,77.36342817188626,0.0,0.0,0.0,0.0,2.536374828232776,109.54693431048386,1016.9031
20130101:1800,12.50920000000002,74.92316904730055,0.0,0.0,0.0,0.0,2.226105558570853,139.00441798111646,1017.1556
20130101:1900,12.615260000000037,73.67467336489618,0.0,0.0,0.0,0.0,1.3100737554863773,218.5057680719221,1017.575
20130101:2000,12.603660000000048,73.15887352926805,0.0,0.0,0.0,0.0,2.6920922255123365,271.3770840261574,1017.8156
20130101:2100,12.582880000000046,73.24661685681556,0.0,0.0,0.0,0.0,3.791609257930818,281.93981677753607,1018.3856
20130101:2200,12.42208000000005,72.84762738088173,0.0,0.0,0.0,0.0,4.526722207086265,278.0334403143611,1018.7775
20130101:2300,12.461330000000032,72.11837103404206,0.0,0.0,0.0,0.0,5.228249500831748,276.91658925622374,1018.69
20130102:0000,12.539030000000023,70.76357209610342,0.0,0.0,0.0,0.0,5.586066757241213,282.0297507425122,1018.4431
20130102:0100,12.654700000000048,69.06689957670962,0.0,0.0,0.0,0.0,6.828382924398957,305.3789294772314,1019.23
20130102:0200,12.570730000000026,68.54863388792926,0.0,0.0,0.0,0.0,7.479912149364122,321.96059901976247,1019.6256
20130102:0300,12.090660000000014,69.19994701747466,0.0,0.0,0.0,0.0,6.423116883792965,337.2027906817193,1019.85375
20130102:0400,11.953700000000026,68.26349959924772,0.0,0.0,0.0,0.0,6.672713209385176,354.4663851365157,1019.7419
20130102:0500,11.906270000000006,65.99594243222738,0.0,0.0,0.0,0.0,8.698486540730764,2.053207073100765,1020.2519
20130102:0600,11.805870000000027,64.75258321278025,0.0,0.0,0.0,0.0,10.526188944513006,1.580176499210097,1020.5
20130102:0700,11.70580000000001,63.92571739890091,25.2934,150.3696,13.2372,42.08184682784614,11.819668276382531,2.1567923841595302,1020.7419
20130102:0800,11.566430000000024,65.31520119717842,159.5056,589.6203,45.9769,287.6677493247503,12.704468143385707,1.9537752091463567,1021.23625
20130102:0900,11.520600000000002,65.70314018415284,272.7591,636.7812,79.9994,455.1669367560287,13.480884568304988,0.71734827953631,1021.7331
