#Meteo hourly data
#Site,Rome-Italy
#Country,Morocco
#Data Source,Cams Solar radiations and ERA5 for meteorological data
#Time step,Hour
2014
#Latitude,41.708235
#Longitude,12.549523
#Altitude,82.0
#Time zone,UTC+01:00
#Plane tilt,30
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,GPI,Tamb,WindVel,Press,RelHum
,,,,,W/m2,W/m2,W/m2,W/m2,deg.C,m/s,mb,%
2014,1,1,0,0,0.0,0.0,0.0,0.0,8.091520000000003,1.716065036421058,1018.3994,85.321519597135
2014,1,1,1,0,0.0,0.0,0.0,0.0,7.569970000000012,1.613616216835221,1018.2875,85.06969567310855
2014,1,1,2,0,0.0,0.0,0.0,0.0,7.248000000000047,1.4231457967871048,1018.37,84.15940847398072
2014,1,1,3,0,0.0,0.0,0.0,0.0,6.8052600000000325,1.405080511680256,1018.29875,84.42613356690512
2014,1,1,4,0,0.0,0.0,0.0,0.0,6.566550000000007,1.5809330427347548,1017.96125,84.96277112648623
2014,1,1,5,0,0.0,0.0,0.0,0.0,6.615380000000016,1.60434302908134,1018.0575,84.42681406379252
2014,1,1,6,0,3.3435,2.329,26.684,4.986513279250087,6.314480000000003,1.5860346904580933,1018.21875,84.64284876702183
2014,1,1,7,0,96.0065,33.0495,463.7652,185.01857020566766,6.04672000000005,1.4219212579561853,1018.4531,85.06192055551885
2014,1,1,8,0,222.0156,65.3958,612.2955,383.8625025554285,7.131560000000036,1.3940263525730388,1018.9325,83.80238879395625
2014,1,1,9,0,300.2583,129.138,492.0291,457.4011810167615,8.136770000000013,1.1616446421536497,1019.5931,84.49997661941472
2014,1,1,10,0,293.4455,224.3455,166.9401,343.9192382094609,10.42822000000001,1.3332119206887707,1019.62375,75.00082984086188
2014,1,1,11,0,334.2957,167.6076,395.3103,486.5379924887689,11.19150000000002,1.587307071213081,1019.6006,73.54515911215665
2014,1,1,12,0,389.6706,69.355,826.6165,735.8277231705813,11.662620000000004,1.485757786616338,1018.7481,71.4219332912621
2014,1,1,13,0,297.1496,60.0195,768.5734,619.669796490825,12.157500000000027,1.1955536002696985,1018.5581,69.5582713027459
2014,1,1,14,0,162.0371,45.289,604.2059,404.5698886417673,12.6755,1.445162469007659,1018.5994,67.3541608949597
2014,1,1,15,0,28.0712,13.5762,178.0269,87.58989399246977,12.615080000000034,1.6878473916308323,1018.6281,69.3734387950373
2014,1,1,16,0,0.0,0.0,0.0,0.0,11.065400000000013,2.40503287479883,1018.8306,73.09872360167185
2014,1,1,17,0,0.0,0.0,0.0,0.0,8.691740000000038,2.5747545601054203,1019.1525,80.81505747150605
2014,1,1,18,0,0.0,0.0,0.0,0.0,8.266020000000026,2.5929033185229167,1019.7581,80.58476190918216
2014,1,1,19,0,0.0,0.0,0.0,0.0,8.54570000000001,2.1571172611093377,1020.0806,77.47000031004741
2014,1,1,20,0,0.0,0.0,0.0,0.0,8.920800000000042,1.4832085813129596,1020.5144,76.17045960174485
2014,1,1,21,0,0.0,0.0,0.0,0.0,7.823080000000004,1.1561788881720318,1020.55625,79.5487997760657
2014,1,1,22,0,0.0,0.0,0.0,0.0,7.186180000000036,1.344565359582977,1020.1831,82.93894400002073
2014,1,1,23,0,0.0,0.0,0.0,0.0,6.793200000000013,1.3784164417194442,1019.63875,84.49480676183171
2014,1,2,0,0,0.0,0.0,0.0,0.0,6.207060000000013,0.9433096164393984,1019.6125,85.77378045124001
2014,1,2,1,0,0.0,0.0,0.0,0.0,6.137100000000032,0.9160407919335743,1019.7025,86.55249383925437
2014,1,2,2,0,0.0,0.0,0.0,0.0,5.928670000000011,1.3691684692196542,1019.6431,85.60771100406362
2014,1,2,3,0,0.0,0.0,0.0,0.0,5.734980000000007,1.3471114770468442,1019.56625,84.43024278569162
2014,1,2,4,0,0.0,0.0,0.0,0.0,5.986350000000016,1.258046388971123,1019.2219,83.14109801105266
2014,1,2,5,0,0.0,0.0,0.0,0.0,6.105800000000045,1.843721164414735,1019.4519,85.12359199163943
2014,1,2,6,0,1.4925,1.4925,0.0,1.417516093180603,5.812280000000044,2.390217630223191,1019.0525,89.01172676616456
2014,1,2,7,0,23.6845,23.2842,2.0639,22.797808317559543,5.764730000000043,2.6595510867376566,1019.03125,90.81658697702392
2014,1,2,8,0,132.3938,109.9033,93.2755,153.30654215317156,7.146400000000028,3.003410858450107,1019.1469,89.29267945660195
2014,1,2,9,0,169.2688,158.1785,31.0954,171.38398431472396,8.411400000000015,3.214779921823118,1019.3344,85.89945770387504
2014,1,2,10,0,182.3581,177.8332,10.9192,177.45988891952743,10.813870000000009,3.9733197364877344,1019.00125,77.17793927678512
2014,1,2,11,0,226.6141,207.1961,45.4118,234.43019240061645,11.380820000000028,4.634500474157641,1018.64,76.00840592306184
2014,1,2,12,0,124.9922,124.5333,1.1339,119.19741211227655,12.07516000000004,4.7025966621525175,1017.8119,75.03423765655421
2014,1,2,13,0,69.2106,68.7243,1.8623,66.63649820347942,12.54388,4.76622136659309,1017.4931,75.69900465133107
2014,1,2,14,0,106.8513,74.5174,180.951,179.36261426426404,12.54208,4.351539101313011,1017.40375,80.08000579271717
2014,1,2,15,0,26.1356,16.9133,113.019,63.72394990102373,12.76950000000005,3.9678060261956416,1017.61125,78.07318409174633
2014,1,2,16,0,0.0,0.0,0.0,0.0,12.44088000000005,3.719831838275522,1017.7325,78.58396672328584
2014,1,2,17,0,0.0,0.0,0.0,0.0,11.843400000000033,3.9657282802420286,1017.76125,81.48714382875727
2014,1,2,18,0,0.0,0.0,0.0,0.0,11.640680000000032,3.949766189484993,1017.87,82.0913890565246
2014,1,2,19,0,0.0,0.0,0.0,0.0,11.24893000000003,4.204780289437844,1017.755,83.13052130383578
2014,1,2,20,0,0.0,0.0,0.0,0.0,11.35110000000003,4.009727243765084,1017.9256,81.67058969186843
2014,1,2,21,0,0.0,0.0,0.0,0.0,11.672200000000032,3.8083293002296807,1018.3656,80.35514958943153
2014,1,2,22,0,0.0,0.0,0.0,0.0,11.8519,2.966475818704404,1018.12125,81.49114413505497
2014,1,2,23,0,0.0,0.0,0.0,0.0,11.889730000000045,2.9787416570051604,1018.3256,82.3725986750484
2014,1,3,0,0,0.0,0.0,0.0,0.0,11.75338000000005,2.778408735537207,1018.1894,83.15180484206381
2014,1,3,1,0,0.0,0.0,0.0,0.0,11.799220000000048,3.5627442250628785,1018.6206,85.79036818172666
2014,1,3,2,0,0.0,0.0,0.0,0.0,11.56698,3.6816789485202266,1018.4969,84.84333546689892
2014,1,3,3,0,0.0,0.0,0.0,0.0,11.449240000000032,3.7054708743751528,1018.62,85.10465835905396
2014,1,3,4,0,0.0,0.0,0.0,0.0,11.42727000000002,3.6015173566469967,1018.5894,85.30178238003106
2014,1,3,5,0,0.0,0.0,0.0,0.0,11.622770000000004,3.60848455663807,1018.725,84.91415308145011
2014,1,3,6,0,2.8124,2.5197,7.4425,3.1463891461110642,11.66238000000004,3.409620320160628,1018.9719,85.01621093343297
2014,1,3,7,0,84.5767,45.8604,273.5887,133.62135123902698,11.426170000000011,3.574275616100389,1019.6625,85.23067535579341
2014,1,3,8,0,188.0275,98.2112,354.5215,279.07252853992895,12.081700000000012,3.566717466347773,1020.2756,85.51466258699588
2014,1,3,9,0,135.6711,97.8889,113.5603,170.15361240283147,12.852100000000007,3.867762091668919,1020.6775,84.9847661652549
2014,1,3,10,0,248.8248,188.0634,146.6509,293.64280684116363,13.985040000000026,3.9867463146546007,1020.68375,82.32692956466876
2014,1,3,11,0,256.7458,209.672,110.5107,290.83314705911056,14.527500000000032,4.68161373352649,1020.5431,79.78714000636332
2014,1,3,12,0,308.8532,186.2479,313.296,431.6210374251613,14.711970000000008,4.793520935303465,1020.51875,79.47710023850402
2014,1,3,13,0,268.7247,104.5281,531.7079,490.3055268437666,14.820670000000009,4.440026139441834,1020.2394,78.12935870172754
2014,1,3,14,0,141.6618,72.8378,346.818,278.1093365034728,14.885100000000024,4.206891093724629,1020.2144,77.93046461380993
2014,1,3,15,0,26.9612,17.7665,104.3713,61.123804149624995,14.75320000000005,3.744656094327173,1020.485,77.8496416453591
2014,1,3,16,0,0.0,0.0,0.0,0.0,14.516700000000014,3.598022102886752,1020.50125,79.03612504769718
2014,1,3,17,0,0.0,0.0,0.0,0.0,13.671660000000031,3.5604733478597828,1020.67125,83.09081654812518
2014,1,3,18,0,0.0,0.0,0.0,0.0,13.341940000000022,3.438874024350738,1020.9544,83.40637230779042
