Latitude (decimal degrees) : 41.708235
Longitude (decimal degrees) : 12.549523
Elevation (m) : 82.0
month,year
01,2014
02,2014
03,2014
04,2014
05,2014
06,2014
07,2014
08,2014
09,2014
10,2014
11,2014
12,2014
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),G(t),WS10m,WD10m,SP
20140101:0000,8.091520000000003,85.321519597135,0.0,0.0,0.0,0.0,1.716065036421058,4.870173925383384,1018.3994
20140101:0100,7.569970000000012,85.06969567310855,0.0,0.0,0.0,0.0,1.613616216835221,19.37184207496115,1018.2875
20140101:0200,7.248000000000047,84.15940847398072,0.0,0.0,0.0,0.0,1.4231457967871048,26.210920126772635,1018.37
20140101:0300,6.8052600000000325,84.42613356690512,0.0,0.0,0.0,0.0,1.405080511680256,20.305307767555504,1018.29875
20140101:0400,6.566550000000007,84.96277112648623,0.0,0.0,0.0,0.0,1.5809330427347548,13.92304246882152,1017.96125
20140101:0500,6.615380000000016,84.42681406379252,0.0,0.0,0.0,0.0,1.60434302908134,13.584097724512915,1018.0575
20140101:0600,6.314480000000003,84.64284876702183,3.3435,26.684,2.329,4.986513279250087,1.5860346904580933,23.8328657300288,1018.21875
20140101:0700,6.04672000000005,85.06192055551885,96.0065,463.7652,33.0495,185.01857020566766,1.4219212579561853,25.96203566377629,1018.4531
20140101:0800,7.131560000000036,83.80238879395625,222.0156,612.2955,65.3958,383.8625025554285,1.3940263525730388,23.73732432602901,1018.9325
20140101:0900,8.136770000000013,84.49997661941472,300.2583,492.0291,129.138,457.4011810167615,1.1616446421536497,353.6061185268037,1019.5931
20140101:1000,10.42822000000001,75.00082984086188,293.4455,166.9401,224.3455,343.9192382094609,1.3332119206887707,339.8355401583923,1019.62375
20140101:1100,11.19150000000002,73.54515911215665,334.2957,395.3103,167.6076,486.5379924887689,1.587307071213081,322.2760235604791,1019.6006
20140101:1200,11.662620000000004,71.4219332912621,389.6706,826.6165,69.355,735.8277231705813,1.485757786616338,318.99054694316146,1018.7481
20140101:1300,12.157500000000027,69.5582713027459,297.1496,768.5734,60.0195,619.669796490825,1.1955536002696985,308.7235345757779,1018.5581
20140101:1400,12.6755,67.3541608949597,162.0371,604.2059,45.289,404.5698886417673,1.445162469007659,281.1451382317482,1018.5994
20140101:1500,12.615080000000034,69.3734387950373,28.0712,178.0269,13.5762,87.58989399246977,1.6878473916308323,274.11938433734946,1018.6281
20140101:1600,11.065400000000013,73.09872360167185,0.0,0.0,0.0,0.0,2.40503287479883,269.05954588425755,1018.8306
20140101:1700,8.691740000000038,80.81505747150605,0.0,0.0,0.0,0.0,2.5747545601054203,275.8644580408919,1019.1525
20140101:1800,8.266020000000026,80.58476190918216,0.0,0.0,0.0,0.0,2.5929033185229167,285.11077646071675,1019.7581
20140101:1900,8.54570000000001,77.47000031004741,0.0,0.0,0.0,0.0,2.1571172611093377,309.8799331570889,1020.0806
20140101:2000,8.920800000000042,76.17045960174485,0.0,0.0,0.0,0.0,1.4832085813129596,343.16361897048847,1020.5144
20140101:2100,7.823080000000004,79.5487997760657,0.0,0.0,0.0,0.0,1.1561788881720318,30.98489392381724,1020.55625
20140101:2200,7.186180000000036,82.93894400002073,0.0,0.0,0.0,0.0,1.344565359582977,63.00399812109092,1020.1831
20140101:2300,6.793200000000013,84.49480676183171,0.0,0.0,0.0,0.0,1.3784164417194442,79.95083340970949,1019.63875
20140102:0000,6.207060000000013,85.77378045124001,0.0,0.0,0.0,0.0,0.9433096164393984,98.51060144227064,1019.6125
20140102:0100,6.137100000000032,86.55249383925437,0.0,0.0,0.0,0.0,0.9160407919335743,116.90181307343845,1019.7025
20140102:0200,5.928670000000011,85.60771100406362,0.0,0.0,0.0,0.0,1.3691684692196542,117.81819816200746,1019.6431
20140102:0300,5.734980000000007,84.43024278569162,0.0,0.0,0.0,0.0,1.3471114770468442,114.56142184000808,1019.56625
20140102:0400,5.986350000000016,83.14109801105266,0.0,0.0,0.0,0.0,1.258046388971123,113.23746297795005,1019.2219
20140102:0500,6.105800000000045,85.12359199163943,0.0,0.0,0.0,0.0,1.843721164414735,104.74677299939596,1019.4519
20140102:0600,5.812280000000044,89.01172676616456,1.4925,0.0,1.4925,1.417516093180603,2.390217630223191,101.2000378596788,1019.0525
20140102:0700,5.764730000000043,90.81658697702392,23.6845,2.0639,23.2842,22.797808317559543,2.6595510867376566,99.6422833446347,1019.03125
20140102:0800,7.146400000000028,89.29267945660195,132.3938,93.2755,109.9033,153.30654215317156,3.003410858450107,101.99060299233486,1019.1469
20140102:0900,8.411400000000015,85.89945770387504,169.2688,31.0954,158.1785,171.38398431472396,3.214779921823118,111.46058169181158,1019.3344
20140102:1000,10.813870000000009,77.17793927678512,182.3581,10.9192,177.8332,177.45988891952743,3.9733197364877344,127.59554423464162,1019.00125
20140102:1100,11.380820000000028,76.00840592306184,226.6141,45.4118,207.1961,234.43019240061645,4.634500474157641,132.78369791511253,1018.64
20140102:1200,12.07516000000004,75.03423765655421,124.9922,1.1339,124.5333,119.19741211227655,4.7025966621525175,134.66162390105418,1017.8119
20140102:1300,12.54388,75.69900465133107,69.2106,1.8623,68.7243,66.63649820347942,4.76622136659309,144.2178293386549,1017.4931
20140102:1400,12.54208,80.08000579271717,106.8513,180.951,74.5174,179.36261426426404,4.351539101313011,149.81916870472205,1017.40375
20140102:1500,12.76950000000005,78.07318409174633,26.1356,113.019,16.9133,63.72394990102373,3.9678060261956416,148.65530067722642,1017.61125
20140102:1600,12.44088000000005,78.58396672328584,0.0,0.0,0.0,0.0,3.719831838275522,140.7556868698087,1017.7325
20140102:1700,11.843400000000033,81.48714382875727,0.0,0.0,0.0,0.0,3.9657282802420286,135.8045496013337,1017.76125
20140102:1800,11.640680000000032,82.0913890565246,0.0,0.0,0.0,0.0,3.949766189484993,134.02658569718866,1017.87
