Latitude (decimal degrees) : 50.347164
Longitude (decimal degrees) : 11.451591
Elevation (m) : 558.0
month,year
01,2024
02,2024
03,2024
04,2024
05,2024
06,2024
07,2024
08,2024
09,2024
10,2024
11,2024
12,2024
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),G(t),WS10m,WD10m,SP
20240101:0000,3.80068,83.91225901958464,0.0,0.0,0.0,0.0,4.601175212713156,216.1259161977364,1008.2275
20240101:0100,3.8716400000000135,83.570052943914,0.0,0.0,0.0,0.0,4.957521637430652,213.62927043861413,1008.3531
20240101:0200,3.872160000000008,83.46381564397639,0.0,0.0,0.0,0.0,5.011909747249571,217.6736604012931,1008.38375
20240101:0300,3.7322599999999966,84.59912125999455,0.0,0.0,0.0,0.0,5.156412251986167,223.4446055345741,1008.4006
20240101:0400,3.4936200000000213,86.38788054866765,0.0,0.0,0.0,0.0,5.300533888744916,227.1922350482217,1008.2431
20240101:0500,3.369700000000023,87.63718341147161,0.0,0.0,0.0,0.0,5.428324288461641,227.81109663303167,1008.2925
20240101:0600,3.368430000000046,88.48294804460326,0.0,0.0,0.0,0.0,5.437323453713933,227.48126524040063,1008.4394
20240101:0700,3.39443,88.7111531589712,2.4644,0.0,2.4644,2.340587376907389,5.460193110796806,226.56624188028843,1009.0719
20240101:0800,3.3309600000000046,88.6928471759141,22.9263,0.0001,22.9263,21.77451465439885,5.601007716185026,226.57068787283265,1009.4844
20240101:0900,3.608879999999999,87.68212422080173,19.5963,0.0,19.5963,18.61177260756787,5.764568693923889,228.4605188556276,1009.8644
20240101:1000,4.008450000000039,82.2141486379424,39.3172,0.0019,39.3167,37.34270840786367,5.14026738547665,228.56276288955823,1009.88875
20240101:1100,4.374930000000006,85.47870099758508,65.3373,0.058,65.3207,62.08128628226662,5.4064057837952735,227.74980666976117,1010.0556
20240101:1200,4.621360000000038,86.6406702883497,65.1552,0.0126,65.1523,61.88804755909992,5.2988386685359545,223.53999071555867,1009.8444
20240101:1300,4.3385600000000295,84.8654533127706,48.3788,0.0266,48.3746,45.96141103850714,5.335121614634568,222.51176597723156,1009.52
20240101:1400,4.43383,87.45334677277619,43.7831,1.8552,43.6068,42.384617460000335,7.047776399264167,230.28065850089723,1009.5706
20240101:1500,3.974270000000047,88.12092441618314,1.134,0.0557,1.1321,1.0950655064549744,6.036645373885179,235.10670538198104,1010.20875
20240101:1600,3.887450000000001,89.77723229467696,0.0,0.0,0.0,0.0,5.696221559608319,239.21491532012527,1010.8681
20240101:1700,3.693960000000004,88.95086781912967,0.0,0.0,0.0,0.0,5.520342934913787,243.4888466409107,1011.60375
20240101:1800,3.533260000000041,87.73063183367483,0.0,0.0,0.0,0.0,5.139742779250177,241.7156495557113,1011.93875
20240101:1900,3.3382200000000357,87.51487605993337,0.0,0.0,0.0,0.0,4.9027484589325,239.166094441633,1012.2244
20240101:2000,3.3641600000000267,87.0098666893968,0.0,0.0,0.0,0.0,4.848850876549957,238.39899444189413,1012.47125
20240101:2100,3.266840000000002,90.21700710069324,0.0,0.0,0.0,0.0,4.734523350323207,236.0372639413084,1012.2544
20240101:2200,3.05758000000003,88.97115218302342,0.0,0.0,0.0,0.0,4.497025328055963,235.01251915042792,1011.59125
20240101:2300,3.3884500000000344,88.58340169785558,0.0,0.0,0.0,0.0,4.132515498730996,230.55758912484757,1011.6994
20240102:0000,3.534750000000031,87.47800585313891,0.0,0.0,0.0,0.0,3.830151185977584,221.9504627203578,1011.4919
20240102:0100,3.2966200000000185,88.0238389738064,0.0,0.0,0.0,0.0,4.050738011394773,209.65156017666743,1010.54625
20240102:0200,3.174950000000024,88.34888406448637,0.0,0.0,0.0,0.0,4.398526496999068,207.7679909703366,1010.05125
20240102:0300,2.934400000000039,89.63502736744665,0.0,0.0,0.0,0.0,4.544677018299848,202.17567546404825,1008.96
20240102:0400,2.762480000000039,91.17921217849332,0.0,0.0,0.0,0.0,4.941147457374937,199.29865527625608,1007.7656
20240102:0500,2.765770000000032,92.34842733464052,0.0,0.0,0.0,0.0,5.142945589766845,191.42878359466624,1006.29875
20240102:0600,2.292570000000012,96.24762846150884,0.0,0.0,0.0,0.0,5.666552820986246,186.94423168062036,1005.4256
20240102:0700,1.9971000000000456,96.2174131812389,2.709,0.0,2.709,2.572898557069517,5.277985055294975,180.2393556326881,1004.6419
20240102:0800,1.637140000000045,96.82482297176264,21.5673,0.0001,21.5673,20.483791403646332,5.276389027031878,180.55856217877044,1003.9725
20240102:0900,1.5835800000000404,97.30455818434147,22.1986,0.0,22.1986,21.083331823168464,5.708075313951115,190.4683068919656,1003.3619
20240102:1000,2.408960000000036,95.7115327608119,23.3717,0.0,23.3717,22.19749472361079,4.707748082026718,198.6808346191285,1001.8775
20240102:1100,4.145500000000027,95.15184669486273,24.3525,0.0,24.3525,23.129018867122703,5.441371719666008,209.24279292554573,1001.13375
20240102:1200,5.642820000000029,94.95062216149428,22.8652,0.0,22.8652,21.71644152347948,5.515850628889313,228.83970468274464,1000.5906
20240102:1300,5.917100000000005,94.94359977281252,67.8697,0.4032,67.7992,64.6540621066596,5.167188622632788,232.02075472619103,1000.1606
20240102:1400,5.91560000000004,95.31151409573532,50.2559,4.0592,49.8768,49.49844933467331,5.305493459791158,231.61967640917263,999.7794
20240102:1500,5.781550000000038,96.62152176043143,1.5231,0.2125,1.5155,1.5155171891340167,5.572890704085797,227.4472956796804,999.4744
20240102:1600,5.866720000000044,96.91012430594574,0.0,0.0,0.0,0.0,5.6890801422345785,221.7755420355646,998.71875
20240102:1700,6.058250000000044,96.16322955051368,0.0,0.0,0.0,0.0,6.120502680133235,218.93243717307524,998.04
20240102:1800,6.2419700000000375,96.11937803606756,0.0,0.0,0.0,0.0,6.276622929059073,218.5788642097456,996.8269
20240102:1900,6.375050000000044,96.49698246737157,0.0,0.0,0.0,0.0,6.461692808251423,218.3246613140821,996.15875
20240102:2000,6.454250000000002,96.5527441739596,0.0,0.0,0.0,0.0,7.1202470727544975,223.81131272715984,995.4756
20240102:2100,6.697600000000023,94.75413023210128,0.0,0.0,0.0,0.0,7.877802201845385,231.8650241965,995.23625
20240102:2200,7.176300000000026,92.88221110041646,0.0,0.0,0.0,0.0,7.15144105283868,237.54780366816587,994.3125
20240102:2300,7.36080000000004,91.48962028485714,0.0,0.0,0.0,0.0,7.551988268554842,234.71650808416865,994.64375
20240103:0000,7.375540000000001,91.01426279217416,0.0,0.0,0.0,0.0,8.205177175738099,236.7655652154908,994.8231
