Latitude (decimal degrees) : 32.178132
Longitude (decimal degrees) : -6.124692
Elevation (m) : 1370.0
month,year
01,2008
02,2008
03,2008
04,2008
05,2008
06,2008
07,2008
08,2008
09,2008
10,2008
11,2008
12,2008
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),G(t),WS10m,WD10m,SP
20080101:0000,-1.7081399999999576,73.93550178114594,0.0,0.0,0.0,0.0,0.9969829227067282,134.59819183637532,1024.8019
20080101:0100,-2.1739299999999844,75.55560121905496,0.0,0.0,0.0,0.0,1.1283104729880125,134.6493434204903,1024.1506
20080101:0200,-2.3839999999999577,75.64626053703691,0.0,0.0,0.0,0.0,1.139059536925651,133.6756277649224,1023.2756
20080101:0300,-1.9132999999999925,75.31837712556661,0.0,0.0,0.0,0.0,1.0664458543800457,134.7142166895374,1022.555
20080101:0400,-1.9534699999999816,73.29545453576341,0.0,0.0,0.0,0.0,0.6606355697646793,139.52631096640104,1022.18
20080101:0500,-2.1065399999999954,69.81852972584032,0.0,0.0,0.0,0.0,0.3689989162938775,146.27904787656794,1022.1844
20080101:0600,-1.9404700000000048,65.00216565528757,0.0,0.0,0.0,0.0,0.5059256197663753,140.8374069193198,1022.39625
20080101:0700,-1.952799999999968,61.03535809590264,18.0538,182.6273,6.2412,26.982211156556794,0.6186690634342241,139.12342102357974,1022.4194
20080101:0800,-0.9464799999999514,55.5515382176916,180.5921,748.9134,38.1973,298.69385302392914,0.6562984542222957,138.846030162509,1023.0125
20080101:0900,2.8961400000000026,50.57225140241477,378.2003,963.527,43.591,579.5106491708272,0.7611416414838897,138.1862725430288,1023.2275
20080101:1000,8.93765000000002,30.899907501911105,524.2322,997.1279,57.0377,780.3385644679807,0.5719106905906456,164.79690154082968,1023.9681
20080101:1100,10.306849999999995,25.942038268174315,628.4493,1059.4242,52.3142,947.4333082318931,0.8718567993184503,278.71040625196315,1023.0344
20080101:1200,11.577600000000018,24.291438678368777,659.3387,1065.6111,53.7127,1018.2306863319513,1.2684234117627204,295.5440959881404,1022.16375
20080101:1300,11.984770000000026,23.672665233969635,622.0234,1052.2783,53.6636,1003.2105220987971,1.4934447712486167,297.7243770709782,1021.1
20080101:1400,12.261560000000031,21.831309485961125,519.8166,1015.4892,51.4896,901.2936866570701,1.8160110164403072,299.9838532471239,1020.54125
20080101:1500,11.524,22.89279027387573,361.8773,936.4178,45.9799,713.7015950204755,1.7947428761637918,298.848931194143,1020.8856
20080101:1600,10.391700000000014,26.26276762193904,166.3366,737.2293,33.1868,431.06593359508673,1.369522735017787,295.3002355441156,1021.3625
20080101:1700,7.915920000000028,37.43310741040064,12.2373,125.9938,5.0479,46.66624986315058,1.4030720510387946,291.6296987478198,1022.21125
20080101:1800,7.850760000000037,34.98835758528321,0.0,0.0,0.0,0.0,1.0542870474049066,262.4452497111547,1022.9531
20080101:1900,6.4026700000000005,38.440430917907086,0.0,0.0,0.0,0.0,0.6410067903658396,179.9427165146902,1023.3506
20080101:2000,3.384029999999996,48.50241500691812,0.0,0.0,0.0,0.0,1.2814471654676716,154.33262116131033,1023.7581
20080101:2100,0.0275000000000318,60.89009572583888,0.0,0.0,0.0,0.0,1.3740966659376626,144.08858714634383,1023.5131
20080101:2200,-1.0130699999999706,64.25861084460055,0.0,0.0,0.0,0.0,1.091328800396553,136.82715531600402,1023.6056
20080101:2300,-0.5780999999999494,63.468963002122415,0.0,0.0,0.0,0.0,1.1766245160420932,139.91377811665612,1023.98125
20080102:0000,-0.748299999999972,62.78008654029086,0.0,0.0,0.0,0.0,1.0577987558518656,141.25048409322477,1023.91625
20080102:0100,-0.9646999999999936,64.18016043786051,0.0,0.0,0.0,0.0,1.162067529469652,140.57598052231018,1022.9225
20080102:0200,-1.9474199999999653,66.35943869559512,0.0,0.0,0.0,0.0,1.132936509143379,139.69082168850383,1022.7031
20080102:0300,-1.299260000000004,62.72198471404437,0.0,0.0,0.0,0.0,1.10372820530064,141.12853237588303,1022.2719
