#Meteo hourly data
#Site,Tagleft-Morocco
#Country,Morocco
#Data Source,Cams Solar radiations and ERA5 for meteorological data
#Time step,Hour
2010
#Latitude,32.178132
#Longitude,-6.124692
#Altitude,1370.0
#Time zone,UTC+01:00
#Plane tilt,30
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,GPI,Tamb,WindVel,Press,RelHum
,,,,,W/m2,W/m2,W/m2,W/m2,deg.C,m/s,mb,%
2010,1,1,0,0,0.0,0.0,0.0,0.0,1.1756200000000376,1.373453195257108,1021.52,92.48368206492358
2010,1,1,1,0,0.0,0.0,0.0,0.0,1.069880000000012,1.2744776563819586,1020.72125,90.48348625655603
2010,1,1,2,0,0.0,0.0,0.0,0.0,0.0738200000000119,1.0045309363761394,1020.2894,89.45366685086114
2010,1,1,3,0,0.0,0.0,0.0,0.0,0.395840000000021,0.9630557723407468,1019.6081,83.89030696954208
2010,1,1,4,0,0.0,0.0,0.0,0.0,0.2414800000000241,0.7290800270652262,1019.5731,81.34951465209039
2010,1,1,5,0,0.0,0.0,0.0,0.0,0.5138000000000034,0.7528764242589036,1019.4094,75.21905714502168
2010,1,1,6,0,0.0,0.0,0.0,0.0,0.4772600000000011,0.973430689715205,1019.7581,70.79121055466348
2010,1,1,7,0,15.8516,8.0975,115.8333,20.95186667637921,0.9418600000000196,0.9443067405697784,1019.955,67.39465572914696
2010,1,1,8,0,173.3091,44.6149,664.6317,274.8327968108839,2.285850000000039,0.396700776161837,1021.3494,65.31022046939194
2010,1,1,9,0,364.4423,61.1626,872.1077,544.7042026149129,3.79770000000002,0.5765214344441484,1022.1906,77.5412871842912
2010,1,1,10,0,516.7262,68.0336,957.4298,761.5986026378226,7.289450000000045,0.9194375406975066,1022.395,60.1105583952743
2010,1,1,11,0,591.6133,92.6986,916.2563,864.4433647610776,8.345000000000027,1.0361174864966582,1021.12125,61.44262387089918
2010,1,1,12,0,643.5974,70.8329,1006.6732,981.2178994015662,9.116420000000003,1.3300909761242743,1020.045,61.772327503513466
2010,1,1,13,0,607.0024,69.3624,993.8701,965.7250489023681,9.92147,1.4480793198998805,1019.5481,60.67751104500579
2010,1,1,14,0,506.469,65.1839,954.6794,863.9014065556183,11.186270000000036,1.4482308908027202,1019.01375,54.549181705818384
2010,1,1,15,0,348.3167,58.5511,852.8535,666.5844162402306,11.34426000000002,1.3442771946046137,1018.9275,54.69303811185754
2010,1,1,16,0,158.9923,40.5615,648.1848,390.4377834065045,10.534940000000006,1.0296891732506075,1019.1531,59.999491145780205
2010,1,1,17,0,11.5854,5.9616,94.7556,37.2470716469885,8.71505000000002,0.7593191057618967,1019.6975,72.85610483264766
2010,1,1,18,0,0.0,0.0,0.0,0.0,8.091330000000028,0.4985316288555489,1019.7906,73.12134850289908
2010,1,1,19,0,0.0,0.0,0.0,0.0,5.322600000000023,1.5160467967174696,1019.3475,79.09562903129448
2010,1,1,20,0,0.0,0.0,0.0,0.0,3.663630000000012,1.4934063451455033,1018.8475,88.41971044152885
2010,1,1,21,0,0.0,0.0,0.0,0.0,1.5621600000000058,0.8459383301202574,1019.1344,89.56768735071859
2010,1,1,22,0,0.0,0.0,0.0,0.0,0.4165000000000418,0.7125433991633635,1019.48625,88.07397508925297
2010,1,1,23,0,0.0,0.0,0.0,0.0,-0.5878699999999526,1.073609650137381,1019.545,89.00138402101963
2010,1,2,0,0,0.0,0.0,0.0,0.0,-1.4258499999999683,1.3179319686285669,1018.8206,88.34134952922884
2010,1,2,1,0,0.0,0.0,0.0,0.0,-1.354159999999979,1.2816986746948007,1018.4219,85.75638415845887
