Latitude (decimal degrees) : 30.109429
Longitude (decimal degrees) : -5.703877
Elevation (m) : 810.0
month,year
01,2014
02,2014
03,2014
04,2014
05,2014
06,2014
07,2014
08,2014
09,2014
10,2014
11,2014
12,2014
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),G(t),WS10m,WD10m,SP
20140101:0000,7.433300000000031,30.45693620307685,0.0,0.0,0.0,0.0,0.9537620161552408,44.30644333300734,1025.1731
20140101:0100,6.3688000000000216,33.08314594314613,0.0,0.0,0.0,0.0,1.071747896332612,30.68619855157727,1024.9975
20140101:0200,5.925740000000019,35.80431241126769,0.0,0.0,0.0,0.0,1.1824668554823914,36.172076153301056,1024.65375
20140101:0300,5.916600000000017,38.170724342923975,0.0,0.0,0.0,0.0,1.1861481769644977,34.63352746477527,1024.29
20140101:0400,5.392719999999997,39.555344499169,0.0,0.0,0.0,0.0,1.169808777748748,14.579307916291768,1024.165
20140101:0500,4.615380000000016,42.31723652228073,0.0,0.0,0.0,0.0,1.0913065714774848,8.95038665364386,1024.13375
20140101:0600,3.955100000000016,44.94375303843513,0.0,0.0,0.0,0.0,1.1916549480744507,4.429821999058106,1024.27375
20140101:0700,3.4197599999999966,45.59148874927955,15.7284,6.0085,15.2282,15.278074040097385,1.2238341572176756,359.2877597975974,1025.0569
20140101:0800,4.305380000000014,42.16910204428533,142.2271,194.9331,92.0496,159.78067356668498,1.1809350634143534,3.727896087316182,1025.23375
20140101:0900,5.931700000000035,37.95745537241994,331.1021,551.9582,120.6991,433.85081497141425,1.258613911263315,4.339995869581756,1025.7356
20140101:1000,11.38330000000002,26.2508124855415,542.3665,912.1404,87.5544,764.6675960257238,0.9017212810727164,353.5573431727332,1026.2775
20140101:1100,12.572350000000029,24.769499855581984,640.0299,954.6638,91.6053,912.8871065392431,0.7094374607056859,345.28616872620574,1025.7506
20140101:1200,13.744650000000036,23.40100551812996,671.3374,968.905,91.7512,982.3667832692345,0.3182104327420708,326.60940176241627,1024.1994
20140101:1300,14.942650000000016,21.85585363229425,633.6786,959.6269,88.5625,966.6553077410317,0.1951654523763058,222.15436249786717,1023.0869
20140101:1400,16.66183000000001,19.34882202495116,530.0068,922.2395,81.6015,863.7534721636325,0.6199366824540677,191.99557107880747,1021.6906
20140101:1500,17.072100000000034,18.073703238086587,369.471,834.9543,69.8139,673.4728619709932,0.9808139396702944,184.7913266028397,1021.3331
