Latitude (decimal degrees) : 30.791332
Longitude (decimal degrees) : -8.339009
Elevation (m) : 922.0
month,year
01,2018
02,2016
03,2020
04,2005
05,2023
06,2016
07,2008
08,2020
09,2022
10,2011
11,2019
12,2019
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),G(t),WS10m,WD10m,SP
20180101:0000,10.997580000000028,47.17438819445257,0.0,0.0,0.0,0.0,2.3872749293375746,5.431460675052023,1028.7431
20180101:0100,10.961270000000011,45.97280519185979,0.0,0.0,0.0,0.0,2.297542719612993,6.925982373848825,1028.6681
20180101:0200,9.749900000000023,46.29823449584327,0.0,0.0,0.0,0.0,2.1495608373598567,6.931501118569898,1027.7694
20180101:0300,8.907250000000033,44.74016304629561,0.0,0.0,0.0,0.0,2.0874939441396734,3.750612389577526,1027.4806
20180101:0400,8.742729999999995,43.077649525098906,0.0,0.0,0.0,0.0,2.163288057667266,4.914669541936831,1027.19875
20180101:0500,8.13900000000001,42.53845370365629,0.0,0.0,0.0,0.0,2.3008388308635137,3.875292484685773,1027.4975
20180101:0600,8.06740000000002,41.868613372745614,0.0,0.0,0.0,0.0,2.4513343157225496,4.112475298007311,1027.8269
20180101:0700,7.925380000000018,41.234130299335206,9.1942,59.5255,5.7606,10.736654069210427,2.513523032394122,4.501998350717841,1028.8244
20180101:0800,9.22332,36.18651864074473,149.972,554.5374,47.742,226.45618721666585,2.538364631674789,5.537249563215596,1029.3231
20180101:0900,11.241570000000024,34.68507222010588,345.8434,799.4622,71.6588,499.18761788493896,2.368673738106498,10.057348343784495,1029.96375
20180101:1000,17.306820000000016,18.47825576060876,508.1389,900.9468,83.3028,724.1817857386542,1.2061844169066542,29.213638941824385,1030.5831
20180101:1100,18.59603000000004,19.172959448064173,615.7231,948.572,88.7751,884.5186769560687,0.7855967278386555,122.93014084227816,1030.17
20180101:1200,19.487360000000024,19.893994229861644,658.2262,964.1793,90.8844,966.8544951626488,0.8823718093129518,158.30787985149067,1028.4519
20180101:1300,20.24090000000001,17.67550470613876,631.9633,953.9839,90.2098,963.5224861228874,0.9248728749134392,166.7173690119344,1027.5531
20180101:1400,21.768640000000005,14.67158318524856,539.3812,916.1557,85.5392,872.7335075317452,0.9281522568692736,180.95140364306212,1026.32375
