valid_time,u100,v100,u10,v10,d2m,t2m,msl,ssrd,tp,latitude,longitude
2005-01-01 00:00:00,1.5673981,-2.5154724,1.0440826,-1.1677094,267.1791,273.62143,102974.94,0.0,0.0,32.5,-4.0
2005-01-01 01:00:00,1.572403,-2.5334778,1.1063995,-1.115097,267.4568,273.6606,102934.0,0.0,0.0,32.5,-4.0
2005-01-01 02:00:00,1.5233612,-2.453888,1.1154633,-1.0236511,267.13077,272.71844,102888.75,0.0,0.0,32.5,-4.0
2005-01-01 03:00:00,1.3886108,-2.4380646,1.0918732,-0.9824524,268.01898,273.06134,102885.44,0.0,0.0,32.5,-4.0
2005-01-01 04:00:00,1.3305817,-2.3410645,1.1108093,-0.9055176,268.49988,273.47638,102879.06,0.0,0.0,32.5,-4.0
2005-01-01 05:00:00,1.1456757,-2.2204742,1.0256958,-0.8454437,268.3939,272.96268,102869.31,0.0,0.0,32.5,-4.0
2005-01-01 06:00:00,1.024826,-2.0305023,1.041336,-0.73960876,268.47876,273.20654,102906.44,0.0,0.0,32.5,-4.0
2005-01-01 07:00:00,0.9880371,-1.9165497,1.0977631,-0.67897034,268.78754,273.62634,102965.31,0.0,0.0,32.5,-4.0
2005-01-01 08:00:00,1.0173187,-1.9529419,1.1013336,-0.78393555,268.1864,274.82867,103018.25,90944.0,0.0,32.5,-4.0
2005-01-01 09:00:00,1.0211945,-1.951767,0.8561859,-0.5662842,267.3937,275.73877,103095.625,667200.0,0.0,32.5,-4.0
2005-01-01 10:00:00,1.3755798,-1.7449646,0.93299866,-0.9851532,269.26065,281.49362,103174.75,1.32832e+06,0.0,32.5,-4.0
2005-01-01 11:00:00,1.117691,-2.3663177,0.8718262,-1.960556,269.34448,281.7607,103173.06,1.853312e+06,0.0,32.5,-4.0
2005-01-01 12:00:00,1.0198212,-2.8229523,0.78845215,-2.363037,268.86273,282.6067,103067.625,2.172352e+06,0.0,32.5,-4.0
2005-01-01 13:00:00,1.016449,-3.2100067,0.7725525,-2.6666718,268.6197,282.9602,102969.06,2.252672e+06,0.0,32.5,-4.0
2005-01-01 14:00:00,0.9618988,-3.4852905,0.72724915,-2.8669891,267.96243,285.27182,102915.31,2.088192e+06,0.0,32.5,-4.0
2005-01-01 15:00:00,0.9223633,-3.5101013,0.69563293,-2.8636627,267.42175,285.33496,102895.69,1.6944e+06,0.0,32.5,-4.0
2005-01-01 16:00:00,0.87971497,-3.4309692,0.6215973,-2.7292938,265.62714,285.04556,102904.06,1.112832e+06,0.0,32.5,-4.0
2005-01-01 17:00:00,0.4563141,-3.4272766,0.20329285,-2.2350006,269.07834,283.0594,102983.94,436224.0,0.0,32.5,-4.0
2005-01-01 18:00:00,0.2881012,-3.3305664,0.021896362,-1.9748993,270.3321,281.80676,103027.69,15360.0,0.0,32.5,-4.0
2005-01-01 19:00:00,0.2685852,-3.1408997,0.06947327,-1.8229065,270.19186,281.50507,103074.375,0.0,0.0,32.5,-4.0
2005-01-01 20:00:00,0.27801514,-2.9490204,0.19268799,-1.6450653,270.51074,280.0147,103120.875,0.0,0.0,32.5,-4.0
2005-01-01 21:00:00,0.33351135,-2.7920685,0.3576355,-1.4715576,269.79184,279.72144,103166.0,0.0,0.0,32.5,-4.0
2005-01-01 22:00:00,0.6999817,-2.6430054,0.57029724,-1.2923126,269.66162,277.1481,103177.19,0.0,0.0,32.5,-4.0
2005-01-01 23:00:00,0.9867554,-2.457199,0.81825256,-1.1099243,269.42728,276.52173,103200.31,0.0,0.0,32.5,-4.0
2005-01-02 00:00:00,1.0283356,-2.1596222,0.9194031,-0.88339233,269.52094,276.05206,103225.625,0.0,0.0,32.5,-4.0
2005-01-02 01:00:00,0.98046875,-2.0606384,0.97062683,-0.78367615,269.76782,276.2416,103184.94,0.0,0.0,32.5,-4.0
2005-01-02 02:00:00,1.0841522,-1.7907562,1.0317993,-0.61421204,268.6528,275.56067,103172.31,0.0,0.0,32.5,-4.0
2005-01-02 03:00:00,1.2366943,-1.6017609,1.0892639,-0.5073395,269.05835,275.86993,103164.0,0.0,0.0,32.5,-4.0
2005-01-02 04:00:00,1.4476929,-1.3961182,1.1511993,-0.43707275,269.31732,276.1234,103119.69,0.0,0.0,32.5,-4.0
2005-01-02 05:00:00,1.4004669,-1.5250702,1.1295013,-0.51400757,269.6804,275.55255,103113.44,0.0,0.0,32.5,-4.0
2005-01-02 06:00:00,1.1417236,-1.6698914,1.0725403,-0.6244354,269.98596,275.65332,103154.125,0.0,0.0,32.5,-4.0
2005-01-02 07:00:00,0.9153137,-1.6351166,1.0836334,-0.6685791,270.09024,275.7307,103216.5,0.0,0.0,32.5,-4.0
2005-01-02 08:00:00,0.85806274,-1.7832031,1.0949554,-0.85414124,269.37662,276.27667,103252.94,89728.0,0.0,32.5,-4.0
2005-01-02 09:00:00,0.9662781,-1.8117981,0.881897,-0.56526184,268.98807,276.7646,103313.44,662656.0,0.0,32.5,-4.0
2005-01-02 10:00:00,1.1890106,-1.3365021,0.8182678,-0.8775635,269.72668,282.4322,103382.5,1.321472e+06,0.0,32.5,-4.0
2005-01-02 11:00:00,1.0537415,-1.635437,0.8652649,-1.4159546,270.1622,282.71222,103331.69,1.845376e+06,0.0,32.5,-4.0
2005-01-02 12:00:00,0.7799225,-1.9447174,0.6311798,-1.6968384,269.9588,283.1505,103229.0,2.165888e+06,0.0,32.5,-4.0
2005-01-02 13:00:00,0.4691162,-2.2138977,0.36509705,-1.927536,269.33746,283.5415,103102.94,2.249984e+06,0.0,32.5,-4.0
