Latitude (decimal degrees) : 35.294228
Longitude (decimal degrees) : -0.79113
Elevation (m) : 586.0
month,year
01,2023
02,2022
03,2020
04,2013
05,2021
06,2016
07,2020
08,2009
09,2012
10,2010
11,2011
12,2012
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),G(t),WS10m,WD10m,SP
20230101:0000,10.30346000000003,39.292604052742895,0.0,0.0,0.0,0.0,2.843740559824185,163.39454407928,1026.7294
20230101:0100,10.302500000000007,41.554330976776846,0.0,0.0,0.0,0.0,2.890241929652326,163.91212857449318,1026.345
20230101:0200,9.43118000000004,44.17549034647685,0.0,0.0,0.0,0.0,2.79334495102202,163.6061146357689,1026.515
20230101:0300,8.744600000000048,47.09378697535647,0.0,0.0,0.0,0.0,2.7513786551741903,165.12785923682347,1026.0431
20230101:0400,8.35354000000001,48.05517811109133,0.0,0.0,0.0,0.0,2.7704004003840264,165.97156350070938,1026.1456
20230101:0500,8.034880000000044,50.58497122782556,0.0,0.0,0.0,0.0,2.8334590472082706,165.7739010473023,1026.0825
20230101:0600,8.42100000000005,49.05008630766908,0.0,0.0,0.0,0.0,2.867502081534499,164.89406607850853,1026.1694
20230101:0700,8.193630000000041,50.27725882217005,32.1119,184.7111,15.521,47.51185881017561,2.8831541072510545,163.8001507219695,1026.5206
20230101:0800,9.969660000000031,47.08084547891655,175.9837,477.5101,78.4466,267.59227160030065,2.888839825710193,162.3550935977825,1026.5669
20230101:0900,11.438260000000014,44.83597506291272,323.6738,541.4857,122.8292,441.60033148247095,2.8436180841552217,162.43562415028083,1026.6256
20230101:1000,17.680170000000032,31.30566824547328,461.6932,753.1845,118.7944,679.3882474112204,2.400954192495294,172.4394535314978,1026.6231
20230101:1100,18.96786000000003,26.828531336390405,477.0018,552.9764,194.8459,655.5724525067858,2.311929965842249,182.30546716443047,1025.8344
20230101:1200,19.53000000000003,25.57456102536101,461.4422,403.0284,251.9872,597.6379834419383,2.246718892903632,190.8185375911992,1024.5144
20230101:1300,19.934630000000027,23.52898564497553,449.2617,590.6924,173.3956,674.9451866207175,2.029129263722272,194.88939737481252,1023.7281
20230101:1400,20.303740000000005,23.28788390851693,327.0676,419.0251,160.2582,478.07487493902784,1.6873209113320395,195.2488931418142,1022.62375
20230101:1500,20.010640000000024,26.700628059218857,208.499,456.8069,90.386,376.1567535772735,1.4993505526246125,193.7167718937046,1022.4656
20230101:1600,19.3082,27.191827384809987,53.5082,204.1298,30.4421,120.41859646230716,1.1312768915389104,197.32170680008963,1022.6944
20230101:1700,15.601770000000045,35.802983993280904,0.0,0.0,0.0,0.0,1.7858606121766722,185.07688796372025,1022.78125
20230101:1800,14.46270000000004,34.375123161323415,0.0,0.0,0.0,0.0,1.8663534199528664,170.21230808995676,1023.4775
20230101:1900,13.997770000000004,30.8403437219619,0.0,0.0,0.0,0.0,2.3220914043284084,173.50884101187347,1023.8119
20230101:2000,13.57534000000004,29.366585357368724,0.0,0.0,0.0,0.0,2.5638369663603324,171.6676922680211,1024.00125
20230101:2100,12.155150000000049,31.69099812043687,0.0,0.0,0.0,0.0,2.7303446253239643,170.70023357532517,1024.20875
20230101:2200,10.82018000000005,37.841752303674646,0.0,0.0,0.0,0.0,2.6917290263776628,169.01346369924377,1024.46375
20230101:2300,10.627769999999998,38.58174579530978,0.0,0.0,0.0,0.0,2.665608260394119,170.4297308882877,1024.47375
20230102:0000,10.58910000000003,39.36100083022989,0.0,0.0,0.0,0.0,2.739387169586536,172.60691163642232,1024.3325
20230102:0100,9.811730000000011,40.25226375882816,0.0,0.0,0.0,0.0,2.770569031096286,176.9869638944487,1024.15625
20230102:0200,9.998379999999996,39.88090688663591,0.0,0.0,0.0,0.0,2.746894637728804,178.8948853198685,1024.3706
20230102:0300,8.996800000000007,43.59122538934507,0.0,0.0,0.0,0.0,2.6028244408757497,176.11143329622104,1024.16625
20230102:0400,8.714500000000044,44.05256052226339,0.0,0.0,0.0,0.0,2.6156302134486955,174.64930204812842,1024.35625
20230102:0500,8.59023000000002,46.01000565708936,0.0,0.0,0.0,0.0,2.645960784392093,172.2236284224067,1024.3794
20230102:0600,8.779380000000003,45.75744293690832,0.0,0.0,0.0,0.0,2.6387838833369743,172.44472146696117,1024.8244
20230102:0700,8.613920000000007,45.30444416714029,25.0308,58.7103,19.2901,28.652824061477723,2.611977894283965,173.66099135520722,1025.4069
20230102:0800,10.101280000000031,43.30850847124341,141.3151,218.6337,98.5042,181.65863268684816,2.7308539908356377,175.2208054001352,1025.92125
20230102:0900,11.725300000000004,42.60826179790289,140.7455,11.0846,137.2528,136.98927252355435,2.5680259825719824,178.04309870497966,1026.36375
20230102:1000,16.66894000000002,34.56983297004156,273.2646,69.4849,240.4046,280.5898957076671,1.80683697380487,191.5959431224384,1026.63125
20230102:1100,17.37094000000002,33.10170318967355,445.8215,438.1532,217.7536,579.7683612505954,1.8261799345967853,214.5733439209864,1026.1556
20230102:1200,17.97090000000003,32.08965531442024,469.5944,528.149,194.9631,655.065695645626,1.8412634980080664,246.78170868558465,1025.2775
20230102:1300,18.486170000000016,30.48859695523123,420.5352,519.5181,174.3865,615.0486152166164,1.797088695552428,267.48988592208684,1024.56875
20230102:1400,19.237270000000024,30.579133845720545,344.1588,569.7339,123.7985,561.4149849299635,1.8977310544042687,287.70942920461994,1023.8756
20230102:1500,18.905050000000017,32.682171792517764,204.3447,477.9088,88.9008,388.89848579055496,2.1367877546159093,310.3653771911213,1024.23
20230102:1600,18.072900000000004,38.48422708659041,56.335,234.3766,28.4993,132.62701781595547,1.9940270098176704,328.7733725779468,1024.2869
20230102:1700,15.02194000000003,53.02248682855995,0.0,0.0,0.0,0.0,1.6018820029863334,338.06035293115644,1024.88375
20230102:1800,15.955600000000004,39.64096777412944,0.0,0.0,0.0,0.0,0.5424268161765331,2.700705317457178,1025.30125
20230102:1900,14.978750000000048,41.98138042830928,0.0,0.0,0.0,0.0,0.6998482310146696,150.3479330520282,1025.79125
20230102:2000,14.028680000000008,46.74399983143538,0.0,0.0,0.0,0.0,1.075688827658841,163.0111635697528,1025.9475
20230102:2100,12.170560000000023,54.51158482859074,0.0,0.0,0.0,0.0,1.1407036127432764,168.07198736358882,1026.1825
