#Meteo hourly data
#Site,Tinerkouk-Algeria
#Country,Morocco
#Data Source,Cams Solar radiations and ERA5 for meteorological data
#Time step,Hour
#Year,2050
#Latitude,30.299588
#Longitude,1.175764
#Altitude,446.0
#Time zone,UTC+01:00
#Plane tilt,30
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,GPI,Tamb,WindVel,Press,RelHum
,,,,,W/m2,W/m2,W/m2,W/m2,deg.C,m/s,mb,%
2050,1,1,0,0,0.0,0.0,0.0,0.0,10.30540000000002,6.686405504247101,1029.1869,55.20820353652158
2050,1,1,1,0,0.0,0.0,0.0,0.0,9.652120000000023,6.335706229433036,1029.0875,57.52198747269656
2050,1,1,2,0,0.0,0.0,0.0,0.0,8.74368000000004,5.789316678899122,1028.7275,61.807968493066426
2050,1,1,3,0,0.0,0.0,0.0,0.0,7.975060000000042,5.337287522017475,1028.5331,65.05686735431873
2050,1,1,4,0,0.0,0.0,0.0,0.0,7.589870000000019,5.224215695354984,1028.5806,65.5142535398778
2050,1,1,5,0,0.0,0.0,0.0,0.0,7.214560000000006,5.206629959775156,1028.5475,67.22643808658167
2050,1,1,6,0,0.0244,0.0244,0.0,0.0231741324446276,7.085080000000005,5.456264735802943,1028.9144,67.6930584137071
2050,1,1,7,0,22.8056,22.8056,0.0,21.65983585570489,7.021749999999997,5.693592525125284,1029.2406,68.49944465034199
2050,1,1,8,0,175.5553,126.9358,173.6733,201.928098742308,9.409100000000024,5.80920480676112,1029.3919,60.981401667693326
2050,1,1,9,0,206.6771,195.578,27.005,203.57264751130097,10.15115000000003,5.904338826313551,1029.5856,56.7847946261964
2050,1,1,10,0,130.5064,130.4972,0.0166,123.95435911049152,13.79540000000003,6.848892840719911,1029.6581,44.83878753813209
2050,1,1,11,0,273.7044,157.8116,194.069,324.26509600551367,14.960050000000024,7.264962667184169,1028.9044,39.86157642140509
2050,1,1,12,0,417.9795,255.5313,272.6857,495.8953077655323,15.26827000000003,7.466753888754499,1027.2169,37.56995027798416
2050,1,1,13,0,320.4524,299.0736,39.0709,319.020957021189,15.891660000000002,7.650129699696256,1026.3081,35.57873850029893
2050,1,1,14,0,236.9464,218.4837,47.5215,245.4971681215621,17.331080000000043,7.715548289553901,1024.96125,31.365420148857087
2050,1,1,15,0,205.2296,122.4543,289.2312,304.4976780269793,17.55752000000001,7.599820277889179,1024.8056,30.666429034118952
2050,1,1,16,0,45.5753,30.5128,147.8035,96.49643246144676,17.23788000000002,6.719258296466717,1025.1044,31.3456065450008
2050,1,1,17,0,0.0173,0.0155,0.0,0.0147514169436455,15.414270000000045,6.200390826195736,1024.99375,33.996323193410824
2050,1,1,18,0,0.0,0.0,0.0,0.0,14.540830000000028,5.932406505562477,1025.7375,34.933213035463254
2050,1,1,19,0,0.0,0.0,0.0,0.0,14.105200000000025,5.4653345227566845,1026.2719,36.00292870220236
2050,1,1,20,0,0.0,0.0,0.0,0.0,12.75698,5.1984869905373285,1026.65625,38.02839060638162
2050,1,1,21,0,0.0,0.0,0.0,0.0,11.735220000000028,5.0863799039303785,1026.91375,39.86740569184743
2050,1,1,22,0,0.0,0.0,0.0,0.0,10.656120000000044,5.30015795566093,1027.15375,43.46499025127349
