Latitude (decimal degrees) : 30.299588
Longitude (decimal degrees) : 1.175764
Elevation (m) : 446.0
month,year
01,2017
02,2017
03,2017
04,2017
05,2017
06,2017
07,2017
08,2017
09,2017
10,2017
11,2017
12,2017
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),G(t),WS10m,WD10m,SP
20170101:0000,2.8269600000000423,82.24217759836979,0.0,0.0,0.0,0.0,2.990718811353727,62.63458201246158,1030.21375
20170101:0100,1.9501600000000396,83.15302256802892,0.0,0.0,0.0,0.0,2.9526214044597725,57.89798003922548,1029.9069
20170101:0200,0.3086000000000126,85.55875753139938,0.0,0.0,0.0,0.0,3.009833975530876,54.76682836117706,1029.80875
20170101:0300,0.2326600000000098,85.73882691867828,0.0,0.0,0.0,0.0,3.133681479518857,51.40624479772806,1029.55625
20170101:0400,-0.0076399999999807,86.47099479933318,0.0,0.0,0.0,0.0,3.1589067312135604,47.59606631656489,1029.3831
20170101:0500,-0.7954199999999787,88.29429713586005,0.0,0.0,0.0,0.0,3.1165686430956723,44.22379964545301,1029.0725
20170101:0600,-0.8007599999999684,87.08715804513506,0.0224,0.0,0.0224,0.021274613391789286,3.13241882742239,40.76010683806255,1029.005
20170101:0700,-0.6737399999999525,85.60720745066912,19.4182,0.0037,19.4174,18.4427847197369,3.130484459997823,39.16117328038927,1029.4219
20170101:0800,2.2436800000000403,82.44368065670817,151.4376,17.923,145.1144,146.23006261621165,2.750890239386519,41.87249977420689,1029.39875
20170101:0900,4.075400000000002,76.66851710422465,460.2886,815.0099,102.9943,635.6105215888742,2.07694448644366,52.53943137539427,1029.9975
20170101:1000,9.047480000000007,57.54076061890841,602.3102,919.5034,108.3543,844.6860232551641,2.274795522540784,56.8065547651584,1030.1031
20170101:1100,11.05450000000002,51.95427013075691,671.3246,945.773,113.6785,957.7039481817831,2.6036760096505747,68.56666176358598,1029.7969
20170101:1200,11.694000000000017,48.03076922039247,670.4905,945.995,113.5389,986.4082859601506,2.8150326812463,77.0558737771434,1028.57625
20170101:1300,12.173400000000017,44.4454335995655,599.8473,920.0599,107.9451,926.392783197407,3.0985376757885623,85.32092290306132,1027.63625
