Latitude (decimal degrees) : 31.6295
Longitude (decimal degrees) : -7.9811
Elevation (m) : 474.0
month,year
01,2009
02,2009
03,2009
04,2009
05,2009
06,2009
07,2009
08,2009
09,2009
10,2009
11,2009
12,2009
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),G(t),WS10m,WD10m,SP
20090101:0000,11.359500000000024,95.86654338109864,0.0,0.0,0.0,0.0,1.4696724193963209,122.54035962779184,1023.5306
20090101:0100,11.11062000000004,94.95618423718211,0.0,0.0,0.0,0.0,1.7738677545335362,122.44318230953628,1023.4469
20090101:0200,10.402600000000009,95.30749763491404,0.0,0.0,0.0,0.0,1.6221522566652766,124.84516830876164,1023.04
20090101:0300,10.025000000000034,94.9611578889553,0.0,0.0,0.0,0.0,1.478207054792101,128.5282777269643,1023.18125
20090101:0400,9.620360000000003,94.2510275413236,0.0,0.0,0.0,0.0,1.487960922143798,131.95236157003276,1023.0944
20090101:0500,9.064050000000009,94.17161281351989,0.0,0.0,0.0,0.0,1.395422757172683,132.52718873478514,1023.1469
20090101:0600,8.888360000000034,93.53138906461616,0.0,0.0,0.0,0.0,1.2518040567218307,138.48524358397293,1023.3006
20090101:0700,9.017100000000028,93.26788367202111,6.6651,13.6979,5.8676,6.778928433890978,1.2485047517936436,143.15391124201994,1023.87125
20090101:0800,9.725670000000036,90.08136905919906,132.2886,385.5498,58.2859,181.0966013429593,1.528074258113879,148.26352356246122,1024.2144
20090101:0900,11.5616,89.18456431219418,321.6165,696.1835,86.6786,456.686034799018,1.545629076695832,156.7194135052098,1024.635
20090101:1000,14.64593000000002,80.02307093273748,478.3001,816.5765,99.8381,677.3512503608769,1.5456583349000097,166.36392716232558,1025.4544
20090101:1100,15.950900000000049,72.15955240404116,581.8294,875.0869,104.4935,834.0753910292315,1.7043173221230172,180.772043720202,1025.1444
20090101:1200,16.54077000000001,66.71733784947116,621.788,895.3578,105.2852,912.9862276289525,1.2583009347235432,188.21421242218983,1024.0925
20090101:1300,16.917050000000017,66.3927466253698,594.8018,884.9716,103.3275,906.5893914982192,0.8317721584456557,226.6821729851481,1023.355
20090101:1400,17.835140000000024,62.38108737392959,503.7549,843.355,96.8656,813.8527153626436,1.0534887473056171,272.3168130523828,1022.5194
20090101:1500,17.671320000000037,64.24948246276857,356.9834,749.1076,84.4095,633.8719650711859,1.1854169797470466,301.62325315108785,1022.37625
20090101:1600,17.72433000000001,62.82396435604431,172.8581,532.1956,60.0152,361.05515766779064,0.9666327018233812,323.344093510901,1022.5325
20090101:1700,17.086270000000013,68.84736998135135,19.4213,89.5113,12.1634,44.248190507091955,0.4255118817094194,297.8120326466961,1022.5869
20090101:1800,16.58495000000005,64.45789115535328,0.0,0.0,0.0,0.0,0.1745473041061438,266.5167720653393,1022.8894
20090101:1900,14.96078,67.3799660341097,0.0,0.0,0.0,0.0,0.2597946243807219,119.6472087889846,1023.1256
20090101:2000,13.525230000000022,78.3367317389963,0.0,0.0,0.0,0.0,0.4853486566926083,104.6264818960026,1023.28625
20090101:2100,11.655200000000036,81.60671950674129,0.0,0.0,0.0,0.0,0.5541594989569633,94.83805862349696,1023.4575
20090101:2200,12.15518000000003,80.22772258357404,0.0,0.0,0.0,0.0,0.4599626478502532,137.19262832991922,1023.8406
20090101:2300,11.69607000000002,83.24480876202044,0.0,0.0,0.0,0.0,0.4628820990113045,87.30944459968285,1023.6594
20090102:0000,10.494960000000049,88.46789517383262,0.0,0.0,0.0,0.0,0.7860111342493074,91.23806361203096,1023.22125
20090102:0100,9.647550000000024,91.6167993470787,0.0,0.0,0.0,0.0,1.0135387823468835,101.41667696042126,1023.1669
20090102:0200,8.777829999999994,93.69089688789298,0.0,0.0,0.0,0.0,0.9828294710571616,113.69442163993018,1022.71375
20090102:0300,8.07510000000002,94.24380602971245,0.0,0.0,0.0,0.0,1.0459891200868978,117.34854527224712,1022.615
20090102:0400,7.651180000000011,94.35037427106232,0.0,0.0,0.0,0.0,0.916904722219719,122.51529024848634,1022.2225
