Latitude (decimal degrees) : 33.263441
Longitude (decimal degrees) : -6.243408
Elevation (m) : 810.0
month,year
01,2022
02,2022
03,2022
04,2022
05,2022
06,2022
07,2022
08,2022
09,2022
10,2022
11,2022
12,2022
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),G(t),WS10m,WD10m,SP
20220101:0000,9.903099999999997,69.44363336217673,0.0,0.0,0.0,0.0,1.6998070607603588,129.14682537966502,1025.4081
20220101:0100,9.904930000000036,64.68234500344148,0.0,0.0,0.0,0.0,1.7866469041219812,127.49155946515312,1025.1531
20220101:0200,9.071799999999996,67.04692458207607,0.0,0.0,0.0,0.0,1.8843774766806147,125.11133037107712,1025.1375
20220101:0300,8.591180000000008,66.0304768956258,0.0,0.0,0.0,0.0,1.883211031273694,126.08707124578784,1025.2244
20220101:0400,8.138400000000047,66.88028220697875,0.0,0.0,0.0,0.0,1.8333862443879112,126.86055224465863,1025.19
20220101:0500,7.615319999999997,68.47270669909604,0.0,0.0,0.0,0.0,1.811471385250965,128.05009986593086,1025.2244
20220101:0600,7.415770000000009,68.21820507291856,0.0,0.0,0.0,0.0,1.857570554973232,127.34281166546882,1025.4075
20220101:0700,6.94738000000001,67.90176217615591,11.2591,82.2947,6.3196,14.64236403364279,1.8766900630229704,125.0423205090156,1025.7819
20220101:0800,7.865660000000048,64.64854959191723,152.4378,601.4871,42.5795,245.22771945859336,1.876491639160916,126.56379765801748,1026.2194
20220101:0900,11.01663000000002,58.73649781082094,336.5321,823.1429,61.6537,510.02369430456673,1.8021839766053211,124.6614032448648,1026.80125
20220101:1000,16.441550000000007,51.5502571143885,485.1909,911.3243,71.8279,723.1108983828103,1.1654298994855632,126.34417392769568,1027.0881
20220101:1100,19.86587000000003,37.08719823445721,579.8408,950.5287,77.3357,870.2878461963342,0.8068649246818116,136.7969693429835,1027.1756
20220101:1200,21.95995000000005,29.77002128127209,611.5666,963.5699,78.2599,940.8303410291486,0.2819363972920538,178.02431786771422,1026.6069
20220101:1300,22.938680000000037,25.78357546520764,577.5875,955.3582,74.878,928.3461494113619,0.4995619017221999,309.8302188165097,1025.7375
20220101:1400,23.819540000000018,23.51971912357069,480.8475,919.1325,68.3171,830.0774461967937,1.396543492700664,325.841656613544,1025.1969
20220101:1500,23.26266000000004,24.559600114148385,329.7772,826.4271,59.1584,642.4588583660059,2.208767280886065,333.0012594835913,1025.00125
20220101:1600,22.29012,28.533445222608144,143.9723,586.6386,41.114,353.8131386803007,2.219541330430268,336.0822649348671,1025.25375
20220101:1700,18.93900000000002,39.41576587028409,8.7408,66.2993,5.1177,26.58493850777227,1.8037140195403067,343.7313615658585,1026.1375
20220101:1800,14.706500000000004,57.15627052110848,0.0,0.0,0.0,0.0,2.020879329440028,357.4480212278659,1026.54375
20220101:1900,13.709130000000016,61.43249720654935,0.0,0.0,0.0,0.0,1.193907174619409,44.47857411046971,1027.13
20220101:2000,11.14303000000001,72.94700493047435,0.0,0.0,0.0,0.0,0.684567512684236,78.22670935698207,1027.26
20220101:2100,9.738200000000006,78.8644269541806,0.0,0.0,0.0,0.0,0.9130544280252334,105.19120984868708,1027.4975
20220101:2200,9.167020000000036,79.22514101094797,0.0,0.0,0.0,0.0,0.8798442282073572,99.70066011256492,1027.5544
20220101:2300,8.547500000000014,83.00243171507367,0.0,0.0,0.0,0.0,0.8621942192864887,101.45112460782936,1027.8031
20220102:0000,7.371180000000038,87.4843514087629,0.0,0.0,0.0,0.0,0.724388098672839,99.44446516413292,1027.6931
20220102:0100,6.8298599999999965,87.50918142634332,0.0,0.0,0.0,0.0,0.6567929307245864,93.71773867926908,1027.3481
20220102:0200,6.657980000000009,87.46085415464908,0.0,0.0,0.0,0.0,0.7238008611790333,94.88090292417208,1027.2031
20220102:0300,6.247250000000008,89.48034336252945,0.0,0.0,0.0,0.0,0.8880653924500083,99.61898731095876,1027.03875
20220102:0400,6.216330000000028,88.71370991390528,0.0,0.0,0.0,0.0,1.0077707131713605,102.47884291539538,1026.9769
20220102:0500,5.918900000000008,88.2299036891996,0.0,0.0,0.0,0.0,1.087009611320329,103.61645469101214,1026.9431
20220102:0600,5.527060000000006,87.79158465996446,0.0,0.0,0.0,0.0,1.1063441231030622,103.9563215481528,1026.9406
20220102:0700,5.161680000000047,87.07775911554882,11.3487,84.8,6.2564,14.70032569734013,1.068640390706668,104.118191445949,1027.69875
20220102:0800,6.259420000000034,80.6579361205224,153.529,601.1172,44.0877,245.67444412583927,1.3395182420524183,115.68878380645,1027.69625
20220102:0900,10.25707,69.50667694165716,338.4901,815.4161,66.2285,509.27715680723037,1.6769331642891705,116.34985093934694,1027.9625
20220102:1000,15.122340000000008,60.6191801698256,487.2414,898.0759,79.5412,720.3958343988057,0.9129120320250764,117.66879949639464,1028.17375
20220102:1100,18.407680000000028,42.87982543683483,581.231,931.7007,87.9004,864.4771062644254,0.3456751487240318,81.22499462441807,1028.5494
20220102:1200,19.789150000000006,33.926681188006484,612.413,942.2867,89.672,932.9628287191823,0.8277490969160552,1.8528884576406317,1027.50375
20220102:1300,20.578760000000045,31.905482167057706,578.1646,933.975,85.1306,919.7921364676794,1.3842883323915658,353.23987348694067,1026.4456
20220102:1400,21.555200000000013,28.13678154320865,480.9071,895.893,76.9715,820.2025921343611,1.696577566808666,349.74004618699314,1025.6675
20220102:1500,21.07824000000005,32.53300778487846,328.9534,795.4707,66.4542,628.8204162337177,1.9683968289714424,352.4247279137094,1025.555
20220102:1600,20.22213000000005,39.55313879635738,142.7812,541.4855,45.9536,335.263281694203,2.008296469534373,353.6727398575115,1025.6681
20220102:1700,17.199700000000007,52.94137637390688,8.9315,56.7942,5.7175,24.155312790542602,1.6547545679641609,352.3230657874185,1026.0269
20220102:1800,12.803700000000047,74.93921591224428,0.0,0.0,0.0,0.0,2.206103074785664,11.215658175433193,1026.3
20220102:1900,12.682150000000036,72.67251585295705,0.0,0.0,0.0,0.0,1.4533029029204647,52.56341442598877,1026.535
20220102:2000,11.530079999999998,77.67247694960756,0.0,0.0,0.0,0.0,0.998560695991106,93.64902546226033,1027.00625
20220102:2100,10.434600000000046,81.36007343452036,0.0,0.0,0.0,0.0,0.7966358664361217,110.7711929206888,1027.0225
20220102:2200,9.254970000000014,84.53453777031778,0.0,0.0,0.0,0.0,0.7021426075227294,108.00182257141304,1027.3506
20220102:2300,8.579920000000016,87.72449227257886,0.0,0.0,0.0,0.0,0.808869747639638,109.58242679294928,1027.32375
20220103:0000,8.35170000000005,88.1091228658362,0.0,0.0,0.0,0.0,1.0399690517190108,109.09584487917472,1026.98125
20220103:0100,7.817470000000014,87.9086452182451,0.0,0.0,0.0,0.0,1.259530122621686,111.92759664150292,1026.73875
20220103:0200,7.440120000000036,86.37184562272019,0.0,0.0,0.0,0.0,1.5733628978944023,117.32424508171457,1026.36125
20220103:0300,7.20168000000001,80.5724130053902,0.0,0.0,0.0,0.0,1.8359384072877227,120.89760657315466,1025.9706
20220103:0400,7.186239999999998,76.52694989507658,0.0,0.0,0.0,0.0,1.9486599447095765,123.77405822496364,1025.45875
20220103:0500,6.774320000000046,74.70549830564113,0.0,0.0,0.0,0.0,1.9445224310456692,124.2735370402834,1025.19875
20220103:0600,6.40972000000005,71.63255023843415,0.0,0.0,0.0,0.0,1.8610604613039847,122.4846678118661,1025.30875
20220103:0700,6.3245000000000005,68.77379635008968,10.9256,74.7534,6.4126,13.686066907986568,1.7433282309181652,121.23871497528616,1025.2725
20220103:0800,6.851830000000007,65.86677290741673,152.2003,589.2108,44.6377,241.3525662652567,1.7044819925744976,122.2018743567974,1025.7275
20220103:0900,9.417100000000003,62.69403954718597,338.4097,819.8354,64.4258,509.1725346308532,1.5038897675809186,119.21936742990526,1026.1394
20220103:1000,14.131600000000049,56.41647755600852,488.987,912.8419,74.0269,725.2864103382818,0.9406450217642756,117.28539790862808,1026.7925
20220103:1100,17.617580000000032,43.28845415100739,585.0502,954.7635,78.5492,874.9224458085234,0.5394796061039104,120.24418889119026,1026.7269
20220103:1200,19.344420000000014,36.6665437952538,617.1671,965.9055,79.9773,945.5037005912909,0.4153281127617941,155.7900114327294,1025.65375
20220103:1300,20.568480000000022,33.48254585212805,582.6241,951.2835,78.7361,930.2265295833799,0.7090764080015933,209.9487377997036,1024.77
20220103:1400,21.469660000000037,30.28202637025329,484.9691,907.139,74.0089,828.0738334854411,1.1084610586156924,244.4826032852661,1023.7675
20220103:1500,21.49603000000002,29.30878568866746,332.9098,806.3421,65.0403,636.6402921676432,1.4258078544952235,276.703138038117,1023.38875
20220103:1600,20.78000000000003,35.81720267731643,146.5682,561.0093,45.2203,346.19538748868825,1.6055211180348423,302.55789620398923,1023.46375
20220103:1700,17.49380000000002,51.73038943272413,9.7458,63.6617,6.0044,26.821774174385627,1.8554643513359343,326.31751199245303,1023.9644
20220103:1800,14.278530000000046,63.373087906298885,0.0,0.0,0.0,0.0,1.4948793698228462,7.953601216658811,1024.12375
20220103:1900,15.685940000000016,58.390192787502215,0.0,0.0,0.0,0.0,0.8528290995120507,89.97232137782984,1024.7156
20220103:2000,10.770470000000046,74.71259742453353,0.0,0.0,0.0,0.0,1.1592995420872791,125.14931413738984,1024.3144
20220103:2100,9.86712,76.08369216004346,0.0,0.0,0.0,0.0,1.0230539239616017,131.6649784376208,1024.6175
20220103:2200,8.298180000000002,74.75864604685849,0.0,0.0,0.0,0.0,1.2865524392543024,133.12087880771992,1024.5369
20220103:2300,7.718230000000005,72.54870467713663,0.0,0.0,0.0,0.0,1.7441030944063656,132.9866629598653,1024.2175
20220104:0000,8.340300000000013,66.617605576476,0.0,0.0,0.0,0.0,1.9673200736136585,133.99660096650143,1023.58875
20220104:0100,9.003080000000011,59.81961401328918,0.0,0.0,0.0,0.0,1.9193169806453751,135.92025949400718,1023.5856
20220104:0200,8.698140000000024,58.3747138085144,0.0,0.0,0.0,0.0,1.921683811547077,137.04384635510715,1023.1156
20220104:0300,7.249600000000044,61.073313404628514,0.0,0.0,0.0,0.0,2.09514307217638,137.14324509857815,1022.58
20220104:0400,7.178370000000029,62.7605107151618,0.0,0.0,0.0,0.0,2.319780475471067,135.64598521256517,1022.49375
20220104:0500,6.571799999999996,64.56672988389701,0.0,0.0,0.0,0.0,2.4303795509375816,134.51110863705185,1021.6331
20220104:0600,5.82247000000001,67.20692620474259,0.0,0.0,0.0,0.0,2.324177127235392,135.46707568386756,1021.4875
20220104:0700,5.761560000000031,69.86162872076655,10.6273,70.5491,6.3828,13.11450078658762,2.1552076784556053,135.784815848442,1021.7225
20220104:0800,6.579200000000014,70.03845718259902,149.6926,566.2332,46.3097,234.42593035198718,2.124524226121176,138.11504017420202,1022.0469
20220104:0900,10.147850000000004,64.16083900615982,333.8751,793.0099,68.6277,497.7610810769702,2.189869995475211,153.41977275441818,1022.69875
20220104:1000,14.277900000000043,50.68846462361637,482.7008,884.4758,80.0657,710.259061791071,1.6031731992222011,175.07721787691696,1023.62
20220104:1100,16.38583,41.67601142991367,577.0228,923.5839,86.0783,855.985490806719,2.9080065101073247,209.1714659276205,1023.3194
20220104:1200,17.605160000000012,36.580944993999125,608.0546,927.6768,90.7362,921.8373143327872,3.848799969310959,224.960165771478,1022.3069
20220104:1300,18.479330000000004,33.3811826794777,567.6476,879.9775,99.3617,886.6338136183899,4.223478956438122,238.35916443273325,1021.4375
20220104:1400,19.220150000000046,29.490376651511912,473.6989,834.2418,93.9719,787.372923615853,4.187454459849941,249.9038220003268,1020.7831
20220104:1500,18.91256000000004,29.885501616345483,322.6372,713.1382,83.4178,588.9444042210666,3.864863711586613,261.5037297919455,1020.8306
20220104:1600,16.561329999999998,42.97151624491198,138.3542,439.3673,56.5214,292.0832575355469,4.030504366217271,295.0927269746898,1021.28125
20220104:1700,13.568320000000028,66.93768568061267,9.2747,39.1967,6.866,19.604433546591327,4.168687383100489,315.5810319219422,1022.9169
20220104:1800,11.521200000000022,81.34702921340848,0.0,0.0,0.0,0.0,2.1896206489586114,315.0813108253051,1023.8594
20220104:1900,10.870540000000004,81.60215621966847,0.0,0.0,0.0,0.0,1.1943761955125831,291.45221322272806,1024.54375
20220104:2000,8.904380000000003,88.79523343885084,0.0,0.0,0.0,0.0,1.0166441186464426,276.8945152673166,1024.6881
20220104:2100,9.159100000000024,90.13169863876718,0.0,0.0,0.0,0.0,1.240405055032066,271.91042044662447,1024.88125
20220104:2200,9.946500000000016,91.922288757125,0.0,0.0,0.0,0.0,0.9738085458940609,288.4022998686655,1024.98125
20220104:2300,10.333100000000002,93.28207440676942,0.0,0.0,0.0,0.0,1.078287837415335,296.70646357170483,1024.64
20220105:0000,9.82000000000005,96.030738282578,0.0,0.0,0.0,0.0,1.1923888758425794,319.15074056789,1024.39625
20220105:0100,10.096100000000035,94.49292201659688,0.0,0.0,0.0,0.0,1.0819903292074011,318.4988534637544,1024.41375
20220105:0200,9.509500000000005,93.62154597344234,0.0,0.0,0.0,0.0,1.7980887835122776,328.0122948121617,1024.40125
20220105:0300,8.94473000000005,91.24007966762407,0.0,0.0,0.0,0.0,2.4763647788078496,331.96881869313285,1025.02625
20220105:0400,9.082670000000007,91.76179608329952,0.0,0.0,0.0,0.0,2.7164005180553548,341.1188566092288,1025.5969
20220105:0500,9.02203000000003,94.77310937960068,0.0,0.0,0.0,0.0,1.7581016043772424,349.5202218339865,1025.10125
20220105:0600,8.627160000000003,96.44695955969068,0.0,0.0,0.0,0.0,2.229806746076957,351.2143702144878,1025.675
20220105:0700,8.081800000000044,95.45577830650316,10.5029,65.1828,6.5181,12.603062513866124,1.971411772656429,12.883364299321473,1026.325
