,GHI_P50,DNI_P50,GTI_P50,GHI_P75,DNI_P75,GTI_P75,GHI_P90,DNI_P90,GTI_P90,GHI_P99,DNI_P99,GTI_P99
January,112,181,163,100,142,140,102,146,143,99,129,135
February,118,141,148,127,170,164,121,159,155,105,107,127
March,179,205,205,181,208,206,157,161,176,164,157,181
April,207,209,209,202,207,205,202,203,206,191,164,193
May,237,238,222,239,237,224,222,223,210,227,209,214
June,240,250,216,232,229,210,238,250,216,242,251,218
July,247,239,227,241,226,222,248,243,228,223,186,207
August,221,216,218,200,180,198,221,213,219,211,195,208
September,186,203,203,183,199,199,177,178,192,179,184,192
October,146,177,180,138,154,166,132,145,157,139,167,171
November,104,147,144,121,189,172,105,148,144,105,150,144
December,95,151,141,98,144,140,108,189,165,88,113,122
Yearly,2092,2357,2276,2062,2285,2246,2033,2258,2211,1973,2012,2112
