Latitude (decimal degrees) : 32.2994
Longitude (decimal degrees) : -9.2372
Elevation (m) : 54.0
month,year
01,2010
02,2010
03,2010
04,2010
05,2010
06,2010
07,2010
08,2010
09,2010
10,2010
11,2010
12,2010
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),G(t),WS10m,WD10m,SP
20100101:0000,14.894370000000038,67.38449380010432,0.0,0.0,0.0,0.0,1.7326506991830752,282.27272735509723,1020.2825
20100101:0100,14.78472000000005,68.48603157833767,0.0,0.0,0.0,0.0,1.4696266322206466,279.28334947451185,1020.12875
20100101:0200,12.536699999999996,78.11390671369655,0.0,0.0,0.0,0.0,1.276040309809737,295.50974026292806,1019.8694
20100101:0300,12.214200000000003,82.8161977064852,0.0,0.0,0.0,0.0,1.045819225396878,321.53354327098623,1019.5181
20100101:0400,12.430930000000046,82.49560866117999,0.0,0.0,0.0,0.0,1.1319841184330812,351.31983847518654,1019.5556
20100101:0500,12.037230000000022,83.81544687160107,0.0,0.0,0.0,0.0,1.0711194506816233,10.293895638318546,1019.3719
20100101:0600,11.65500000000003,86.07419550717238,0.0,0.0,0.0,0.0,1.246140610079657,20.195894120974245,1019.6656
20100101:0700,11.50630000000001,88.39413171032578,1.5356,0.0,1.5356,1.4584507287692692,1.499899283488091,33.61473279664906,1020.2425
20100101:0800,12.031949999999997,86.36582725395814,63.9961,25.7998,58.416,63.328241190304965,1.25941197343068,75.07408342822093,1020.7894
20100101:0900,13.37972000000002,83.75236806990884,258.0574,409.0188,119.0343,324.52963547613007,1.9078403939514808,105.89441043080144,1021.1106
20100101:1000,16.59414000000004,64.88052437355806,457.0739,777.5351,110.4548,645.8152525738087,2.4828233551264054,127.45598593157604,1021.7325
20100101:1100,17.30984000000001,61.193585658523766,562.5778,836.3359,118.451,803.5886952224206,2.126858380239032,113.70547239170251,1022.05625
20100101:1200,17.80000000000001,58.8240382008114,482.385,449.6588,228.4365,621.4309341193255,1.6399626222226895,70.99490093158263,1021.185
20100101:1300,17.95272,58.83351922425686,287.3241,50.9433,259.617,292.9404885075751,1.9565651284310728,45.20632316114826,1020.4056
20100101:1400,18.39330000000001,54.62495351102614,300.388,205.6129,200.8159,367.10348470925123,2.4022014284036737,34.59866260047449,1019.67625
20100101:1500,18.3091,54.54098365599786,319.608,546.8868,122.2273,523.8143644321533,2.9798591891500257,32.05955854652003,1019.4975
20100101:1600,18.23416000000003,53.63239848061837,149.3046,260.6447,83.7397,231.29868728571364,3.433537464147192,33.179052166611164,1019.4356
20100101:1700,17.75997000000001,59.991692848050015,22.2108,84.6141,15.282,46.528839746053016,3.122743464611535,25.8765334218581,1019.595
20100101:1800,16.7808,62.83167973949536,0.0,0.0,0.0,0.0,3.164295662816357,24.66767564929289,1019.3706
20100101:1900,15.967129999999996,66.14058738521193,0.0,0.0,0.0,0.0,3.393778395594273,34.18113251174679,1019.525
20100101:2000,14.681200000000048,76.29384670723206,0.0,0.0,0.0,0.0,3.5341307564775937,45.34564772049506,1019.43
20100101:2100,13.857079999999996,78.62770388256719,0.0,0.0,0.0,0.0,3.5874988204968723,54.86295791951039,1019.7494
20100101:2200,12.818840000000025,83.87441233345245,0.0,0.0,0.0,0.0,3.641064587320453,68.98612304194147,1019.58875
20100101:2300,12.42190000000005,84.26600924649019,0.0,0.0,0.0,0.0,3.5681679730869984,75.59228515717568,1019.8525
20100102:0000,11.71087,84.82259104615629,0.0,0.0,0.0,0.0,3.6048273889985913,73.407775941815,1019.6081
20100102:0100,11.602869999999996,84.71753426119878,0.0,0.0,0.0,0.0,3.590484790661519,72.52728630145847,1019.2394
20100102:0200,10.95553000000001,85.15077155858899,0.0,0.0,0.0,0.0,3.3796175538814697,79.15113188772321,1019.0394
20100102:0300,10.788400000000024,85.70824953403319,0.0,0.0,0.0,0.0,3.295567303569332,90.09576789291756,1018.8125
20100102:0400,10.669100000000014,85.68640431490836,0.0,0.0,0.0,0.0,3.338803866119269,97.86603259649851,1018.5206
20100102:0500,10.198200000000044,85.8264110559284,0.0,0.0,0.0,0.0,3.410331962892279,103.91350832643792,1017.8125
20100102:0600,10.230999999999996,85.51077116897193,0.0,0.0,0.0,0.0,3.1885899973098235,108.85850657621722,1017.6019
20100102:0700,9.868920000000005,86.27779796647249,3.7301,21.0786,2.8274,3.9888142750319067,2.7778064857120914,112.37703720356794,1017.4369
20100102:0800,9.887170000000026,86.47898605778664,117.5742,448.2335,44.8751,177.87878703619123,2.5417786983504644,119.8626719163957,1017.9406
20100102:0900,10.545980000000045,85.8619139561229,303.0254,717.0097,75.7892,441.6006280338055,2.822055486223744,132.07625813880748,1018.2931
20100102:1000,15.131700000000023,70.84431718845916,460.3553,823.7495,93.051,660.8589737675488,1.9770136068129205,162.43559182524092,1019.19875
