Latitude (decimal degrees) : 31.6295
Longitude (decimal degrees) : -7.9811
Elevation (m) : 474.0
month,year
01,2021
02,2021
03,2021
04,2021
05,2021
06,2021
07,2021
08,2021
09,2021
10,2021
11,2021
12,2021
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),G(t),WS10m,WD10m,SP
20210101:0000,4.624750000000006,93.03670798351014,0.0,0.0,0.0,0.0,3.063052219354708,29.351487401978623,1021.42875
20210101:0100,4.296379999999999,95.74430587552992,0.0,0.0,0.0,0.0,2.8217646328432604,29.451778094145965,1021.4975
20210101:0200,3.1406000000000063,96.63502340479933,0.0,0.0,0.0,0.0,2.635780323654741,37.61735241326696,1021.3581
20210101:0300,2.298060000000021,97.5215157545462,0.0,0.0,0.0,0.0,2.514561520659069,45.30657288228244,1021.6119
20210101:0400,2.071680000000015,98.41985736508316,0.0,0.0,0.0,0.0,2.5088060123658606,46.72119405567006,1021.6425
20210101:0500,1.7205400000000282,96.9663709139106,0.0,0.0,0.0,0.0,2.41519738629498,54.11894832970697,1021.5656
20210101:0600,1.2874400000000037,96.64221820669688,0.0,0.0,0.0,0.0,2.183827992184234,79.40203548085847,1021.63
20210101:0700,0.9741999999999962,98.28921467428616,9.0198,71.6492,5.0627,11.113304934834392,1.879647620392473,97.01292245104035,1022.0381
20210101:0800,3.028470000000027,95.8675667023878,149.7431,603.25,41.7271,236.2451162920679,1.4393771168614429,78.59084103501661,1021.86625
20210101:0900,5.209950000000049,89.9361146319807,343.0797,834.9358,62.0647,507.9337172471505,1.3949203451826846,74.39087488798332,1022.4669
20210101:1000,8.96365000000003,80.6291885886576,502.1126,929.0803,71.6732,730.8990703573829,1.0161621164120356,118.550446859127,1022.5181
20210101:1100,11.872580000000028,60.47800255301906,606.5619,972.4423,76.0728,888.8913733675713,1.056450131436786,109.16823571424123,1021.6194
20210101:1200,12.985130000000026,49.19876639268089,642.9952,967.4446,84.7964,959.047904192515,1.0246788454823217,29.0257649664669,1020.6069
20210101:1300,13.583060000000046,45.02649211046931,608.4801,919.2101,97.719,932.6095321807965,1.9373962401864828,2.2649989659089016,1019.7906
20210101:1400,14.982259999999997,44.29660437672226,509.1684,838.827,104.0259,816.8427135704258,1.939159755366589,356.2453652984778,1018.98375
20210101:1500,15.199430000000008,41.643325529791,357.9186,727.9659,92.9972,626.4479678787098,1.501527321037334,353.20553267022706,1018.765
20210101:1600,15.507400000000018,40.58776002634092,173.2612,521.7828,62.6919,357.6749136728821,1.2169559985303977,351.42550608298666,1018.08625
20210101:1700,14.07370000000003,51.05993281059239,19.5837,92.78,12.1521,45.43345796981673,1.8624695685527888,335.6546426238983,1017.94875
20210101:1800,14.756000000000029,44.07834202452741,0.0,0.0,0.0,0.0,2.453006673406177,330.0132184817988,1018.19125
20210101:1900,14.051300000000026,48.84663797579574,0.0,0.0,0.0,0.0,2.554060769031309,333.12143362903566,1019.055
20210101:2000,12.304900000000032,64.52812477796472,0.0,0.0,0.0,0.0,2.2323984082761035,337.3674827151376,1019.4925
20210101:2100,10.73547000000002,79.63816283038204,0.0,0.0,0.0,0.0,2.126850361318887,343.2381145186347,1020.2431
20210101:2200,9.926930000000027,82.76894948127705,0.0,0.0,0.0,0.0,1.6124543852849214,10.456152313362054,1020.2169
20210101:2300,9.576440000000048,86.24189251598116,0.0,0.0,0.0,0.0,1.1548009840585909,28.41227949627787,1019.8725
20210102:0000,9.403040000000033,89.61065657921866,0.0,0.0,0.0,0.0,0.7957071782249611,29.034435928295014,1020.11625
20210102:0100,8.960100000000011,92.7380001232916,0.0,0.0,0.0,0.0,1.1548352379781326,3.729574241826171,1019.94875
20210102:0200,7.853170000000034,96.05384284111024,0.0,0.0,0.0,0.0,1.1899564560058802,23.301911194559096,1020.1369
20210102:0300,8.101200000000006,97.26781156080489,0.0,0.0,0.0,0.0,1.200977008592958,45.22134204429157,1020.0275
20210102:0400,7.864900000000034,97.7039286825804,0.0,0.0,0.0,0.0,1.2375838243603865,55.64141097902221,1019.8325
20210102:0500,7.65972000000005,97.90005284258392,0.0,0.0,0.0,0.0,1.272836276873754,62.27559456866432,1019.2906
20210102:0600,7.7509000000000015,97.4856563449778,0.0,0.0,0.0,0.0,0.9427933435316472,80.50261467370117,1018.9544
20210102:0700,7.09250000000003,99.6216339014231,7.9631,41.5354,5.6245,8.924626020182819,0.8410302490147427,74.95320852489526,1019.395
20210102:0800,7.95700000000005,98.56966705194742,140.1711,481.5544,52.7231,206.33428136189548,0.811265685483899,61.61049070641401,1019.7231
20210102:0900,8.225500000000011,100.01045879067024,330.8107,740.9868,80.9059,474.4893656224671,1.2182903174359796,32.82305619039935,1020.4131
20210102:1000,11.24980000000005,80.14649599238106,489.9838,857.0098,92.4261,698.6328579930281,1.448888163587366,35.35614442237327,1020.43125
20210102:1100,12.984800000000009,66.17626854793524,595.2475,913.7549,95.9779,858.3770593595032,2.158766742428297,32.77291683878004,1019.9106
20210102:1200,13.584920000000013,61.76888481759485,636.9023,937.1616,94.9954,941.585881515624,2.2155372508951707,22.44420433452234,1018.79
20210102:1300,13.903530000000046,57.42409130932349,611.5463,935.0168,90.6643,941.1641909716483,2.0582266061589864,16.328965118394166,1017.61375
20210102:1400,14.736750000000027,51.90531423757773,521.3713,905.6279,82.6843,854.9397473067784,2.1379308963658694,15.285317957482278,1016.6881
20210102:1500,14.97810000000004,50.92649950565335,370.4296,812.5078,72.2555,670.6134166097083,2.0972101312983287,2.666012570609581,1016.61875
20210102:1600,15.431300000000022,48.780354673425045,186.5704,648.5692,49.5698,418.8630236044917,2.4859891709522244,3.850591559420834,1016.2319
20210102:1700,13.53430000000003,56.50986238175035,23.1335,156.2159,10.8636,67.68528741004683,2.608656372314708,11.160207680415128,1016.4281
20210102:1800,12.904260000000022,53.7504402797865,0.0,0.0,0.0,0.0,2.4850242228182924,347.2454780404514,1017.36
20210102:1900,12.087600000000007,56.71452077524991,0.0,0.0,0.0,0.0,2.8319280751121445,0.0923064110700551,1017.4681
20210102:2000,10.96664000000004,66.47339400108055,0.0,0.0,0.0,0.0,3.653598221282502,12.760971286138286,1017.59375
20210102:2100,10.144130000000018,73.85675140016731,0.0,0.0,0.0,0.0,3.896333205328991,16.074937679798666,1018.2725
20210102:2200,9.249400000000035,70.01806765372454,0.0,0.0,0.0,0.0,3.471490595722293,21.699133308628376,1018.1256
20210102:2300,8.895800000000008,75.92165468730146,0.0,0.0,0.0,0.0,3.6280667689505286,30.87945064892273,1018.39
20210103:0000,8.352800000000002,77.26914284833015,0.0,0.0,0.0,0.0,3.318616034560492,38.5936504477677,1018.67875
20210103:0100,8.029380000000003,77.46343465593293,0.0,0.0,0.0,0.0,2.7908227600620594,43.33843430357688,1019.2975
20210103:0200,6.9512000000000285,79.83772403942696,0.0,0.0,0.0,0.0,2.463622636859184,55.0365282883077,1019.10125
20210103:0300,6.700160000000039,79.10809286175467,0.0,0.0,0.0,0.0,2.726587854249852,58.62480385976414,1018.2644
20210103:0400,6.5464000000000055,80.14303663808516,0.0,0.0,0.0,0.0,3.0676715485074246,56.46240562359737,1017.4594
20210103:0500,5.606620000000021,83.09075471496563,0.0,0.0,0.0,0.0,2.917196703569413,53.01232250458919,1017.4369
20210103:0600,5.084740000000011,85.23453695734634,0.0,0.0,0.0,0.0,2.9688678046482653,51.3030339355528,1017.5894
20210103:0700,4.89855,88.36620021764439,9.1145,81.0781,4.6621,11.279213744016996,3.103290169671256,52.7273490314024,1017.8775
20210103:0800,5.528040000000033,86.5268831332325,136.1762,412.446,66.7259,196.52331594921014,3.3742637116840424,52.06302464556937,1018.26875
20210103:0900,6.202359999999999,82.8228029350867,276.8629,325.1456,167.3014,333.035293543541,3.6667399002650094,50.79779530250317,1018.6231
20210103:1000,10.690330000000015,59.75444352483776,398.1964,336.2595,242.709,469.97659980868707,3.6663400674116415,55.26168431415813,1019.3356
20210103:1100,12.084249999999995,52.83193853444755,526.1786,581.2445,205.9645,683.6309866020661,4.370460710315566,50.43285547254891,1018.80375
20210103:1200,12.757960000000026,49.3975714496187,516.101,360.8272,307.2004,619.7095861387318,4.6900199565976095,47.17778631014856,1017.7394
20210103:1300,13.303740000000005,46.9361824587004,568.9013,729.0364,162.8636,822.0200719601323,4.594566573475104,47.0029134115835,1016.9256
20210103:1400,14.440030000000036,39.40650684296199,449.7884,508.0302,204.1886,630.136047022733,4.288110184391499,47.95988297792178,1015.9444
20210103:1500,14.592160000000035,38.21876858202339,336.0363,564.4544,135.214,547.4586092645168,4.193334419233124,47.01452202821469,1015.6931
20210103:1600,14.525350000000005,37.43145692758307,186.1356,602.5787,56.3257,400.09728854409076,4.028591982966413,42.23539874672401,1015.5325
20210103:1700,12.821920000000034,43.80579787707562,23.028,130.0862,12.4208,59.83110156822179,3.4764435146863826,44.213100649089725,1015.9244
20210103:1800,11.26907,44.52864122199257,0.0,0.0,0.0,0.0,3.046912368901016,45.19437323434736,1015.7956
20210103:1900,11.007400000000018,42.63509522969874,0.0,0.0,0.0,0.0,2.934268724616784,43.19731704337626,1016.13875
20210103:2000,10.240200000000016,44.35541708778526,0.0,0.0,0.0,0.0,3.0795469481312248,41.096137853574966,1015.9219
20210103:2100,9.844000000000053,46.70051661233412,0.0,0.0,0.0,0.0,3.3256092625256657,36.54386182512576,1016.0619
20210103:2200,6.032560000000046,58.65755513010911,0.0,0.0,0.0,0.0,3.5707279600332886,32.04561046402176,1016.2344
20210103:2300,5.499840000000006,62.5195818689854,0.0,0.0,0.0,0.0,3.636635376431309,21.35913743988193,1016.67
20210104:0000,5.137540000000001,64.4248352002667,0.0,0.0,0.0,0.0,3.4923636458423624,32.14636652052339,1016.7456
