#Meteo hourly data
#Site,khribga2
#Country,Morocco
#Data Source,Cams Solar radiations and ERA5 for meteorological data
#Time step,Hour
2018
#Latitude,31.6295
#Longitude,-7.9811
#Altitude,474.0
#Time zone,UTC+01:00
#Plane tilt,30
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,GPI,Tamb,WindVel,Press,RelHum
,,,,,W/m2,W/m2,W/m2,W/m2,deg.C,m/s,mb,%
2018,1,1,0,0,0.0,0.0,0.0,0.0,12.3433,2.7885005848152336,1030.5031,67.66638975449669
2018,1,1,1,0,0.0,0.0,0.0,0.0,12.32650000000001,3.5360667812107014,1030.7856,72.66639905885992
2018,1,1,2,0,0.0,0.0,0.0,0.0,10.787000000000036,4.15018961855523,1030.7944,81.10666110295942
2018,1,1,3,0,0.0,0.0,0.0,0.0,9.950220000000002,3.957873065598609,1031.2031,83.73675243435872
2018,1,1,4,0,0.0,0.0,0.0,0.0,9.590400000000043,3.541862272226577,1031.41375,84.93284859512495
2018,1,1,5,0,0.0,0.0,0.0,0.0,8.223000000000013,3.0786814908231626,1031.4775,88.13293131545959
2018,1,1,6,0,0.0,0.0,0.0,0.0,7.883800000000008,2.905120446815646,1031.2719,88.24783236268726
2018,1,1,7,0,8.5538,5.354,56.9714,10.121654378506495,7.499600000000044,2.7485664505379703,1031.5119,86.75607887029513
2018,1,1,8,0,146.3853,45.252,559.8303,225.64039580548186,8.791680000000042,2.721053169220592,1031.3281,76.71116113965142
2018,1,1,9,0,340.3429,66.8574,812.0443,500.3787595781861,10.54235,2.5820541937814654,1031.35875,66.38447397238883
2018,1,1,10,0,500.4547,76.9501,914.1459,725.3876977743143,16.181820000000016,1.825671813131085,1031.7381,42.79656896976122
2018,1,1,11,0,606.2882,81.2195,962.7969,885.7065057334851,18.84408000000002,2.48558524401652,1031.7625,35.32239033512848
2018,1,1,12,0,647.0937,82.6863,978.6663,967.1461973416319,20.63775000000004,3.3898394037834683,1030.2669,31.27779427552429
2018,1,1,13,0,619.3004,81.9878,967.9662,962.0140982357664,21.850270000000023,3.962255538887108,1029.4706,27.9225955970493
2018,1,1,14,0,525.9949,77.7554,929.8913,869.5558234325199,23.21200000000005,4.519499217438367,1028.48875,23.172938410849486
2018,1,1,15,0,375.493,68.4234,845.8873,689.9504393013267,23.27728000000002,5.025527710213097,1028.3569,23.47674619844781
