Latitude (decimal degrees) : 31.6295
Longitude (decimal degrees) : -7.9811
Elevation (m) : 474.0
month,year
01,2011
02,2016
03,2014
04,2019
05,2009
06,2014
07,2007
08,2020
09,2021
10,2006
11,2020
12,2016
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),G(t),WS10m,WD10m,SP
20110101:0000,10.45010000000002,86.67677571852572,0.0,0.0,0.0,0.0,2.825812196934052,48.23226523945247,1022.1781
20110101:0100,9.976040000000012,89.16512262103858,0.0,0.0,0.0,0.0,2.585039391518406,45.66962148204307,1021.995
20110101:0200,8.641560000000027,90.98718489083438,0.0,0.0,0.0,0.0,2.671434341644563,48.410923219566335,1022.0969
20110101:0300,7.953330000000051,92.74034166013328,0.0,0.0,0.0,0.0,2.569689835960706,60.65572030546806,1022.5475
20110101:0400,7.419120000000021,93.4812007848248,0.0,0.0,0.0,0.0,2.4649801353431307,78.19467391490231,1022.245
20110101:0500,6.886000000000024,94.09994007999018,0.0,0.0,0.0,0.0,2.496062808094165,80.82259447439071,1022.285
20110101:0600,6.266260000000045,94.85002960982588,0.0,0.0,0.0,0.0,2.188436712898225,80.80136857158993,1022.1044
20110101:0700,6.186000000000036,94.56269233336027,9.0938,69.7914,5.2049,11.151659177185923,2.076463000450776,82.76975431288625,1022.5275
20110101:0800,6.908960000000036,91.0212222337139,149.7708,599.5352,42.2312,235.9932450972887,2.281674007160148,80.75160065705133,1022.83
20110101:0900,9.037770000000023,85.8272093448808,342.3692,830.7506,62.7586,506.8403169484492,2.15481280525684,75.85974441930755,1023.1875
20110101:1000,13.216880000000003,67.95604623460841,500.4328,923.0718,72.9697,728.1683724117688,2.045197593060554,66.71934806895858,1023.86
20110101:1100,15.03988000000004,61.09742553403484,604.0359,964.8232,78.1286,884.5199379555734,2.4636633125419167,53.49305849607942,1023.5231
20110101:1200,16.795000000000016,54.149392612527706,642.984,975.5927,80.723,962.3791413918766,2.692795504903967,46.417770613974575,1022.2856
20110101:1300,17.645560000000046,51.45078785428656,613.9879,960.8241,81.1105,954.3968856948212,2.5204632513149976,33.96482562815775,1021.33
20110101:1400,19.10482000000001,44.330703408031184,520.1891,918.6224,77.9037,859.6777128765713,2.5460858119492458,24.81555161698965,1020.1825
20110101:1500,19.304040000000043,43.49245265158348,357.2037,763.5494,78.6817,638.4928688975267,2.837484184663113,23.5039220988306,1019.875
20110101:1600,19.22787,43.448405881471615,151.5519,335.2116,77.4678,264.81929772939856,3.10951462084292,25.655301881876284,1019.8156
20110101:1700,17.465300000000013,55.66357096667074,20.0079,111.8212,11.6584,51.79186020010046,2.930211265128018,30.02302964261485,1019.6356
20110101:1800,14.313500000000031,61.5416412566813,0.0,0.0,0.0,0.0,3.141366051761418,29.6934817114946,1020.1694
20110101:1900,13.06686000000002,66.73146707398769,0.0,0.0,0.0,0.0,3.218044580524639,33.17504755177592,1020.6469
20110101:2000,11.453580000000043,78.85938956519983,0.0,0.0,0.0,0.0,3.249132813298479,35.67931076519636,1021.2231
20110101:2100,10.65115000000003,80.42159005517165,0.0,0.0,0.0,0.0,3.1668709743152244,47.186077698786725,1021.31375
20110101:2200,9.909880000000044,82.11686926559635,0.0,0.0,0.0,0.0,2.818058494173164,54.23728084726877,1021.48
20110101:2300,9.807640000000047,84.85672428672243,0.0,0.0,0.0,0.0,2.631855166118698,44.33688831715882,1021.64125
20110102:0000,9.18685000000005,88.60124735904569,0.0,0.0,0.0,0.0,2.6907288487118914,48.70018786840162,1021.5706
20110102:0100,8.721249999999998,90.29091533755336,0.0,0.0,0.0,0.0,2.4324306867934262,66.1276504003519,1020.82625
20110102:0200,7.787260000000003,92.766796961121,0.0,0.0,0.0,0.0,2.3804712631738614,72.68400994879892,1020.3681
20110102:0300,6.746600000000001,91.286053364113,0.0,0.0,0.0,0.0,2.4535720313375773,70.17467802410349,1020.0606
20110102:0400,6.461270000000013,90.33261018864044,0.0,0.0,0.0,0.0,2.45836696315728,68.9063423776634,1019.5375
20110102:0500,5.7882000000000176,89.6648212824487,0.0,0.0,0.0,0.0,2.4093405038302644,66.75295347609679,1019.2794
20110102:0600,5.653099999999995,89.78189072839004,0.0,0.0,0.0,0.0,2.2683481561955365,70.98184462164905,1019.50875
20110102:0700,5.2824300000000335,89.33798524823908,9.0879,77.3574,4.8701,11.367067312890027,2.2820915736573983,70.95773341239978,1019.7231
