Latitude (decimal degrees) : 31.6295
Longitude (decimal degrees) : -7.9811
Elevation (m) : 474.0
month,year
01,2023
02,2016
03,2018
04,2021
05,2015
06,2016
07,2021
08,2020
09,2024
10,2023
11,2020
12,2021
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),G(t),WS10m,WD10m,SP
20230101:0000,13.6687,47.285979727169895,0.0,0.0,0.0,0.0,0.9517449070982068,124.39554673584188,1025.4944
20230101:0100,12.365000000000007,53.5775650305357,0.0,0.0,0.0,0.0,1.168135547702513,120.92345129667204,1025.185
20230101:0200,11.386250000000018,58.693536123646254,0.0,0.0,0.0,0.0,1.2559816981599057,123.99471481405284,1024.5325
20230101:0300,10.385220000000004,62.6671489368548,0.0,0.0,0.0,0.0,1.133846555126975,124.82399407640318,1024.1531
20230101:0400,10.14846,62.85044282878144,0.0,0.0,0.0,0.0,0.8870821872156209,125.4834879684632,1023.5231
20230101:0500,10.30636000000004,59.92041773458304,0.0,0.0,0.0,0.0,0.7112344685828735,120.57691830656802,1023.54
20230101:0600,10.32140000000004,58.65262722948038,0.0,0.0,0.0,0.0,0.6911988958432226,122.4582897383264,1023.6794
20230101:0700,10.633080000000009,57.06870505553846,7.468,26.248,5.9302,7.967669216835189,0.9573830423544832,129.38944627504205,1024.1606
20230101:0800,9.786069999999995,61.57537643815727,117.337,271.8733,71.3017,156.4975772812721,1.323603987239961,134.38207281832075,1024.5619
20230101:0900,11.250760000000014,53.40563769773568,312.8579,629.8083,98.6409,432.77962051045375,1.322430836903307,139.98391388900703,1024.8781
20230101:1000,15.932119999999998,40.818866962745545,471.4752,768.5776,115.2504,658.0666701782335,0.7873023981529852,159.71624044314473,1025.3106
20230101:1100,19.559660000000008,30.71545033980356,574.9683,824.5554,125.3923,811.6284412853311,1.2395307348388156,200.6795414890172,1025.3544
20230101:1200,20.738980000000023,26.76390736099229,616.654,853.4993,124.6713,893.3092841272527,1.2662094870463418,225.5648876364033,1024.5719
20230101:1300,21.59283000000005,23.952837649233214,592.8277,862.7471,114.3321,896.4335999491002,1.0336840392343687,248.9575089658021,1023.5706
20230101:1400,22.176780000000008,22.35727228057952,504.6695,842.6184,99.0365,814.7876270183391,0.8274058872146292,281.43778938212887,1022.66625
20230101:1500,22.40322000000004,22.29372585966256,358.4426,759.2288,82.8904,639.3188747812678,0.9040519979955634,324.1589075655541,1022.2431
20230101:1600,22.339440000000025,21.799452493195577,172.6206,535.8631,59.4675,362.1385156817726,1.1381886981184006,355.6251538642028,1022.2969
20230101:1700,21.31660000000005,22.70180468920905,19.0456,87.6114,12.0074,43.31986274765828,0.6280300677422305,15.251456103950687,1022.46625
20230101:1800,17.857230000000015,33.43078992385726,0.0,0.0,0.0,0.0,0.6909473934889719,84.18604034702192,1023.06
20230101:1900,15.970420000000049,38.7885914738616,0.0,0.0,0.0,0.0,1.344335395664891,99.2204826555002,1024.0194
20230101:2000,13.805800000000032,45.72045202842735,0.0,0.0,0.0,0.0,1.222459065193152,115.43628779773432,1024.50125
20230101:2100,12.256700000000023,51.491090946450825,0.0,0.0,0.0,0.0,1.161493459632197,130.54381876032463,1025.05375
20230101:2200,12.53893000000005,45.595846272083,0.0,0.0,0.0,0.0,1.4771367225407743,134.79953166310207,1025.25625
20230101:2300,11.221519999999998,51.28742645018439,0.0,0.0,0.0,0.0,1.5237467147556052,135.7992727834797,1025.36125
20230102:0000,11.118400000000008,51.545462472626205,0.0,0.0,0.0,0.0,1.3630907276090356,134.18316997168043,1024.9925
20230102:0100,10.25314000000003,53.7095694239817,0.0,0.0,0.0,0.0,1.0509630674148651,126.76541552583288,1024.59625
20230102:0200,8.84017,60.231587372997566,0.0,0.0,0.0,0.0,0.6456454408123181,114.9891608160094,1024.4931
20230102:0300,7.957730000000026,62.228744191881205,0.0,0.0,0.0,0.0,0.8838326730192477,117.09059675209728,1024.51125
20230102:0400,7.265280000000018,63.79846139969717,0.0,0.0,0.0,0.0,1.0571124057215222,111.5570699251313,1024.49125
20230102:0500,6.717200000000048,64.4990865719683,0.0,0.0,0.0,0.0,1.3926525909892244,116.28626803148416,1024.3244
