Latitude (decimal degrees) : 37.408717
Longitude (decimal degrees) : -5.054203
Elevation (m) : 194.0
month,year
01,2018
02,2009
03,2017
04,2008
05,2017
06,2021
07,2017
08,2022
09,2023
10,2016
11,2011
12,2016
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),G(t),WS10m,WD10m,SP
20180101:0000,9.196799999999996,86.54989683986375,0.0,0.0,0.0,0.0,3.0585328024386627,327.199715415041,1034.1806
20180101:0100,10.62533000000002,77.1381089150552,0.0,0.0,0.0,0.0,2.3465076755446788,357.4883722032527,1034.2381
20180101:0200,11.146400000000028,72.36695803942577,0.0,0.0,0.0,0.0,2.365830772485818,27.847262876341983,1034.1294
20180101:0300,6.831080000000043,85.44818373929287,0.0,0.0,0.0,0.0,2.2715746642975567,74.4387852101239,1034.0381
20180101:0400,5.951700000000017,88.21000247155878,0.0,0.0,0.0,0.0,2.3601767672012026,95.72142957092872,1033.95375
20180101:0500,5.756200000000035,88.22270542531581,0.0,0.0,0.0,0.0,1.9898033142865,101.1301859789641,1033.315
20180101:0600,5.0674000000000206,90.11758520428934,0.0,0.0,0.0,0.0,2.8262345316298503,78.90943763942936,1033.9319
20180101:0700,5.968350000000044,89.27884456948811,5.6144,43.8414,3.6278,7.583808501211019,2.6058885308033344,70.22263929735927,1034.6144
20180101:0800,5.953800000000001,92.3061449477933,122.1966,535.2596,39.5404,212.87481439567165,1.986217408043108,111.99806804181708,1035.0956
20180101:0900,7.339230000000043,89.73601041819819,290.0613,773.8543,62.449,470.0893158881897,1.4768546368706164,124.41611306228016,1035.70375
20180101:1000,10.177900000000022,75.60750524012393,424.0921,864.3155,74.5204,672.3926224868862,1.2540483321134197,343.15278122478355,1036.2806
20180101:1100,11.178060000000016,72.20100921766013,504.1463,890.7486,83.7872,801.5362002124051,1.437833138677705,341.925578267133,1036.655
20180101:1200,12.954160000000002,67.25581677252791,455.428,556.4747,182.2898,655.1388406662841,1.379970746371782,349.06604147878306,1035.8369
20180101:1300,14.395200000000044,60.72127265423134,491.1392,890.1634,79.828,840.7190254995252,1.577620675921259,330.9511552513489,1034.5481
20180101:1400,15.65730000000002,51.79506368214293,395.0769,836.2255,72.8807,730.043560509813,2.135998541398496,317.4257649443873,1033.74125
20180101:1500,16.08587,46.79069459761614,243.2247,670.7473,65.6302,507.5798227462292,2.355762634949056,322.5233882085575,1033.5719
20180101:1600,15.983670000000018,48.31167999019912,84.2844,388.0274,33.7793,221.89188307341828,1.6079929316280428,327.5853109669489,1033.4094
20180101:1700,14.469600000000014,50.0739024241789,0.6572,1.262,0.6084,0.9334932618846284,2.383792014700379,313.21367750559324,1033.7444
20180101:1800,13.07340000000005,53.31157228502141,0.0,0.0,0.0,0.0,3.009093756294165,316.3067326947463,1034.2419
20180101:1900,13.699000000000012,48.25164496448628,0.0,0.0,0.0,0.0,2.8071907141804973,329.9424531565905,1034.5125
20180101:2000,12.780400000000045,51.0600676489996,0.0,0.0,0.0,0.0,2.499995756175376,343.4376196537392,1035.0719
20180101:2100,12.491540000000043,50.92451220191205,0.0,0.0,0.0,0.0,1.8330536992302373,343.7197635981821,1035.31
20180101:2200,10.994650000000036,55.5595613090256,0.0,0.0,0.0,0.0,0.9735308469153314,303.08282410726054,1035.4669
20180101:2300,10.82247000000001,57.26725070268234,0.0,0.0,0.0,0.0,0.2926212871275943,209.4028344823867,1035.41875
20180102:0000,10.685140000000048,58.44422762213821,0.0,0.0,0.0,0.0,0.4291717862670263,175.78143743439466,1035.59875
20180102:0100,10.176780000000008,60.34475332133873,0.0,0.0,0.0,0.0,0.5587622357751912,165.23588989388696,1035.45625
20180102:0200,8.454250000000002,67.0229714684097,0.0,0.0,0.0,0.0,1.2686342424263326,165.3603681081753,1035.2094
20180102:0300,5.923760000000016,76.94885812221165,0.0,0.0,0.0,0.0,1.3748184131074184,162.1232947230902,1034.9425
20180102:0400,4.761740000000032,83.05031302645045,0.0,0.0,0.0,0.0,1.1193035508779738,148.8015560044437,1034.9225
20180102:0500,4.016560000000027,85.71794955153659,0.0,0.0,0.0,0.0,0.9441864241263548,146.4843061318206,1034.5531
20180102:0600,3.766470000000026,87.59116797010986,0.0,0.0,0.0,0.0,0.7189550038213246,135.89428650159914,1034.8206
