# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2005-01-01T00:00:00.0
# Date end (ISO 8601): 2020-01-01T00:00:00.0
# Latitude (positive North, ISO 19115): 35.4201
# Longitude (positive East, ISO 19115): -5.4579
# Altitude (m): 321.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s
# noValue: nan
# File generated on: 2026-06-15
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2005-01-01T00:00:00.0/2005-01-01T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2005-01-01T01:00:00.0/2005-01-01T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2005-01-01T02:00:00.0/2005-01-01T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2005-01-01T03:00:00.0/2005-01-01T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2005-01-01T04:00:00.0/2005-01-01T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2005-01-01T05:00:00.0/2005-01-01T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2005-01-01T06:00:00.0/2005-01-01T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2005-01-01T07:00:00.0/2005-01-01T08:00:00.0;21.4230;9.2572;4.8670;4.3902;92.7757;9.2572;4.8670;4.3902;92.7757;0.8000
2005-01-01T08:00:00.0/2005-01-01T09:00:00.0;226.0345;142.4021;108.7191;33.6831;647.5817;142.4021;108.7191;33.6831;647.5817;0.8500
2005-01-01T09:00:00.0/2005-01-01T10:00:00.0;440.7846;317.9148;268.5751;49.3397;853.5407;317.9148;268.5751;49.3397;853.5407;1.0000
2005-01-01T10:00:00.0/2005-01-01T11:00:00.0;603.8310;458.4397;401.3022;57.1375;934.6636;458.4397;401.3022;57.1375;934.6636;1.0000
2005-01-01T11:00:00.0/2005-01-01T12:00:00.0;704.0662;546.1363;485.0171;61.1192;969.6682;546.1363;485.0171;61.1192;969.6682;1.0000
2005-01-01T12:00:00.0/2005-01-01T13:00:00.0;734.6606;572.4373;509.7353;62.7021;976.8029;572.4373;509.7353;62.7021;976.8029;1.0000
2005-01-01T13:00:00.0/2005-01-01T14:00:00.0;693.5292;535.0812;472.9865;62.0947;959.8672;535.0812;472.9865;62.0947;959.8672;1.0000
2005-01-01T14:00:00.0/2005-01-01T15:00:00.0;583.4735;437.6172;379.1266;58.4906;913.4187;437.6172;379.1266;58.4906;913.4187;1.0000
2005-01-01T15:00:00.0/2005-01-01T16:00:00.0;411.9911;289.8726;239.6235;50.2491;813.0030;289.8726;239.6235;50.2491;813.0030;1.0000
2005-01-01T16:00:00.0/2005-01-01T17:00:00.0;190.7645;113.0291;81.4215;31.6076;555.3882;113.0291;81.4215;31.6076;555.3882;0.9000
2005-01-01T17:00:00.0/2005-01-01T18:00:00.0;8.6915;3.1305;1.2016;1.9288;31.1981;3.1305;1.2016;1.9288;31.1981;0.8667
2005-01-01T18:00:00.0/2005-01-01T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2005-01-01T19:00:00.0/2005-01-01T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2005-01-01T20:00:00.0/2005-01-01T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2005-01-01T21:00:00.0/2005-01-01T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2005-01-01T22:00:00.0/2005-01-01T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2005-01-01T23:00:00.0/2005-01-02T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2005-01-02T00:00:00.0/2005-01-02T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2005-01-02T01:00:00.0/2005-01-02T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2005-01-02T02:00:00.0/2005-01-02T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2005-01-02T03:00:00.0/2005-01-02T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2005-01-02T04:00:00.0/2005-01-02T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2005-01-02T05:00:00.0/2005-01-02T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2005-01-02T06:00:00.0/2005-01-02T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2005-01-02T07:00:00.0/2005-01-02T08:00:00.0;21.1737;8.3951;3.6411;4.7540;69.0805;8.3951;3.6411;4.7540;69.0805;0.8000
2005-01-02T08:00:00.0/2005-01-02T09:00:00.0;225.7070;134.9677;95.2247;39.7430;563.6110;134.9677;95.2247;39.7430;563.6110;0.9750
2005-01-02T09:00:00.0/2005-01-02T10:00:00.0;440.9568;306.9319;245.4987;61.4333;779.2347;306.9319;245.4987;61.4333;779.2347;1.0000
2005-01-02T10:00:00.0/2005-01-02T11:00:00.0;604.5701;445.9941;372.1441;73.8500;865.5832;445.9941;372.1441;73.8500;865.5832;1.0000
2005-01-02T11:00:00.0/2005-01-02T12:00:00.0;705.4008;533.1574;451.7044;81.4530;901.3699;533.1574;451.7044;81.4530;901.3699;1.0000
2005-01-02T12:00:00.0/2005-01-02T13:00:00.0;736.5787;559.8013;474.9360;84.8653;907.7615;559.8013;474.9360;84.8653;907.7615;0.8750
2005-01-02T13:00:00.0/2005-01-02T14:00:00.0;695.9791;523.4576;439.3353;84.1223;888.3934;523.4576;439.3353;84.1223;888.3934;1.0000
2005-01-02T14:00:00.0/2005-01-02T15:00:00.0;586.3672;427.2871;348.4433;78.8439;835.0649;427.2871;348.4433;78.8439;835.0649;1.0000
2005-01-02T15:00:00.0/2005-01-02T16:00:00.0;415.2106;281.3335;214.8421;66.4913;722.0507;281.3335;214.8421;66.4913;722.0507;1.0000
2005-01-02T16:00:00.0/2005-01-02T17:00:00.0;194.1696;108.2685;68.3103;39.9582;450.8107;108.2685;68.3103;39.9582;450.8107;0.9000
2005-01-02T17:00:00.0/2005-01-02T18:00:00.0;9.6097;3.1657;0.8052;2.3604;20.4837;3.1657;0.8052;2.3604;20.4837;0.8583
2005-01-02T18:00:00.0/2005-01-02T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2005-01-02T19:00:00.0/2005-01-02T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2005-01-02T20:00:00.0/2005-01-02T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2005-01-02T21:00:00.0/2005-01-02T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2005-01-02T22:00:00.0/2005-01-02T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2005-01-02T23:00:00.0/2005-01-03T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2005-01-03T00:00:00.0/2005-01-03T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2005-01-03T01:00:00.0/2005-01-03T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2005-01-03T02:00:00.0/2005-01-03T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2005-01-03T03:00:00.0/2005-01-03T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2005-01-03T04:00:00.0/2005-01-03T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2005-01-03T05:00:00.0/2005-01-03T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2005-01-03T06:00:00.0/2005-01-03T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2005-01-03T07:00:00.0/2005-01-03T08:00:00.0;20.9802;7.8877;2.8750;5.0126;54.1240;7.8877;2.8750;5.0126;54.1240;0.8000
2005-01-03T08:00:00.0/2005-01-03T09:00:00.0;225.5241;131.6252;87.7271;43.8981;515.3145;131.6252;87.7271;43.8981;515.3145;0.9750
2005-01-03T09:00:00.0/2005-01-03T10:00:00.0;441.2785;304.6978;238.1028;66.5950;754.2621;304.4870;237.7440;66.7430;753.3065;1.0000
2005-01-03T10:00:00.0/2005-01-03T11:00:00.0;605.4605;446.0139;369.9013;76.1126;858.8163;441.8295;362.6986;79.1309;840.7648;1.0000
2005-01-03T11:00:00.0/2005-01-03T12:00:00.0;706.8850;535.3105;456.1514;79.1591;908.2397;535.3105;456.1514;79.1591;908.2397;1.0000
2005-01-03T12:00:00.0/2005-01-03T13:00:00.0;738.6417;563.2264;483.2448;79.9817;921.0699;563.2264;483.2448;79.9817;921.0699;1.0000
2005-01-03T13:00:00.0/2005-01-03T14:00:00.0;698.5661;527.3506;448.0631;79.2875;902.7141;527.3506;448.0631;79.2875;902.7141;1.0000
2005-01-03T14:00:00.0/2005-01-03T15:00:00.0;589.3881;431.5011;357.0581;74.4429;851.4272;431.5011;357.0581;74.4429;851.4272;1.0000
2005-01-03T15:00:00.0/2005-01-03T16:00:00.0;418.5456;285.4453;222.0746;63.3708;740.7140;285.4453;222.0746;63.3708;740.7140;1.0000
2005-01-03T16:00:00.0/2005-01-03T17:00:00.0;197.6779;111.4083;72.4188;38.9895;472.4125;111.4083;72.4188;38.9895;472.4125;0.9000
2005-01-03T17:00:00.0/2005-01-03T18:00:00.0;10.5965;3.5469;1.0148;2.5321;25.1136;3.5469;1.0148;2.5321;25.1136;0.8500
