valid_time,u100,v100,u10,v10,d2m,t2m,msl,ssrd,tp,latitude,longitude
2005-01-01 00:00:00,-3.6894379,0.0069885254,-1.6346283,0.3000641,278.61465,279.42026,103056.44,0.0,0.0,35.5,-5.5
2005-01-01 01:00:00,-3.6483002,0.36886597,-1.6269989,0.47279358,278.4021,279.30124,103034.5,0.0,0.0,35.5,-5.5
2005-01-01 02:00:00,-3.386795,0.63204956,-1.5456696,0.6404114,278.18155,278.84735,102983.75,0.0,0.0,35.5,-5.5
2005-01-01 03:00:00,-3.053772,0.453537,-1.3934784,0.68258667,277.54828,278.46564,102979.94,0.0,0.0,35.5,-5.5
2005-01-01 04:00:00,-2.7133636,0.4909668,-1.3501282,0.9460449,277.1659,277.826,102967.56,0.0,0.0,35.5,-5.5
2005-01-01 05:00:00,-2.6345978,0.7941742,-1.2194214,1.001236,277.1888,277.63065,102940.56,0.0,0.0,35.5,-5.5
2005-01-01 06:00:00,-2.4116974,0.857193,-1.0817108,1.0396881,276.90454,277.2788,102970.19,0.0,0.0,35.5,-5.5
2005-01-01 07:00:00,-2.043213,0.43891907,-0.8778229,1.0046234,276.7055,276.8412,103035.31,0.0,0.0,35.5,-5.5
2005-01-01 08:00:00,-1.7151031,0.20721436,-0.7111664,0.8195801,277.03796,278.10797,103108.0,25728.0,0.0,35.5,-5.5
2005-01-01 09:00:00,-1.5159149,0.73573303,-0.6203766,1.1739502,279.9484,280.55713,103172.125,401216.0,0.0,35.5,-5.5
2005-01-01 10:00:00,0.12948608,2.24234,0.10682678,1.3449249,281.53604,286.18893,103218.25,988608.0,0.0,35.5,-5.5
2005-01-01 11:00:00,1.0678864,1.3358307,0.7897949,0.83631897,280.90698,287.41696,103236.06,1.541376e+06,0.0,35.5,-5.5
2005-01-01 12:00:00,1.549118,0.7043915,1.2005615,0.38012695,280.85492,288.19458,103189.625,1.858368e+06,0.0,35.5,-5.5
2005-01-01 13:00:00,1.9646912,0.5321808,1.4786072,0.18977356,281.1568,288.59888,103100.81,1.950336e+06,0.0,35.5,-5.5
2005-01-01 14:00:00,2.208969,0.20709229,1.6168976,-0.06913757,281.31595,290.2894,103077.56,1.817408e+06,0.0,35.5,-5.5
2005-01-01 15:00:00,2.463379,0.19985962,1.7805939,-0.050186157,282.00183,290.44043,103065.19,1.47424e+06,0.0,35.5,-5.5
2005-01-01 16:00:00,2.692215,0.36883545,1.749527,0.024612427,281.92987,290.3444,103081.81,960256.0,0.0,35.5,-5.5
2005-01-01 17:00:00,3.237564,0.28659058,1.7716522,0.14390564,283.12326,287.77032,103114.44,366208.0,0.0,35.5,-5.5
2005-01-01 18:00:00,2.9638824,0.21044922,1.9525604,0.4186554,281.8946,287.0216,103160.19,10880.0,0.0,35.5,-5.5
2005-01-01 19:00:00,2.610382,0.43429565,1.213028,0.7395935,281.03366,285.6496,103186.625,0.0,0.0,35.5,-5.5
2005-01-01 20:00:00,2.1871948,0.8253937,0.89190674,0.9350128,280.9834,283.60846,103217.375,0.0,0.0,35.5,-5.5
2005-01-01 21:00:00,1.8842926,1.1571503,0.52072144,0.944458,279.20786,281.77222,103242.0,0.0,0.0,35.5,-5.5
