#Meteo hourly data
#Site,بني كيل-Morocco
#Country,Morocco
#Data Source,Cams Solar radiations and ERA5 for meteorological data
#Time step,Hour
#Year,2050
#Latitude,32.451299
#Longitude,-1.84478
#Altitude,1230.0
#Time zone,UTC+01:00
#Plane tilt,30
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,GPI,Tamb,WindVel,Press,RelHum
,,,,,W/m2,W/m2,W/m2,W/m2,deg.C,m/s,mb,%
2050,1,1,0,0,0.0,0.0,0.0,0.0,3.575649999999996,1.963246175308988,1022.83625,69.9292101702197
2050,1,1,1,0,0.0,0.0,0.0,0.0,3.07552000000004,1.917018044541587,1022.8556,72.82784511993957
2050,1,1,2,0,0.0,0.0,0.0,0.0,2.0450700000000097,1.8672403307518024,1022.7844,77.61406453532275
2050,1,1,3,0,0.0,0.0,0.0,0.0,1.9437500000000227,1.899049043672791,1022.27625,81.88843311270315
2050,1,1,4,0,0.0,0.0,0.0,0.0,1.6591999999999985,1.8588746815175707,1021.78,83.43035319186112
2050,1,1,5,0,0.0,0.0,0.0,0.0,1.4144500000000448,1.783151973691376,1021.4781,82.7933100426713
2050,1,1,6,0,0.0,0.0,0.0,0.0,1.4603500000000054,1.5236067335857535,1021.6756,82.96517127434116
2050,1,1,7,0,40.4397,18.9472,216.9974,57.11636610564099,1.125879999999995,1.327402182671778,1022.44375,84.34380945455811
2050,1,1,8,0,218.2946,61.1218,664.1815,330.23087519427736,2.6522000000000503,1.072219310617167,1022.8869,88.20797095232977
2050,1,1,9,0,217.2077,160.0652,155.8449,246.85069451774743,4.005670000000009,0.7206879971714563,1023.23375,79.15319837273262
2050,1,1,10,0,456.1032,193.862,519.0813,581.5758067805272,8.45028000000002,1.0676440009634645,1023.9725,59.15795354860676
2050,1,1,11,0,316.7847,266.8561,91.8651,333.24984468989885,9.151450000000011,1.8220873512351623,1022.6569,53.85045317556618
2050,1,1,12,0,341.1469,308.5762,57.4936,345.496293130706,9.48556000000002,2.392247691762887,1021.60875,51.39135283752525
2050,1,1,13,0,270.1429,256.6165,26.558,267.3890440618135,9.60940000000005,2.8339352765037136,1020.72,50.519396226548366
2050,1,1,14,0,214.2385,191.2756,50.9295,222.87482574831608,10.081320000000003,3.5195133304563133,1020.22875,48.544315288655824
2050,1,1,15,0,167.9275,135.5104,118.2931,207.91139565492983,10.049950000000024,3.7125028417282944,1019.9531,48.96540506338689
2050,1,1,16,0,49.0185,47.5139,7.9167,48.9702413012698,9.90685000000002,3.953257609229376,1020.0994,50.25951648873648
2050,1,1,17,0,0.1148,0.1148,0.0,0.1090323936329201,8.059720000000027,3.848098658034434,1021.0956,64.8398750004255
2050,1,1,18,0,0.0,0.0,0.0,0.0,7.604900000000043,3.396783543819489,1022.1356,74.28056623473012
2050,1,1,19,0,0.0,0.0,0.0,0.0,7.591820000000041,2.934786161088497,1022.8375,75.12863486716623
2050,1,1,20,0,0.0,0.0,0.0,0.0,6.87124,2.2730053203268548,1023.0081,80.49070240121739
2050,1,1,21,0,0.0,0.0,0.0,0.0,6.049680000000024,1.689163432068958,1023.6181,83.559829939666
2050,1,1,22,0,0.0,0.0,0.0,0.0,5.9123200000000224,1.8911177352304904,1023.2925,84.8315060055894
2050,1,1,23,0,0.0,0.0,0.0,0.0,6.111720000000048,1.7817708357281967,1023.275,84.21151502495813
2050,1,2,0,0,0.0,0.0,0.0,0.0,5.874960000000044,1.6461969082595709,1023.2706,85.44955050420519
2050,1,2,1,0,0.0,0.0,0.0,0.0,6.037500000000023,1.8084343311092528,1022.9175,85.59653546816418
2050,1,2,2,0,0.0,0.0,0.0,0.0,5.236750000000029,1.949704845420276,1023.1906,88.72847421693626
2050,1,2,3,0,0.0,0.0,0.0,0.0,4.86605000000003,2.1461692353457376,1023.09875,91.40686852830194
2050,1,2,4,0,0.0,0.0,0.0,0.0,4.293540000000007,2.2355306715762846,1022.9894,92.22935215543676
2050,1,2,5,0,0.0,0.0,0.0,0.0,4.621120000000019,2.582088418396106,1023.4469,91.2862010483276
2050,1,2,6,0,0.0,0.0,0.0,0.0,4.885950000000037,2.67686995753492,1023.8,91.43237254246536
2050,1,2,7,0,40.8903,16.3704,257.7652,61.57792768856381,5.100340000000017,2.7359164654377355,1024.2069,91.05809354840645
2050,1,2,8,0,109.7035,87.9557,89.8347,120.23975174629216,5.468770000000006,3.3747110851058744,1024.47625,86.94544579577838
2050,1,2,9,0,201.0648,188.1679,34.3365,199.58055691683967,5.258870000000002,5.238842985158558,1025.1156,85.56284809168659
2050,1,2,10,0,365.2956,276.6063,181.5276,401.5713063520722,7.905100000000004,5.466400036820515,1025.045,66.1463137752915
2050,1,2,11,0,361.5319,314.6878,84.798,372.55770248754726,8.166560000000004,5.3741296309076825,1024.245,62.29151247212465
2050,1,2,12,0,302.7309,281.213,38.3395,302.06169418659505,8.747430000000008,5.038333352128835,1023.1925,56.98629778474835
2050,1,2,13,0,327.589,287.8699,76.5984,341.75419362322486,9.003600000000006,5.026235646695512,1022.0975,54.84982073813749
2050,1,2,14,0,326.8737,255.0793,168.704,378.943267562306,9.443840000000025,5.162534896578987,1021.32875,51.806892384675216
2050,1,2,15,0,225.3024,161.6877,221.7899,302.5144643712113,9.679280000000006,5.39807864208409,1021.1725,49.54718331294588
2050,1,2,16,0,89.3952,53.0515,308.4893,200.38357764716392,9.63094000000001,5.232246433383256,1021.1175,51.325927541519775
2050,1,2,17,0,1.0291,0.8133,5.9283,2.377935471324137,8.034780000000012,4.38687818586075,1021.49625,56.98088054116563
2050,1,2,18,0,0.0,0.0,0.0,0.0,8.028040000000033,4.147174822612594,1022.4369,62.22816244854371
2050,1,2,19,0,0.0,0.0,0.0,0.0,7.272199999999998,4.0612083017866105,1023.3431,68.31321831186958
