Latitude (decimal degrees) : 32.451299
Longitude (decimal degrees) : -1.84478
Elevation (m) : 1230.0
month,year
01,2006
02,2006
03,2006
04,2006
05,2006
06,2006
07,2006
08,2006
09,2006
10,2006
11,2006
12,2006
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),G(t),WS10m,WD10m,SP
20060101:0000,3.497100000000046,75.8999687532095,0.0,0.0,0.0,0.0,1.6008934459881523,262.9009858399447,1024.4206
20060101:0100,3.848839999999996,72.85771826395639,0.0,0.0,0.0,0.0,1.3598053169911866,260.98037040223494,1023.92875
20060101:0200,3.661830000000009,72.03309125951365,0.0,0.0,0.0,0.0,1.0462007777153035,256.59872860618754,1024.4194
20060101:0300,3.715970000000027,73.2097776931708,0.0,0.0,0.0,0.0,0.8710009152363035,248.51142653826125,1024.0706
20060101:0400,3.5654800000000364,74.29363342698852,0.0,0.0,0.0,0.0,0.7156236204623436,244.70095035481907,1024.0006
20060101:0500,3.401100000000042,74.97236500234919,0.0,0.0,0.0,0.0,0.4885148329896569,249.6279542915096,1023.67875
20060101:0600,3.54260000000005,74.00124277609066,0.0,0.0,0.0,0.0,0.289795214585579,260.6730447939745,1023.9144
20060101:0700,3.367500000000007,75.03336146254387,41.6759,243.4637,17.7711,60.86212888791104,0.2890179891609464,259.55764199366234,1023.5775
20060101:0800,3.471400000000017,77.31960907101897,201.9133,553.626,74.5218,297.75622074787344,0.2383457183529594,266.5058501943678,1023.92625
20060101:0900,4.372580000000028,72.76816297833415,350.0137,602.1915,128.3356,488.42979730051,0.1920849446110386,352.8651042029708,1024.385
20060101:1000,9.655050000000015,53.05443197575484,429.9261,461.8581,207.4756,550.5339649137653,0.6420096914606084,0.8606657940967608,1025.0956
20060101:1100,10.525720000000035,53.47350057593601,572.4951,776.9026,140.3921,808.3182106064864,1.5737341775598015,349.42037471327325,1024.0675
20060101:1200,11.290250000000016,52.44644747869166,634.57,980.8101,83.0138,972.8832675811433,2.6570648385117166,343.5341618869141,1022.95625
20060101:1300,12.078180000000032,48.64073255625383,580.4962,965.5701,78.761,935.0525424552102,3.3536535885958125,337.440193687092,1021.9475
20060101:1400,14.18810000000002,40.39828802758375,463.8753,919.6678,70.6033,810.4538401716919,3.5390567259696826,333.6236430579989,1020.9381
20060101:1500,13.998860000000036,39.424240967792834,295.8152,812.4546,57.2992,598.3138493953215,3.667659930186441,331.928690678963,1020.72875
20060101:1600,13.995870000000023,38.16978725939207,101.4797,507.0406,31.9025,275.75141529241034,3.770770284444733,337.5125945128825,1020.42
20060101:1700,11.311980000000004,47.81025103303719,0.8569,4.5364,0.6635,1.8484211340645595,3.218588016720925,350.27300320992015,1021.0694
20060101:1800,10.287930000000015,54.26482009882159,0.0,0.0,0.0,0.0,3.355572067641264,2.926366232666169,1021.5425
20060101:1900,9.45413000000002,59.42040398621716,0.0,0.0,0.0,0.0,3.461974025149851,8.829892543632027,1022.9075
20060101:2000,7.356530000000021,73.51956809190334,0.0,0.0,0.0,0.0,2.814403178068058,11.76946716861596,1023.825
20060101:2100,5.591120000000046,82.96167579650218,0.0,0.0,0.0,0.0,2.1511772574812498,13.367533616484463,1024.47875
20060101:2200,4.581260000000043,86.93848301342744,0.0,0.0,0.0,0.0,2.069097674400065,7.213954679988348,1024.6944
20060101:2300,4.151700000000005,87.75064733932494,0.0,0.0,0.0,0.0,2.0286662809327147,15.414812285219142,1024.75
20060102:0000,3.357500000000016,88.97306753800245,0.0,0.0,0.0,0.0,1.967171827675605,17.398830318370727,1024.9306
20060102:0100,3.2730999999999995,89.59679830465642,0.0,0.0,0.0,0.0,1.8591920935604795,17.185599604986308,1024.945
20060102:0200,2.527120000000025,91.13657732770687,0.0,0.0,0.0,0.0,1.769648122300072,15.412275356326774,1024.92375
20060102:0300,2.619230000000016,92.7654862912485,0.0,0.0,0.0,0.0,1.5108021798386089,15.663532737837883,1025.16625
20060102:0400,2.532430000000033,92.5874956800899,0.0,0.0,0.0,0.0,1.298530423420583,19.772980107018697,1024.9469
