Latitude (decimal degrees) : 37.314866
Longitude (decimal degrees) : -5.935404
Elevation (m) : 26.0
month,year
01,2007
02,2007
03,2007
04,2007
05,2007
06,2007
07,2007
08,2007
09,2007
10,2007
11,2007
12,2007
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),G(t),WS10m,WD10m,SP
20070101:0000,7.585720000000037,89.98350778526385,0.0,0.0,0.0,0.0,1.8000441874153006,29.346615650650747,1038.5919
20070101:0100,7.826440000000048,90.56509531366623,0.0,0.0,0.0,0.0,1.9784812983479152,29.386590193358774,1038.2419
20070101:0200,7.136800000000051,91.14952377114705,0.0,0.0,0.0,0.0,2.1447842488786977,33.06282898263896,1038.2294
20070101:0300,6.48678000000001,91.6530833879019,0.0,0.0,0.0,0.0,2.2273780686619773,34.99620117025204,1037.885
20070101:0400,6.465419999999995,91.77040010264275,0.0,0.0,0.0,0.0,2.372153524541348,30.086545373935778,1037.70875
20070101:0500,6.602260000000001,91.75542099278243,0.0,0.0,0.0,0.0,2.430717790919357,33.24146266754617,1037.5856
20070101:0600,6.368040000000008,91.68949373177294,0.0,0.0,0.0,0.0,2.407767054307692,36.70882598544926,1037.5219
20070101:0700,6.315760000000012,92.07722028682149,3.4019,19.2195,2.6315,4.066089723273773,2.468924694316325,34.56899774186312,1037.8894
20070101:0800,6.784270000000049,90.59466065753242,104.6345,424.2242,41.2992,173.30158586458595,2.644645019560198,31.37014211166759,1037.915
20070101:0900,7.5373200000000224,89.24463807173537,260.9846,656.7418,73.5153,411.8129461710173,2.981053443184052,37.45880120010018,1038.17
20070101:1000,11.94204000000002,77.95620081391894,402.6161,794.1766,84.1917,626.8049392944689,2.707028134100789,39.775012894571326,1038.90875
20070101:1100,13.656100000000038,74.8093396905381,492.1668,856.646,89.135,775.2144624735886,2.8069788156952664,41.4645078587936,1038.5819
20070101:1200,15.003440000000012,72.62568368610064,465.3696,581.1416,178.9211,672.7720451663029,2.9099393815322308,39.91678102881234,1037.70375
20070101:1300,16.07842000000005,71.25726877870049,398.7881,433.4955,197.077,560.8071939397022,2.973785879730868,33.553245417968284,1036.8394
20070101:1400,17.79077000000001,64.70511546793043,368.8109,686.1488,103.471,644.5990912710424,3.180740147174373,26.53985258952781,1036.315
20070101:1500,18.20257000000004,62.73393958955198,243.7359,627.3072,72.4997,490.9792198164934,3.09060641776832,25.40654939324341,1036.0931
20070101:1600,18.01653000000005,62.96741465903044,89.3837,376.8685,37.461,224.27018919043704,2.306596182308681,25.48184025841931,1036.2694
20070101:1700,14.727700000000029,77.00747919593644,1.4001,5.6515,1.2103,2.8126948540586727,1.8955839859945485,25.9802939438228,1036.3769
20070101:1800,12.82614000000001,80.44648043885213,0.0,0.0,0.0,0.0,2.264481874267502,24.710370248432383,1036.4944
20070101:1900,12.638450000000034,78.45895587462695,0.0,0.0,0.0,0.0,2.752503447340929,21.05025845333293,1037.04375
20070101:2000,12.66882000000004,76.71095392694414,0.0,0.0,0.0,0.0,3.075928499320516,22.716174233193183,1037.19625
20070101:2100,11.694240000000036,77.59005611272703,0.0,0.0,0.0,0.0,3.1806613848926704,24.40400941886153,1037.5369
20070101:2200,11.04910000000001,79.60139272475956,0.0,0.0,0.0,0.0,3.342886450966268,24.09690639438205,1037.6725
20070101:2300,10.864900000000034,80.96037949291348,0.0,0.0,0.0,0.0,3.359672413536488,28.6221937348554,1037.9175
20070102:0000,10.62190000000004,82.34161209075452,0.0,0.0,0.0,0.0,3.2092556746450804,34.32776963350379,1037.5094
20070102:0100,10.449880000000007,83.72658613562683,0.0,0.0,0.0,0.0,3.072813184855684,35.67916979950797,1037.1156
20070102:0200,10.145230000000026,85.07820920149656,0.0,0.0,0.0,0.0,3.116836454153848,34.473808198488,1037.21
20070102:0300,9.334249999999995,87.07109977345497,0.0,0.0,0.0,0.0,3.175361166034171,32.25018537262763,1036.7881
20070102:0400,9.37957,87.07323705330897,0.0,0.0,0.0,0.0,3.3461607169977,33.26549539590347,1036.5081
20070102:0500,9.53964000000002,87.0066438981955,0.0,0.0,0.0,0.0,3.450018777676853,34.77698715211572,1036.225
20070102:0600,9.206080000000044,87.85185393686258,0.0,0.0,0.0,0.0,3.428156564161561,35.149548663233446,1036.1531
20070102:0700,9.08218000000005,88.72017952450226,3.6322,28.9067,2.4437,4.6317008605004775,3.421656469051481,34.43247499681969,1036.3625
20070102:0800,8.824820000000045,88.44750190146767,110.3613,509.7714,35.5011,194.14482879816484,3.6043139537705366,35.79305991789754,1036.6569
20070102:0900,10.056849999999995,83.64155250930241,277.86,766.9509,57.1868,453.00090582737556,4.213389804204536,39.74555590879672,1037.3106
20070102:1000,12.45070000000004,71.8847429668744,415.6552,869.2354,67.3754,662.0879923512482,4.560346391585784,44.635207005398215,1038.1181
20070102:1100,13.713900000000024,69.29923330907745,503.293,914.7194,72.13,805.9027328220309,5.023873130754116,49.30891470031922,1037.6025
20070102:1200,14.984700000000032,66.66563811058298,531.1814,924.8361,74.0946,871.1033483566648,5.098838765185338,50.624394829491806,1036.6306
20070102:1300,16.005330000000015,64.74772068061614,496.7923,904.8046,73.6638,850.7679886712581,4.826395496432128,50.73441312860247,1035.5769
20070102:1400,17.187430000000006,59.853798494691226,404.048,850.8582,69.2014,744.5196045517398,4.358213448886986,50.56459448769252,1035.0656
20070102:1500,17.405050000000017,58.82896934203289,262.7281,734.7378,58.5562,551.3969810102183,3.770929407183691,48.01538922603791,1034.9069
20070102:1600,17.424300000000017,59.63527260494848,95.5876,444.6143,34.3698,256.1445773786371,2.782137852015651,37.30198401075297,1035.2281
20070102:1700,15.638940000000048,65.72094805231052,1.7199,10.7904,1.3523,4.481493256101137,2.5868860360235315,30.345545284111942,1035.2369
20070102:1800,14.166700000000048,68.33585825570216,0.0,0.0,0.0,0.0,2.848536103676192,32.455255150291215,1035.5475
20070102:1900,13.80773000000005,68.66078741133327,0.0,0.0,0.0,0.0,2.74017273873442,35.792259184992425,1035.7106
20070102:2000,12.448360000000037,70.35533273921001,0.0,0.0,0.0,0.0,2.443565389826237,37.884334313895856,1035.9594
20070102:2100,10.604800000000012,72.79943004046704,0.0,0.0,0.0,0.0,2.205648942367495,42.23649263979756,1036.2569
20070102:2200,9.474150000000009,77.01908031266028,0.0,0.0,0.0,0.0,2.0907844711580603,49.06661555810677,1036.3831
20070102:2300,8.85214000000002,79.01479581336913,0.0,0.0,0.0,0.0,2.175825357065417,49.93189910980496,1036.67875
20070103:0000,8.180930000000046,80.90706584491377,0.0,0.0,0.0,0.0,2.353895933186172,47.48129258900837,1036.2706
20070103:0100,8.088250000000016,83.71694073271063,0.0,0.0,0.0,0.0,2.4425849345666677,41.72193766458251,1035.9606
20070103:0200,8.063199999999995,85.70483692141902,0.0,0.0,0.0,0.0,2.57233163486117,36.44994724777572,1036.02125
20070103:0300,7.448630000000037,87.6426157794829,0.0,0.0,0.0,0.0,2.6402555694641685,36.279417590174646,1035.8631
20070103:0400,7.397000000000048,88.044981686588,0.0,0.0,0.0,0.0,2.69908149942215,40.06058809054378,1035.715
20070103:0500,6.805630000000008,88.85978565711451,0.0,0.0,0.0,0.0,2.7289235309902278,43.02784529261601,1035.3144
